STRUCTURE,STRUCTURE_ID,freq,sex,age,frequenc,unit,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
dataflow,ESTAT:HSW_PB13(1.0),A,F,Y15-34,NVR,PC_EMP_PREEMP,RO,2013,,u
dataflow,ESTAT:HSW_PB13(1.0),A,F,Y15-34,NVR,PC_EMP_PREEMP,RO,2020,1.0,u
dataflow,ESTAT:HSW_PB13(1.0),A,F,Y15-34,NVR,PC_EMP_PREEMP,SE,2007,16.4,d
dataflow,ESTAT:HSW_PB13(1.0),A,F,Y15-34,NVR,PC_EMP_PREEMP,SE,2013,23.8,
dataflow,ESTAT:HSW_PB13(1.0),A,F,Y15-34,NVR,PC_EMP_PREEMP,SE,2020,23.4,
dataflow,ESTAT:HSW_PB13(1.0),A,F,Y15-34,NVR,PC_EMP_PREEMP,SI,2007,4.7,du
dataflow,ESTAT:HSW_PB13(1.0),A,F,Y15-34,NVR,PC_EMP_PREEMP,SI,2013,1.8,u
dataflow,ESTAT:HSW_PB13(1.0),A,F,Y15-34,NVR,PC_EMP_PREEMP,SI,2020,,u
dataflow,ESTAT:HSW_PB13(1.0),A,F,Y15-34,NVR,PC_EMP_PREEMP,SK,2007,2.6,d
dataflow,ESTAT:HSW_PB13(1.0),A,F,Y15-34,NVR,PC_EMP_PREEMP,SK,2013,3.0,
dataflow,ESTAT:HSW_PB13(1.0),A,F,Y15-34,NVR,PC_EMP_PREEMP,SK,2020,,u
dataflow,ESTAT:HSW_PB13(1.0),A,F,Y15-34,NVR,PC_EMP_PREEMP,TR,2013,1.7,
dataflow,ESTAT:HSW_PB13(1.0),A,F,Y15-34,NVR,PC_EMP_PREEMP,UK,2013,2.9,
dataflow,ESTAT:HSW_PB13(1.0),A,F,Y15-34,SMT,PC_EMP_PREEMP,AT,2007,,u
dataflow,ESTAT:HSW_PB13(1.0),A,F,Y15-34,SMT,PC_EMP_PREEMP,AT,2013,,u
dataflow,ESTAT:HSW_PB13(1.0),A,F,Y15-34,SMT,PC_EMP_PREEMP,AT,2020,,u
dataflow,ESTAT:HSW_PB13(1.0),A,F,Y15-34,SMT,PC_EMP_PREEMP,BE,2007,,du
dataflow,ESTAT:HSW_PB13(1.0),A,F,Y15-34,SMT,PC_EMP_PREEMP,BE,2013,,u
dataflow,ESTAT:HSW_PB13(1.0),A,F,Y15-34,SMT,PC_EMP_PREEMP,BE,2020,7.1,u
dataflow,ESTAT:HSW_PB13(1.0),A,F,Y15-34,SMT,PC_EMP_PREEMP,BG,2007,,u
dataflow,ESTAT:HSW_PB13(1.0),A,F,Y15-34,SMT,PC_EMP_PREEMP,BG,2013,,u
dataflow,ESTAT:HSW_PB13(1.0),A,F,Y15-34,SMT,PC_EMP_PREEMP,BG,2020,,u
dataflow,ESTAT:HSW_PB13(1.0),A,F,Y15-34,SMT,PC_EMP_PREEMP,CH,2013,8.2,
dataflow,ESTAT:HSW_PB13(1.0),A,F,Y15-34,SMT,PC_EMP_PREEMP,CH,2020,10.0,
dataflow,ESTAT:HSW_PB13(1.0),A,F,Y15-34,SMT,PC_EMP_PREEMP,CY,2007,,c
dataflow,ESTAT:HSW_PB13(1.0),A,F,Y15-34,SMT,PC_EMP_PREEMP,CY,2013,,u
dataflow,ESTAT:HSW_PB13(1.0),A,F,Y15-34,SMT,PC_EMP_PREEMP,CY,2020,,u
dataflow,ESTAT:HSW_PB13(1.0),A,F,Y15-34,SMT,PC_EMP_PREEMP,CZ,2007,9.8,du
dataflow,ESTAT:HSW_PB13(1.0),A,F,Y15-34,SMT,PC_EMP_PREEMP,CZ,2013,,u
dataflow,ESTAT:HSW_PB13(1.0),A,F,Y15-34,SMT,PC_EMP_PREEMP,CZ,2020,,u
dataflow,ESTAT:HSW_PB13(1.0),A,F,Y15-34,SMT,PC_EMP_PREEMP,DE,2007,,du
dataflow,ESTAT:HSW_PB13(1.0),A,F,Y15-34,SMT,PC_EMP_PREEMP,DE,2020,,u
dataflow,ESTAT:HSW_PB13(1.0),A,F,Y15-34,SMT,PC_EMP_PREEMP,DK,2007,14.0,u
dataflow,ESTAT:HSW_PB13(1.0),A,F,Y15-34,SMT,PC_EMP_PREEMP,DK,2013,,u
dataflow,ESTAT:HSW_PB13(1.0),A,F,Y15-34,SMT,PC_EMP_PREEMP,DK,2020,10.4,u
dataflow,ESTAT:HSW_PB13(1.0),A,F,Y15-34,SMT,PC_EMP_PREEMP,EA19,2007,22.9,d
dataflow,ESTAT:HSW_PB13(1.0),A,F,Y15-34,SMT,PC_EMP_PREEMP,EA19,2020,7.9,
dataflow,ESTAT:HSW_PB13(1.0),A,F,Y15-34,SMT,PC_EMP_PREEMP,EE,2007,,u
dataflow,ESTAT:HSW_PB13(1.0),A,F,Y15-34,SMT,PC_EMP_PREEMP,EE,2013,,u
dataflow,ESTAT:HSW_PB13(1.0),A,F,Y15-34,SMT,PC_EMP_PREEMP,EE,2020,,u
dataflow,ESTAT:HSW_PB13(1.0),A,F,Y15-34,SMT,PC_EMP_PREEMP,EL,2007,,u
dataflow,ESTAT:HSW_PB13(1.0),A,F,Y15-34,SMT,PC_EMP_PREEMP,EL,2013,,u
dataflow,ESTAT:HSW_PB13(1.0),A,F,Y15-34,SMT,PC_EMP_PREEMP,EL,2020,,u
dataflow,ESTAT:HSW_PB13(1.0),A,F,Y15-34,SMT,PC_EMP_PREEMP,ES,2007,,du
dataflow,ESTAT:HSW_PB13(1.0),A,F,Y15-34,SMT,PC_EMP_PREEMP,ES,2013,4.9,u
dataflow,ESTAT:HSW_PB13(1.0),A,F,Y15-34,SMT,PC_EMP_PREEMP,ES,2020,6.0,u
dataflow,ESTAT:HSW_PB13(1.0),A,F,Y15-34,SMT,PC_EMP_PREEMP,EU27_2020,2007,19.1,d
dataflow,ESTAT:HSW_PB13(1.0),A,F,Y15-34,SMT,PC_EMP_PREEMP,EU27_2020,2020,10.4,
dataflow,ESTAT:HSW_PB13(1.0),A,F,Y15-34,SMT,PC_EMP_PREEMP,EU28,2007,19.1,d
dataflow,ESTAT:HSW_PB13(1.0),A,F,Y15-34,SMT,PC_EMP_PREEMP,FI,2007,26.9,
dataflow,ESTAT:HSW_PB13(1.0),A,F,Y15-34,SMT,PC_EMP_PREEMP,FI,2013,23.9,
dataflow,ESTAT:HSW_PB13(1.0),A,F,Y15-34,SMT,PC_EMP_PREEMP,FI,2020,26.9,
dataflow,ESTAT:HSW_PB13(1.0),A,F,Y15-34,SMT,PC_EMP_PREEMP,FR,2007,64.6,d
dataflow,ESTAT:HSW_PB13(1.0),A,F,Y15-34,SMT,PC_EMP_PREEMP,FR,2013,,u
dataflow,ESTAT:HSW_PB13(1.0),A,F,Y15-34,SMT,PC_EMP_PREEMP,FR,2020,,u
dataflow,ESTAT:HSW_PB13(1.0),A,F,Y15-34,SMT,PC_EMP_PREEMP,HR,2007,,u
dataflow,ESTAT:HSW_PB13(1.0),A,F,Y15-34,SMT,PC_EMP_PREEMP,HR,2013,,u
dataflow,ESTAT:HSW_PB13(1.0),A,F,Y15-34,SMT,PC_EMP_PREEMP,HR,2020,,u
dataflow,ESTAT:HSW_PB13(1.0),A,F,Y15-34,SMT,PC_EMP_PREEMP,HU,2007,,u
dataflow,ESTAT:HSW_PB13(1.0),A,F,Y15-34,SMT,PC_EMP_PREEMP,HU,2013,,u
dataflow,ESTAT:HSW_PB13(1.0),A,F,Y15-34,SMT,PC_EMP_PREEMP,HU,2020,,u
dataflow,ESTAT:HSW_PB13(1.0),A,F,Y15-34,SMT,PC_EMP_PREEMP,IE,2007,,u
dataflow,ESTAT:HSW_PB13(1.0),A,F,Y15-34,SMT,PC_EMP_PREEMP,IE,2013,,u
dataflow,ESTAT:HSW_PB13(1.0),A,F,Y15-34,SMT,PC_EMP_PREEMP,IE,2020,,u
dataflow,ESTAT:HSW_PB13(1.0),A,F,Y15-34,SMT,PC_EMP_PREEMP,IS,2007,,u
dataflow,ESTAT:HSW_PB13(1.0),A,F,Y15-34,SMT,PC_EMP_PREEMP,IS,2020,,u
dataflow,ESTAT:HSW_PB13(1.0),A,F,Y15-34,SMT,PC_EMP_PREEMP,IT,2007,,du
dataflow,ESTAT:HSW_PB13(1.0),A,F,Y15-34,SMT,PC_EMP_PREEMP,IT,2013,,u
dataflow,ESTAT:HSW_PB13(1.0),A,F,Y15-34,SMT,PC_EMP_PREEMP,IT,2020,,u
dataflow,ESTAT:HSW_PB13(1.0),A,F,Y15-34,SMT,PC_EMP_PREEMP,LT,2007,,du
dataflow,ESTAT:HSW_PB13(1.0),A,F,Y15-34,SMT,PC_EMP_PREEMP,LT,2013,,u
dataflow,ESTAT:HSW_PB13(1.0),A,F,Y15-34,SMT,PC_EMP_PREEMP,LT,2020,,u
dataflow,ESTAT:HSW_PB13(1.0),A,F,Y15-34,SMT,PC_EMP_PREEMP,LU,2007,,du
dataflow,ESTAT:HSW_PB13(1.0),A,F,Y15-34,SMT,PC_EMP_PREEMP,LU,2013,,u
dataflow,ESTAT:HSW_PB13(1.0),A,F,Y15-34,SMT,PC_EMP_PREEMP,LU,2020,14.4,
dataflow,ESTAT:HSW_PB13(1.0),A,F,Y15-34,SMT,PC_EMP_PREEMP,LV,2007,,u
dataflow,ESTAT:HSW_PB13(1.0),A,F,Y15-34,SMT,PC_EMP_PREEMP,LV,2013,,u
dataflow,ESTAT:HSW_PB13(1.0),A,F,Y15-34,SMT,PC_EMP_PREEMP,LV,2020,,c
dataflow,ESTAT:HSW_PB13(1.0),A,F,Y15-34,SMT,PC_EMP_PREEMP,MT,2007,,u
dataflow,ESTAT:HSW_PB13(1.0),A,F,Y15-34,SMT,PC_EMP_PREEMP,MT,2013,,u
dataflow,ESTAT:HSW_PB13(1.0),A,F,Y15-34,SMT,PC_EMP_PREEMP,MT,2020,,u
dataflow,ESTAT:HSW_PB13(1.0),A,F,Y15-34,SMT,PC_EMP_PREEMP,NL,2020,7.6,
dataflow,ESTAT:HSW_PB13(1.0),A,F,Y15-34,SMT,PC_EMP_PREEMP,NO,2007,,du
dataflow,ESTAT:HSW_PB13(1.0),A,F,Y15-34,SMT,PC_EMP_PREEMP,NO,2013,,u
dataflow,ESTAT:HSW_PB13(1.0),A,F,Y15-34,SMT,PC_EMP_PREEMP,NO,2020,,u
dataflow,ESTAT:HSW_PB13(1.0),A,F,Y15-34,SMT,PC_EMP_PREEMP,PL,2007,10.5,
dataflow,ESTAT:HSW_PB13(1.0),A,F,Y15-34,SMT,PC_EMP_PREEMP,PL,2013,9.3,u
dataflow,ESTAT:HSW_PB13(1.0),A,F,Y15-34,SMT,PC_EMP_PREEMP,PL,2020,23.6,d
dataflow,ESTAT:HSW_PB13(1.0),A,F,Y15-34,SMT,PC_EMP_PREEMP,PT,2007,,du
dataflow,ESTAT:HSW_PB13(1.0),A,F,Y15-34,SMT,PC_EMP_PREEMP,PT,2013,,u
dataflow,ESTAT:HSW_PB13(1.0),A,F,Y15-34,SMT,PC_EMP_PREEMP,PT,2020,,u
dataflow,ESTAT:HSW_PB13(1.0),A,F,Y15-34,SMT,PC_EMP_PREEMP,RO,2007,,u
dataflow,ESTAT:HSW_PB13(1.0),A,F,Y15-34,SMT,PC_EMP_PREEMP,RO,2013,,u
dataflow,ESTAT:HSW_PB13(1.0),A,F,Y15-34,SMT,PC_EMP_PREEMP,RO,2020,,u
dataflow,ESTAT:HSW_PB13(1.0),A,F,Y15-34,SMT,PC_EMP_PREEMP,SE,2007,18.9,du
dataflow,ESTAT:HSW_PB13(1.0),A,F,Y15-34,SMT,PC_EMP_PREEMP,SE,2013,30.9,
dataflow,ESTAT:HSW_PB13(1.0),A,F,Y15-34,SMT,PC_EMP_PREEMP,SE,2020,29.9,
dataflow,ESTAT:HSW_PB13(1.0),A,F,Y15-34,SMT,PC_EMP_PREEMP,SI,2007,,du
dataflow,ESTAT:HSW_PB13(1.0),A,F,Y15-34,SMT,PC_EMP_PREEMP,SI,2013,,u
dataflow,ESTAT:HSW_PB13(1.0),A,F,Y15-34,SMT,PC_EMP_PREEMP,SI,2020,,u
dataflow,ESTAT:HSW_PB13(1.0),A,F,Y15-34,SMT,PC_EMP_PREEMP,SK,2007,,du
dataflow,ESTAT:HSW_PB13(1.0),A,F,Y15-34,SMT,PC_EMP_PREEMP,SK,2013,,u
dataflow,ESTAT:HSW_PB13(1.0),A,F,Y15-34,SMT,PC_EMP_PREEMP,SK,2020,,u
dataflow,ESTAT:HSW_PB13(1.0),A,F,Y15-34,SMT,PC_EMP_PREEMP,TR,2013,3.2,
dataflow,ESTAT:HSW_PB13(1.0),A,F,Y15-34,SMT,PC_EMP_PREEMP,UK,2013,4.2,
dataflow,ESTAT:HSW_PB13(1.0),A,F,Y15-34,TOTAL,PC_EMP_PREEMP,AT,2007,7.8,
dataflow,ESTAT:HSW_PB13(1.0),A,F,Y15-34,TOTAL,PC_EMP_PREEMP,AT,2013,9.3,
dataflow,ESTAT:HSW_PB13(1.0),A,F,Y15-34,TOTAL,PC_EMP_PREEMP,AT,2020,7.7,
dataflow,ESTAT:HSW_PB13(1.0),A,F,Y15-34,TOTAL,PC_EMP_PREEMP,BE,2007,7.0,d
dataflow,ESTAT:HSW_PB13(1.0),A,F,Y15-34,TOTAL,PC_EMP_PREEMP,BE,2013,5.0,
dataflow,ESTAT:HSW_PB13(1.0),A,F,Y15-34,TOTAL,PC_EMP_PREEMP,BE,2020,6.0,
dataflow,ESTAT:HSW_PB13(1.0),A,F,Y15-34,TOTAL,PC_EMP_PREEMP,BG,2007,2.4,u
dataflow,ESTAT:HSW_PB13(1.0),A,F,Y15-34,TOTAL,PC_EMP_PREEMP,BG,2013,1.2,u
dataflow,ESTAT:HSW_PB13(1.0),A,F,Y15-34,TOTAL,PC_EMP_PREEMP,BG,2020,,u
dataflow,ESTAT:HSW_PB13(1.0),A,F,Y15-34,TOTAL,PC_EMP_PREEMP,CH,2013,9.8,
dataflow,ESTAT:HSW_PB13(1.0),A,F,Y15-34,TOTAL,PC_EMP_PREEMP,CH,2020,10.7,
dataflow,ESTAT:HSW_PB13(1.0),A,F,Y15-34,TOTAL,PC_EMP_PREEMP,CY,2007,3.4,
dataflow,ESTAT:HSW_PB13(1.0),A,F,Y15-34,TOTAL,PC_EMP_PREEMP,CY,2013,1.9,
dataflow,ESTAT:HSW_PB13(1.0),A,F,Y15-34,TOTAL,PC_EMP_PREEMP,CY,2020,0.8,u
dataflow,ESTAT:HSW_PB13(1.0),A,F,Y15-34,TOTAL,PC_EMP_PREEMP,CZ,2007,5.6,d
dataflow,ESTAT:HSW_PB13(1.0),A,F,Y15-34,TOTAL,PC_EMP_PREEMP,CZ,2013,1.8,
dataflow,ESTAT:HSW_PB13(1.0),A,F,Y15-34,TOTAL,PC_EMP_PREEMP,CZ,2020,1.8,
dataflow,ESTAT:HSW_PB13(1.0),A,F,Y15-34,TOTAL,PC_EMP_PREEMP,DE,2007,3.7,du
dataflow,ESTAT:HSW_PB13(1.0),A,F,Y15-34,TOTAL,PC_EMP_PREEMP,DE,2020,6.8,
dataflow,ESTAT:HSW_PB13(1.0),A,F,Y15-34,TOTAL,PC_EMP_PREEMP,DK,2007,11.7,
dataflow,ESTAT:HSW_PB13(1.0),A,F,Y15-34,TOTAL,PC_EMP_PREEMP,DK,2013,5.0,
dataflow,ESTAT:HSW_PB13(1.0),A,F,Y15-34,TOTAL,PC_EMP_PREEMP,DK,2020,8.3,u
dataflow,ESTAT:HSW_PB13(1.0),A,F,Y15-34,TOTAL,PC_EMP_PREEMP,EA19,2007,11.8,d
dataflow,ESTAT:HSW_PB13(1.0),A,F,Y15-34,TOTAL,PC_EMP_PREEMP,EA19,2020,5.7,
dataflow,ESTAT:HSW_PB13(1.0),A,F,Y15-34,TOTAL,PC_EMP_PREEMP,EE,2007,4.0,
dataflow,ESTAT:HSW_PB13(1.0),A,F,Y15-34,TOTAL,PC_EMP_PREEMP,EE,2013,2.3,u
dataflow,ESTAT:HSW_PB13(1.0),A,F,Y15-34,TOTAL,PC_EMP_PREEMP,EE,2020,2.8,u
dataflow,ESTAT:HSW_PB13(1.0),A,F,Y15-34,TOTAL,PC_EMP_PREEMP,EL,2007,2.5,
dataflow,ESTAT:HSW_PB13(1.0),A,F,Y15-34,TOTAL,PC_EMP_PREEMP,EL,2013,2.7,
dataflow,ESTAT:HSW_PB13(1.0),A,F,Y15-34,TOTAL,PC_EMP_PREEMP,EL,2020,1.6,u
dataflow,ESTAT:HSW_PB13(1.0),A,F,Y15-34,TOTAL,PC_EMP_PREEMP,ES,2007,3.4,d
dataflow,ESTAT:HSW_PB13(1.0),A,F,Y15-34,TOTAL,PC_EMP_PREEMP,ES,2013,2.6,
dataflow,ESTAT:HSW_PB13(1.0),A,F,Y15-34,TOTAL,PC_EMP_PREEMP,ES,2020,3.6,
dataflow,ESTAT:HSW_PB13(1.0),A,F,Y15-34,TOTAL,PC_EMP_PREEMP,EU27_2020,2007,10.6,d
dataflow,ESTAT:HSW_PB13(1.0),A,F,Y15-34,TOTAL,PC_EMP_PREEMP,EU27_2020,2020,7.2,
dataflow,ESTAT:HSW_PB13(1.0),A,F,Y15-34,TOTAL,PC_EMP_PREEMP,EU28,2007,9.5,d
dataflow,ESTAT:HSW_PB13(1.0),A,F,Y15-34,TOTAL,PC_EMP_PREEMP,FI,2007,16.4,
dataflow,ESTAT:HSW_PB13(1.0),A,F,Y15-34,TOTAL,PC_EMP_PREEMP,FI,2013,18.7,
dataflow,ESTAT:HSW_PB13(1.0),A,F,Y15-34,TOTAL,PC_EMP_PREEMP,FI,2020,20.5,
dataflow,ESTAT:HSW_PB13(1.0),A,F,Y15-34,TOTAL,PC_EMP_PREEMP,FR,2007,45.0,d
dataflow,ESTAT:HSW_PB13(1.0),A,F,Y15-34,TOTAL,PC_EMP_PREEMP,FR,2013,9.6,
dataflow,ESTAT:HSW_PB13(1.0),A,F,Y15-34,TOTAL,PC_EMP_PREEMP,FR,2020,6.9,
