STRUCTURE,STRUCTURE_ID,freq,unit,frequenc,sex,age,bmi,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
dataflow,ESTAT:HLTH_EHIS_FV7M(1.0),A,PC,1-3W,F,TOTAL,BMI18P5-24,PT,2019,12.5,
dataflow,ESTAT:HLTH_EHIS_FV7M(1.0),A,PC,1-3W,F,TOTAL,BMI18P5-24,RO,2019,26.1,
dataflow,ESTAT:HLTH_EHIS_FV7M(1.0),A,PC,1-3W,F,TOTAL,BMI18P5-24,RS,2019,25.5,
dataflow,ESTAT:HLTH_EHIS_FV7M(1.0),A,PC,1-3W,F,TOTAL,BMI18P5-24,SE,2019,19.8,
dataflow,ESTAT:HLTH_EHIS_FV7M(1.0),A,PC,1-3W,F,TOTAL,BMI18P5-24,SI,2019,10.2,
dataflow,ESTAT:HLTH_EHIS_FV7M(1.0),A,PC,1-3W,F,TOTAL,BMI18P5-24,SK,2019,10.4,
dataflow,ESTAT:HLTH_EHIS_FV7M(1.0),A,PC,1-3W,F,TOTAL,BMI18P5-24,TR,2019,22.5,
dataflow,ESTAT:HLTH_EHIS_FV7M(1.0),A,PC,1-3W,F,TOTAL,BMI25-29,AT,2019,11.2,
dataflow,ESTAT:HLTH_EHIS_FV7M(1.0),A,PC,1-3W,F,TOTAL,BMI25-29,BE,2019,14.2,
dataflow,ESTAT:HLTH_EHIS_FV7M(1.0),A,PC,1-3W,F,TOTAL,BMI25-29,BG,2019,26.6,
dataflow,ESTAT:HLTH_EHIS_FV7M(1.0),A,PC,1-3W,F,TOTAL,BMI25-29,CY,2019,30.2,
dataflow,ESTAT:HLTH_EHIS_FV7M(1.0),A,PC,1-3W,F,TOTAL,BMI25-29,CZ,2019,13.1,
dataflow,ESTAT:HLTH_EHIS_FV7M(1.0),A,PC,1-3W,F,TOTAL,BMI25-29,DE,2019,17.6,
dataflow,ESTAT:HLTH_EHIS_FV7M(1.0),A,PC,1-3W,F,TOTAL,BMI25-29,DK,2019,16.3,
dataflow,ESTAT:HLTH_EHIS_FV7M(1.0),A,PC,1-3W,F,TOTAL,BMI25-29,EE,2019,9.1,
dataflow,ESTAT:HLTH_EHIS_FV7M(1.0),A,PC,1-3W,F,TOTAL,BMI25-29,EL,2019,18.9,
dataflow,ESTAT:HLTH_EHIS_FV7M(1.0),A,PC,1-3W,F,TOTAL,BMI25-29,ES,2019,17.1,
dataflow,ESTAT:HLTH_EHIS_FV7M(1.0),A,PC,1-3W,F,TOTAL,BMI25-29,EU27_2020,2019,15.4,
dataflow,ESTAT:HLTH_EHIS_FV7M(1.0),A,PC,1-3W,F,TOTAL,BMI25-29,FI,2019,10.2,
dataflow,ESTAT:HLTH_EHIS_FV7M(1.0),A,PC,1-3W,F,TOTAL,BMI25-29,FR,2019,12.0,
dataflow,ESTAT:HLTH_EHIS_FV7M(1.0),A,PC,1-3W,F,TOTAL,BMI25-29,HR,2019,12.6,
dataflow,ESTAT:HLTH_EHIS_FV7M(1.0),A,PC,1-3W,F,TOTAL,BMI25-29,HU,2019,12.3,
dataflow,ESTAT:HLTH_EHIS_FV7M(1.0),A,PC,1-3W,F,TOTAL,BMI25-29,IE,2019,15.2,
dataflow,ESTAT:HLTH_EHIS_FV7M(1.0),A,PC,1-3W,F,TOTAL,BMI25-29,IS,2019,13.0,
dataflow,ESTAT:HLTH_EHIS_FV7M(1.0),A,PC,1-3W,F,TOTAL,BMI25-29,IT,2019,11.4,
dataflow,ESTAT:HLTH_EHIS_FV7M(1.0),A,PC,1-3W,F,TOTAL,BMI25-29,LT,2019,7.7,
dataflow,ESTAT:HLTH_EHIS_FV7M(1.0),A,PC,1-3W,F,TOTAL,BMI25-29,LU,2019,12.4,
dataflow,ESTAT:HLTH_EHIS_FV7M(1.0),A,PC,1-3W,F,TOTAL,BMI25-29,LV,2019,10.2,
dataflow,ESTAT:HLTH_EHIS_FV7M(1.0),A,PC,1-3W,F,TOTAL,BMI25-29,MT,2019,8.9,
dataflow,ESTAT:HLTH_EHIS_FV7M(1.0),A,PC,1-3W,F,TOTAL,BMI25-29,NO,2019,11.1,
dataflow,ESTAT:HLTH_EHIS_FV7M(1.0),A,PC,1-3W,F,TOTAL,BMI25-29,PL,2019,17.9,
dataflow,ESTAT:HLTH_EHIS_FV7M(1.0),A,PC,1-3W,F,TOTAL,BMI25-29,PT,2019,11.1,
dataflow,ESTAT:HLTH_EHIS_FV7M(1.0),A,PC,1-3W,F,TOTAL,BMI25-29,RO,2019,20.5,
dataflow,ESTAT:HLTH_EHIS_FV7M(1.0),A,PC,1-3W,F,TOTAL,BMI25-29,RS,2019,22.1,
dataflow,ESTAT:HLTH_EHIS_FV7M(1.0),A,PC,1-3W,F,TOTAL,BMI25-29,SE,2019,18.4,
dataflow,ESTAT:HLTH_EHIS_FV7M(1.0),A,PC,1-3W,F,TOTAL,BMI25-29,SI,2019,10.4,
dataflow,ESTAT:HLTH_EHIS_FV7M(1.0),A,PC,1-3W,F,TOTAL,BMI25-29,SK,2019,14.3,
dataflow,ESTAT:HLTH_EHIS_FV7M(1.0),A,PC,1-3W,F,TOTAL,BMI25-29,TR,2019,18.5,
dataflow,ESTAT:HLTH_EHIS_FV7M(1.0),A,PC,1-3W,F,TOTAL,BMI_GE25,AT,2019,11.9,
dataflow,ESTAT:HLTH_EHIS_FV7M(1.0),A,PC,1-3W,F,TOTAL,BMI_GE25,BE,2019,14.0,
dataflow,ESTAT:HLTH_EHIS_FV7M(1.0),A,PC,1-3W,F,TOTAL,BMI_GE25,BG,2019,25.1,
dataflow,ESTAT:HLTH_EHIS_FV7M(1.0),A,PC,1-3W,F,TOTAL,BMI_GE25,CY,2019,30.2,
dataflow,ESTAT:HLTH_EHIS_FV7M(1.0),A,PC,1-3W,F,TOTAL,BMI_GE25,CZ,2019,13.8,
dataflow,ESTAT:HLTH_EHIS_FV7M(1.0),A,PC,1-3W,F,TOTAL,BMI_GE25,DE,2019,16.8,
dataflow,ESTAT:HLTH_EHIS_FV7M(1.0),A,PC,1-3W,F,TOTAL,BMI_GE25,DK,2019,16.2,
dataflow,ESTAT:HLTH_EHIS_FV7M(1.0),A,PC,1-3W,F,TOTAL,BMI_GE25,EE,2019,8.5,
dataflow,ESTAT:HLTH_EHIS_FV7M(1.0),A,PC,1-3W,F,TOTAL,BMI_GE25,EL,2019,18.7,
dataflow,ESTAT:HLTH_EHIS_FV7M(1.0),A,PC,1-3W,F,TOTAL,BMI_GE25,ES,2019,16.9,
dataflow,ESTAT:HLTH_EHIS_FV7M(1.0),A,PC,1-3W,F,TOTAL,BMI_GE25,EU27_2020,2019,15.2,
dataflow,ESTAT:HLTH_EHIS_FV7M(1.0),A,PC,1-3W,F,TOTAL,BMI_GE25,FI,2019,10.0,
dataflow,ESTAT:HLTH_EHIS_FV7M(1.0),A,PC,1-3W,F,TOTAL,BMI_GE25,FR,2019,12.4,
dataflow,ESTAT:HLTH_EHIS_FV7M(1.0),A,PC,1-3W,F,TOTAL,BMI_GE25,HR,2019,13.3,
dataflow,ESTAT:HLTH_EHIS_FV7M(1.0),A,PC,1-3W,F,TOTAL,BMI_GE25,HU,2019,13.1,
dataflow,ESTAT:HLTH_EHIS_FV7M(1.0),A,PC,1-3W,F,TOTAL,BMI_GE25,IE,2019,17.2,
dataflow,ESTAT:HLTH_EHIS_FV7M(1.0),A,PC,1-3W,F,TOTAL,BMI_GE25,IS,2019,15.0,
dataflow,ESTAT:HLTH_EHIS_FV7M(1.0),A,PC,1-3W,F,TOTAL,BMI_GE25,IT,2019,11.1,
dataflow,ESTAT:HLTH_EHIS_FV7M(1.0),A,PC,1-3W,F,TOTAL,BMI_GE25,LT,2019,8.2,
dataflow,ESTAT:HLTH_EHIS_FV7M(1.0),A,PC,1-3W,F,TOTAL,BMI_GE25,LU,2019,13.5,
dataflow,ESTAT:HLTH_EHIS_FV7M(1.0),A,PC,1-3W,F,TOTAL,BMI_GE25,LV,2019,9.4,
dataflow,ESTAT:HLTH_EHIS_FV7M(1.0),A,PC,1-3W,F,TOTAL,BMI_GE25,MT,2019,9.6,
dataflow,ESTAT:HLTH_EHIS_FV7M(1.0),A,PC,1-3W,F,TOTAL,BMI_GE25,NO,2019,10.6,
dataflow,ESTAT:HLTH_EHIS_FV7M(1.0),A,PC,1-3W,F,TOTAL,BMI_GE25,PL,2019,16.9,
dataflow,ESTAT:HLTH_EHIS_FV7M(1.0),A,PC,1-3W,F,TOTAL,BMI_GE25,PT,2019,11.6,
dataflow,ESTAT:HLTH_EHIS_FV7M(1.0),A,PC,1-3W,F,TOTAL,BMI_GE25,RO,2019,21.1,
dataflow,ESTAT:HLTH_EHIS_FV7M(1.0),A,PC,1-3W,F,TOTAL,BMI_GE25,RS,2019,22.3,
dataflow,ESTAT:HLTH_EHIS_FV7M(1.0),A,PC,1-3W,F,TOTAL,BMI_GE25,SE,2019,18.9,
dataflow,ESTAT:HLTH_EHIS_FV7M(1.0),A,PC,1-3W,F,TOTAL,BMI_GE25,SI,2019,10.8,
dataflow,ESTAT:HLTH_EHIS_FV7M(1.0),A,PC,1-3W,F,TOTAL,BMI_GE25,SK,2019,13.3,
dataflow,ESTAT:HLTH_EHIS_FV7M(1.0),A,PC,1-3W,F,TOTAL,BMI_GE25,TR,2019,17.9,
dataflow,ESTAT:HLTH_EHIS_FV7M(1.0),A,PC,1-3W,F,TOTAL,BMI_GE30,AT,2019,13.2,
dataflow,ESTAT:HLTH_EHIS_FV7M(1.0),A,PC,1-3W,F,TOTAL,BMI_GE30,BE,2019,13.8,
dataflow,ESTAT:HLTH_EHIS_FV7M(1.0),A,PC,1-3W,F,TOTAL,BMI_GE30,BG,2019,20.7,
dataflow,ESTAT:HLTH_EHIS_FV7M(1.0),A,PC,1-3W,F,TOTAL,BMI_GE30,CY,2019,30.0,
dataflow,ESTAT:HLTH_EHIS_FV7M(1.0),A,PC,1-3W,F,TOTAL,BMI_GE30,CZ,2019,15.1,
dataflow,ESTAT:HLTH_EHIS_FV7M(1.0),A,PC,1-3W,F,TOTAL,BMI_GE30,DE,2019,15.5,
dataflow,ESTAT:HLTH_EHIS_FV7M(1.0),A,PC,1-3W,F,TOTAL,BMI_GE30,DK,2019,16.1,
dataflow,ESTAT:HLTH_EHIS_FV7M(1.0),A,PC,1-3W,F,TOTAL,BMI_GE30,EE,2019,7.7,
dataflow,ESTAT:HLTH_EHIS_FV7M(1.0),A,PC,1-3W,F,TOTAL,BMI_GE30,EL,2019,18.2,
dataflow,ESTAT:HLTH_EHIS_FV7M(1.0),A,PC,1-3W,F,TOTAL,BMI_GE30,ES,2019,16.5,
dataflow,ESTAT:HLTH_EHIS_FV7M(1.0),A,PC,1-3W,F,TOTAL,BMI_GE30,EU27_2020,2019,14.7,
dataflow,ESTAT:HLTH_EHIS_FV7M(1.0),A,PC,1-3W,F,TOTAL,BMI_GE30,FI,2019,9.7,
dataflow,ESTAT:HLTH_EHIS_FV7M(1.0),A,PC,1-3W,F,TOTAL,BMI_GE30,FR,2019,13.0,
dataflow,ESTAT:HLTH_EHIS_FV7M(1.0),A,PC,1-3W,F,TOTAL,BMI_GE30,HR,2019,14.3,
dataflow,ESTAT:HLTH_EHIS_FV7M(1.0),A,PC,1-3W,F,TOTAL,BMI_GE30,HU,2019,14.2,
dataflow,ESTAT:HLTH_EHIS_FV7M(1.0),A,PC,1-3W,F,TOTAL,BMI_GE30,IE,2019,18.8,
dataflow,ESTAT:HLTH_EHIS_FV7M(1.0),A,PC,1-3W,F,TOTAL,BMI_GE30,IS,2019,18.0,
dataflow,ESTAT:HLTH_EHIS_FV7M(1.0),A,PC,1-3W,F,TOTAL,BMI_GE30,IT,2019,10.3,
dataflow,ESTAT:HLTH_EHIS_FV7M(1.0),A,PC,1-3W,F,TOTAL,BMI_GE30,LT,2019,9.0,
dataflow,ESTAT:HLTH_EHIS_FV7M(1.0),A,PC,1-3W,F,TOTAL,BMI_GE30,LU,2019,15.2,
dataflow,ESTAT:HLTH_EHIS_FV7M(1.0),A,PC,1-3W,F,TOTAL,BMI_GE30,LV,2019,8.4,
dataflow,ESTAT:HLTH_EHIS_FV7M(1.0),A,PC,1-3W,F,TOTAL,BMI_GE30,MT,2019,10.4,
dataflow,ESTAT:HLTH_EHIS_FV7M(1.0),A,PC,1-3W,F,TOTAL,BMI_GE30,NO,2019,9.3,
dataflow,ESTAT:HLTH_EHIS_FV7M(1.0),A,PC,1-3W,F,TOTAL,BMI_GE30,PL,2019,15.2,
dataflow,ESTAT:HLTH_EHIS_FV7M(1.0),A,PC,1-3W,F,TOTAL,BMI_GE30,PT,2019,12.4,
dataflow,ESTAT:HLTH_EHIS_FV7M(1.0),A,PC,1-3W,F,TOTAL,BMI_GE30,RO,2019,23.1,
dataflow,ESTAT:HLTH_EHIS_FV7M(1.0),A,PC,1-3W,F,TOTAL,BMI_GE30,RS,2019,22.7,
dataflow,ESTAT:HLTH_EHIS_FV7M(1.0),A,PC,1-3W,F,TOTAL,BMI_GE30,SE,2019,19.8,
dataflow,ESTAT:HLTH_EHIS_FV7M(1.0),A,PC,1-3W,F,TOTAL,BMI_GE30,SI,2019,11.6,
dataflow,ESTAT:HLTH_EHIS_FV7M(1.0),A,PC,1-3W,F,TOTAL,BMI_GE30,SK,2019,11.7,
dataflow,ESTAT:HLTH_EHIS_FV7M(1.0),A,PC,1-3W,F,TOTAL,BMI_GE30,TR,2019,17.2,
dataflow,ESTAT:HLTH_EHIS_FV7M(1.0),A,PC,1-3W,F,TOTAL,BMI_LT18P5,AT,2019,13.6,
dataflow,ESTAT:HLTH_EHIS_FV7M(1.0),A,PC,1-3W,F,TOTAL,BMI_LT18P5,BE,2019,12.3,
dataflow,ESTAT:HLTH_EHIS_FV7M(1.0),A,PC,1-3W,F,TOTAL,BMI_LT18P5,BG,2019,18.7,
dataflow,ESTAT:HLTH_EHIS_FV7M(1.0),A,PC,1-3W,F,TOTAL,BMI_LT18P5,CY,2019,18.6,
dataflow,ESTAT:HLTH_EHIS_FV7M(1.0),A,PC,1-3W,F,TOTAL,BMI_LT18P5,CZ,2019,19.7,
dataflow,ESTAT:HLTH_EHIS_FV7M(1.0),A,PC,1-3W,F,TOTAL,BMI_LT18P5,DE,2019,13.6,
dataflow,ESTAT:HLTH_EHIS_FV7M(1.0),A,PC,1-3W,F,TOTAL,BMI_LT18P5,DK,2019,19.8,
dataflow,ESTAT:HLTH_EHIS_FV7M(1.0),A,PC,1-3W,F,TOTAL,BMI_LT18P5,EE,2019,14.3,
dataflow,ESTAT:HLTH_EHIS_FV7M(1.0),A,PC,1-3W,F,TOTAL,BMI_LT18P5,EL,2019,23.4,
dataflow,ESTAT:HLTH_EHIS_FV7M(1.0),A,PC,1-3W,F,TOTAL,BMI_LT18P5,ES,2019,21.7,
dataflow,ESTAT:HLTH_EHIS_FV7M(1.0),A,PC,1-3W,F,TOTAL,BMI_LT18P5,EU27_2020,2019,17.8,
dataflow,ESTAT:HLTH_EHIS_FV7M(1.0),A,PC,1-3W,F,TOTAL,BMI_LT18P5,FI,2019,9.9,
dataflow,ESTAT:HLTH_EHIS_FV7M(1.0),A,PC,1-3W,F,TOTAL,BMI_LT18P5,FR,2019,18.8,
dataflow,ESTAT:HLTH_EHIS_FV7M(1.0),A,PC,1-3W,F,TOTAL,BMI_LT18P5,HR,2019,18.5,
dataflow,ESTAT:HLTH_EHIS_FV7M(1.0),A,PC,1-3W,F,TOTAL,BMI_LT18P5,HU,2019,20.9,
dataflow,ESTAT:HLTH_EHIS_FV7M(1.0),A,PC,1-3W,F,TOTAL,BMI_LT18P5,IE,2019,13.8,
dataflow,ESTAT:HLTH_EHIS_FV7M(1.0),A,PC,1-3W,F,TOTAL,BMI_LT18P5,IS,2019,36.1,u
dataflow,ESTAT:HLTH_EHIS_FV7M(1.0),A,PC,1-3W,F,TOTAL,BMI_LT18P5,IT,2019,18.3,
dataflow,ESTAT:HLTH_EHIS_FV7M(1.0),A,PC,1-3W,F,TOTAL,BMI_LT18P5,LT,2019,28.5,
dataflow,ESTAT:HLTH_EHIS_FV7M(1.0),A,PC,1-3W,F,TOTAL,BMI_LT18P5,LU,2019,11.9,
dataflow,ESTAT:HLTH_EHIS_FV7M(1.0),A,PC,1-3W,F,TOTAL,BMI_LT18P5,LV,2019,20.3,
dataflow,ESTAT:HLTH_EHIS_FV7M(1.0),A,PC,1-3W,F,TOTAL,BMI_LT18P5,MT,2019,12.3,u
dataflow,ESTAT:HLTH_EHIS_FV7M(1.0),A,PC,1-3W,F,TOTAL,BMI_LT18P5,NO,2019,18.2,
dataflow,ESTAT:HLTH_EHIS_FV7M(1.0),A,PC,1-3W,F,TOTAL,BMI_LT18P5,PL,2019,19.2,
dataflow,ESTAT:HLTH_EHIS_FV7M(1.0),A,PC,1-3W,F,TOTAL,BMI_LT18P5,PT,2019,17.3,
dataflow,ESTAT:HLTH_EHIS_FV7M(1.0),A,PC,1-3W,F,TOTAL,BMI_LT18P5,RO,2019,22.7,
dataflow,ESTAT:HLTH_EHIS_FV7M(1.0),A,PC,1-3W,F,TOTAL,BMI_LT18P5,RS,2019,27.4,
dataflow,ESTAT:HLTH_EHIS_FV7M(1.0),A,PC,1-3W,F,TOTAL,BMI_LT18P5,SE,2019,27.6,
dataflow,ESTAT:HLTH_EHIS_FV7M(1.0),A,PC,1-3W,F,TOTAL,BMI_LT18P5,SI,2019,11.9,
dataflow,ESTAT:HLTH_EHIS_FV7M(1.0),A,PC,1-3W,F,TOTAL,BMI_LT18P5,SK,2019,10.2,
dataflow,ESTAT:HLTH_EHIS_FV7M(1.0),A,PC,1-3W,F,TOTAL,BMI_LT18P5,TR,2019,24.1,
dataflow,ESTAT:HLTH_EHIS_FV7M(1.0),A,PC,1-3W,F,Y15-24,BMI18P5-24,AT,2019,26.9,
dataflow,ESTAT:HLTH_EHIS_FV7M(1.0),A,PC,1-3W,F,Y15-24,BMI18P5-24,BE,2019,28.8,
dataflow,ESTAT:HLTH_EHIS_FV7M(1.0),A,PC,1-3W,F,Y15-24,BMI18P5-24,BG,2019,31.2,
dataflow,ESTAT:HLTH_EHIS_FV7M(1.0),A,PC,1-3W,F,Y15-24,BMI18P5-24,CY,2019,26.8,
dataflow,ESTAT:HLTH_EHIS_FV7M(1.0),A,PC,1-3W,F,Y15-24,BMI18P5-24,CZ,2019,30.0,
dataflow,ESTAT:HLTH_EHIS_FV7M(1.0),A,PC,1-3W,F,Y15-24,BMI18P5-24,DE,2019,28.7,
dataflow,ESTAT:HLTH_EHIS_FV7M(1.0),A,PC,1-3W,F,Y15-24,BMI18P5-24,DK,2019,30.3,
dataflow,ESTAT:HLTH_EHIS_FV7M(1.0),A,PC,1-3W,F,Y15-24,BMI18P5-24,EE,2019,15.0,
dataflow,ESTAT:HLTH_EHIS_FV7M(1.0),A,PC,1-3W,F,Y15-24,BMI18P5-24,EL,2019,30.4,
dataflow,ESTAT:HLTH_EHIS_FV7M(1.0),A,PC,1-3W,F,Y15-24,BMI18P5-24,ES,2019,31.8,
dataflow,ESTAT:HLTH_EHIS_FV7M(1.0),A,PC,1-3W,F,Y15-24,BMI18P5-24,EU27_2020,2019,28.5,
dataflow,ESTAT:HLTH_EHIS_FV7M(1.0),A,PC,1-3W,F,Y15-24,BMI18P5-24,FI,2019,28.3,
dataflow,ESTAT:HLTH_EHIS_FV7M(1.0),A,PC,1-3W,F,Y15-24,BMI18P5-24,FR,2019,24.9,
dataflow,ESTAT:HLTH_EHIS_FV7M(1.0),A,PC,1-3W,F,Y15-24,BMI18P5-24,HR,2019,31.2,
dataflow,ESTAT:HLTH_EHIS_FV7M(1.0),A,PC,1-3W,F,Y15-24,BMI18P5-24,HU,2019,26.4,
dataflow,ESTAT:HLTH_EHIS_FV7M(1.0),A,PC,1-3W,F,Y15-24,BMI18P5-24,IE,2019,22.4,u
dataflow,ESTAT:HLTH_EHIS_FV7M(1.0),A,PC,1-3W,F,Y15-24,BMI18P5-24,IS,2019,23.4,
dataflow,ESTAT:HLTH_EHIS_FV7M(1.0),A,PC,1-3W,F,Y15-24,BMI18P5-24,IT,2019,23.9,
dataflow,ESTAT:HLTH_EHIS_FV7M(1.0),A,PC,1-3W,F,Y15-24,BMI18P5-24,LT,2019,33.8,
dataflow,ESTAT:HLTH_EHIS_FV7M(1.0),A,PC,1-3W,F,Y15-24,BMI18P5-24,LU,2019,23.3,
dataflow,ESTAT:HLTH_EHIS_FV7M(1.0),A,PC,1-3W,F,Y15-24,BMI18P5-24,LV,2019,29.2,
dataflow,ESTAT:HLTH_EHIS_FV7M(1.0),A,PC,1-3W,F,Y15-24,BMI18P5-24,MT,2019,22.5,
dataflow,ESTAT:HLTH_EHIS_FV7M(1.0),A,PC,1-3W,F,Y15-24,BMI18P5-24,NO,2019,24.7,
dataflow,ESTAT:HLTH_EHIS_FV7M(1.0),A,PC,1-3W,F,Y15-24,BMI18P5-24,PL,2019,30.5,
dataflow,ESTAT:HLTH_EHIS_FV7M(1.0),A,PC,1-3W,F,Y15-24,BMI18P5-24,PT,2019,22.6,
dataflow,ESTAT:HLTH_EHIS_FV7M(1.0),A,PC,1-3W,F,Y15-24,BMI18P5-24,RO,2019,35.7,
dataflow,ESTAT:HLTH_EHIS_FV7M(1.0),A,PC,1-3W,F,Y15-24,BMI18P5-24,RS,2019,29.6,
dataflow,ESTAT:HLTH_EHIS_FV7M(1.0),A,PC,1-3W,F,Y15-24,BMI18P5-24,SE,2019,39.9,
dataflow,ESTAT:HLTH_EHIS_FV7M(1.0),A,PC,1-3W,F,Y15-24,BMI18P5-24,SI,2019,18.4,
dataflow,ESTAT:HLTH_EHIS_FV7M(1.0),A,PC,1-3W,F,Y15-24,BMI18P5-24,SK,2019,20.3,
dataflow,ESTAT:HLTH_EHIS_FV7M(1.0),A,PC,1-3W,F,Y15-24,BMI18P5-24,TR,2019,31.4,
dataflow,ESTAT:HLTH_EHIS_FV7M(1.0),A,PC,1-3W,F,Y15-24,BMI25-29,AT,2019,30.3,
dataflow,ESTAT:HLTH_EHIS_FV7M(1.0),A,PC,1-3W,F,Y15-24,BMI25-29,BE,2019,14.3,
dataflow,ESTAT:HLTH_EHIS_FV7M(1.0),A,PC,1-3W,F,Y15-24,BMI25-29,BG,2019,45.4,u
dataflow,ESTAT:HLTH_EHIS_FV7M(1.0),A,PC,1-3W,F,Y15-24,BMI25-29,CY,2019,28.5,u
dataflow,ESTAT:HLTH_EHIS_FV7M(1.0),A,PC,1-3W,F,Y15-24,BMI25-29,CZ,2019,23.7,u
dataflow,ESTAT:HLTH_EHIS_FV7M(1.0),A,PC,1-3W,F,Y15-24,BMI25-29,DE,2019,35.8,
dataflow,ESTAT:HLTH_EHIS_FV7M(1.0),A,PC,1-3W,F,Y15-24,BMI25-29,DK,2019,15.6,u
dataflow,ESTAT:HLTH_EHIS_FV7M(1.0),A,PC,1-3W,F,Y15-24,BMI25-29,EE,2019,16.7,u
dataflow,ESTAT:HLTH_EHIS_FV7M(1.0),A,PC,1-3W,F,Y15-24,BMI25-29,EL,2019,28.2,u
dataflow,ESTAT:HLTH_EHIS_FV7M(1.0),A,PC,1-3W,F,Y15-24,BMI25-29,ES,2019,36.2,
dataflow,ESTAT:HLTH_EHIS_FV7M(1.0),A,PC,1-3W,F,Y15-24,BMI25-29,EU27_2020,2019,29.3,
dataflow,ESTAT:HLTH_EHIS_FV7M(1.0),A,PC,1-3W,F,Y15-24,BMI25-29,FI,2019,32.9,
dataflow,ESTAT:HLTH_EHIS_FV7M(1.0),A,PC,1-3W,F,Y15-24,BMI25-29,FR,2019,18.8,
dataflow,ESTAT:HLTH_EHIS_FV7M(1.0),A,PC,1-3W,F,Y15-24,BMI25-29,HR,2019,21.5,u
dataflow,ESTAT:HLTH_EHIS_FV7M(1.0),A,PC,1-3W,F,Y15-24,BMI25-29,HU,2019,42.6,u
dataflow,ESTAT:HLTH_EHIS_FV7M(1.0),A,PC,1-3W,F,Y15-24,BMI25-29,IE,2019,33.6,u
dataflow,ESTAT:HLTH_EHIS_FV7M(1.0),A,PC,1-3W,F,Y15-24,BMI25-29,IS,2019,13.0,u
dataflow,ESTAT:HLTH_EHIS_FV7M(1.0),A,PC,1-3W,F,Y15-24,BMI25-29,IT,2019,29.4,
dataflow,ESTAT:HLTH_EHIS_FV7M(1.0),A,PC,1-3W,F,Y15-24,BMI25-29,LT,2019,20.3,u
