STRUCTURE,STRUCTURE_ID,freq,unit,sex,n_hprob,diagnose,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
dataflow,ESTAT:HSW_HP_DISNU(1.0),A,NR,M,1,MUSC_SKE,EU_V,1999,1134919,
dataflow,ESTAT:HSW_HP_DISNU(1.0),A,NR,M,1,OTHER,EU_V,1999,136323,
dataflow,ESTAT:HSW_HP_DISNU(1.0),A,NR,M,1,PULMONAR,EU_V,1999,182717,
dataflow,ESTAT:HSW_HP_DISNU(1.0),A,NR,M,1,SKIN_DIS,EU_V,1999,50388,
dataflow,ESTAT:HSW_HP_DISNU(1.0),A,NR,M,1,STRESS,EU_V,1999,359517,
dataflow,ESTAT:HSW_HP_DISNU(1.0),A,NR,M,1,TOTAL,EU_V,1999,2915510,
dataflow,ESTAT:HSW_HP_DISNU(1.0),A,NR,M,1,UNK,EU_V,1999,733786,
dataflow,ESTAT:HSW_HP_DISNU(1.0),A,NR,M,2,CARDIO_V,EU_V,1999,12259,
dataflow,ESTAT:HSW_HP_DISNU(1.0),A,NR,M,2,HEAD_EYE,EU_V,1999,8067,
dataflow,ESTAT:HSW_HP_DISNU(1.0),A,NR,M,2,HEARING,EU_V,1999,5699,
dataflow,ESTAT:HSW_HP_DISNU(1.0),A,NR,M,2,INFECTIO,EU_V,1999,4278,
dataflow,ESTAT:HSW_HP_DISNU(1.0),A,NR,M,2,MUSC_SKE,EU_V,1999,95934,
dataflow,ESTAT:HSW_HP_DISNU(1.0),A,NR,M,2,OTHER,EU_V,1999,8506,
dataflow,ESTAT:HSW_HP_DISNU(1.0),A,NR,M,2,PULMONAR,EU_V,1999,20944,
dataflow,ESTAT:HSW_HP_DISNU(1.0),A,NR,M,2,SKIN_DIS,EU_V,1999,5324,
dataflow,ESTAT:HSW_HP_DISNU(1.0),A,NR,M,2,STRESS,EU_V,1999,25790,
dataflow,ESTAT:HSW_HP_DISNU(1.0),A,NR,M,2,TOTAL,EU_V,1999,204245,
dataflow,ESTAT:HSW_HP_DISNU(1.0),A,NR,M,2,UNK,EU_V,1999,17442,
dataflow,ESTAT:HSW_HP_DISNU(1.0),A,NR,M,3,CARDIO_V,EU_V,1999,4731,
dataflow,ESTAT:HSW_HP_DISNU(1.0),A,NR,M,3,HEAD_EYE,EU_V,1999,2078,
dataflow,ESTAT:HSW_HP_DISNU(1.0),A,NR,M,3,HEARING,EU_V,1999,959,
dataflow,ESTAT:HSW_HP_DISNU(1.0),A,NR,M,3,INFECTIO,EU_V,1999,1321,
dataflow,ESTAT:HSW_HP_DISNU(1.0),A,NR,M,3,MUSC_SKE,EU_V,1999,24825,
dataflow,ESTAT:HSW_HP_DISNU(1.0),A,NR,M,3,OTHER,EU_V,1999,3163,
dataflow,ESTAT:HSW_HP_DISNU(1.0),A,NR,M,3,PULMONAR,EU_V,1999,2861,
dataflow,ESTAT:HSW_HP_DISNU(1.0),A,NR,M,3,SKIN_DIS,EU_V,1999,2742,
dataflow,ESTAT:HSW_HP_DISNU(1.0),A,NR,M,3,STRESS,EU_V,1999,9230,
dataflow,ESTAT:HSW_HP_DISNU(1.0),A,NR,M,3,TOTAL,EU_V,1999,58705,
dataflow,ESTAT:HSW_HP_DISNU(1.0),A,NR,M,3,UNK,EU_V,1999,6796,
dataflow,ESTAT:HSW_HP_DISNU(1.0),A,NR,M,4,CARDIO_V,EU_V,1999,736,
dataflow,ESTAT:HSW_HP_DISNU(1.0),A,NR,M,4,HEAD_EYE,EU_V,1999,1459,
dataflow,ESTAT:HSW_HP_DISNU(1.0),A,NR,M,4,HEARING,EU_V,1999,0,
dataflow,ESTAT:HSW_HP_DISNU(1.0),A,NR,M,4,INFECTIO,EU_V,1999,554,
dataflow,ESTAT:HSW_HP_DISNU(1.0),A,NR,M,4,MUSC_SKE,EU_V,1999,5745,
dataflow,ESTAT:HSW_HP_DISNU(1.0),A,NR,M,4,OTHER,EU_V,1999,1062,
dataflow,ESTAT:HSW_HP_DISNU(1.0),A,NR,M,4,PULMONAR,EU_V,1999,2023,
dataflow,ESTAT:HSW_HP_DISNU(1.0),A,NR,M,4,SKIN_DIS,EU_V,1999,428,
dataflow,ESTAT:HSW_HP_DISNU(1.0),A,NR,M,4,STRESS,EU_V,1999,3782,
dataflow,ESTAT:HSW_HP_DISNU(1.0),A,NR,M,4,TOTAL,EU_V,1999,16876,
dataflow,ESTAT:HSW_HP_DISNU(1.0),A,NR,M,4,UNK,EU_V,1999,1086,
dataflow,ESTAT:HSW_HP_DISNU(1.0),A,NR,M,GE5,CARDIO_V,EU_V,1999,2463,
dataflow,ESTAT:HSW_HP_DISNU(1.0),A,NR,M,GE5,HEAD_EYE,EU_V,1999,3153,
dataflow,ESTAT:HSW_HP_DISNU(1.0),A,NR,M,GE5,HEARING,EU_V,1999,1131,
dataflow,ESTAT:HSW_HP_DISNU(1.0),A,NR,M,GE5,INFECTIO,EU_V,1999,2288,
dataflow,ESTAT:HSW_HP_DISNU(1.0),A,NR,M,GE5,MUSC_SKE,EU_V,1999,17878,
dataflow,ESTAT:HSW_HP_DISNU(1.0),A,NR,M,GE5,OTHER,EU_V,1999,967,
dataflow,ESTAT:HSW_HP_DISNU(1.0),A,NR,M,GE5,PULMONAR,EU_V,1999,2780,
dataflow,ESTAT:HSW_HP_DISNU(1.0),A,NR,M,GE5,SKIN_DIS,EU_V,1999,896,
dataflow,ESTAT:HSW_HP_DISNU(1.0),A,NR,M,GE5,STRESS,EU_V,1999,7294,
dataflow,ESTAT:HSW_HP_DISNU(1.0),A,NR,M,GE5,TOTAL,EU_V,1999,85282,
dataflow,ESTAT:HSW_HP_DISNU(1.0),A,NR,M,GE5,UNK,EU_V,1999,46430,
dataflow,ESTAT:HSW_HP_DISNU(1.0),A,NR,M,TOTAL,CARDIO_V,EU_V,1999,135274,
dataflow,ESTAT:HSW_HP_DISNU(1.0),A,NR,M,TOTAL,HEAD_EYE,EU_V,1999,72941,
dataflow,ESTAT:HSW_HP_DISNU(1.0),A,NR,M,TOTAL,HEARING,EU_V,1999,103353,
dataflow,ESTAT:HSW_HP_DISNU(1.0),A,NR,M,TOTAL,INFECTIO,EU_V,1999,57471,
dataflow,ESTAT:HSW_HP_DISNU(1.0),A,NR,M,TOTAL,MUSC_SKE,EU_V,1999,1279302,
dataflow,ESTAT:HSW_HP_DISNU(1.0),A,NR,M,TOTAL,OTHER,EU_V,1999,150022,
dataflow,ESTAT:HSW_HP_DISNU(1.0),A,NR,M,TOTAL,PULMONAR,EU_V,1999,211325,
dataflow,ESTAT:HSW_HP_DISNU(1.0),A,NR,M,TOTAL,SKIN_DIS,EU_V,1999,59778,
dataflow,ESTAT:HSW_HP_DISNU(1.0),A,NR,M,TOTAL,STRESS,EU_V,1999,405613,
dataflow,ESTAT:HSW_HP_DISNU(1.0),A,NR,M,TOTAL,TOTAL,EU_V,1999,3280617,
dataflow,ESTAT:HSW_HP_DISNU(1.0),A,NR,M,TOTAL,UNK,EU_V,1999,805540,
dataflow,ESTAT:HSW_HP_DISNU(1.0),A,NR,T,1,CARDIO_V,EU_V,1999,161042,
dataflow,ESTAT:HSW_HP_DISNU(1.0),A,NR,T,1,HEAD_EYE,EU_V,1999,129325,
dataflow,ESTAT:HSW_HP_DISNU(1.0),A,NR,T,1,HEARING,EU_V,1999,114588,
dataflow,ESTAT:HSW_HP_DISNU(1.0),A,NR,T,1,INFECTIO,EU_V,1999,98013,
dataflow,ESTAT:HSW_HP_DISNU(1.0),A,NR,T,1,MUSC_SKE,EU_V,1999,2188747,
dataflow,ESTAT:HSW_HP_DISNU(1.0),A,NR,T,1,OTHER,EU_V,1999,243610,
dataflow,ESTAT:HSW_HP_DISNU(1.0),A,NR,T,1,PULMONAR,EU_V,1999,296253,
dataflow,ESTAT:HSW_HP_DISNU(1.0),A,NR,T,1,SKIN_DIS,EU_V,1999,103895,
dataflow,ESTAT:HSW_HP_DISNU(1.0),A,NR,T,1,STRESS,EU_V,1999,740170,
dataflow,ESTAT:HSW_HP_DISNU(1.0),A,NR,T,1,TOTAL,EU_V,1999,5292263,
dataflow,ESTAT:HSW_HP_DISNU(1.0),A,NR,T,1,UNK,EU_V,1999,1216621,
dataflow,ESTAT:HSW_HP_DISNU(1.0),A,NR,T,2,CARDIO_V,EU_V,1999,21000,
dataflow,ESTAT:HSW_HP_DISNU(1.0),A,NR,T,2,HEAD_EYE,EU_V,1999,14675,
dataflow,ESTAT:HSW_HP_DISNU(1.0),A,NR,T,2,HEARING,EU_V,1999,7982,
dataflow,ESTAT:HSW_HP_DISNU(1.0),A,NR,T,2,INFECTIO,EU_V,1999,11269,
dataflow,ESTAT:HSW_HP_DISNU(1.0),A,NR,T,2,MUSC_SKE,EU_V,1999,197469,
dataflow,ESTAT:HSW_HP_DISNU(1.0),A,NR,T,2,OTHER,EU_V,1999,17066,
dataflow,ESTAT:HSW_HP_DISNU(1.0),A,NR,T,2,PULMONAR,EU_V,1999,39562,
dataflow,ESTAT:HSW_HP_DISNU(1.0),A,NR,T,2,SKIN_DIS,EU_V,1999,8015,
dataflow,ESTAT:HSW_HP_DISNU(1.0),A,NR,T,2,STRESS,EU_V,1999,65284,
dataflow,ESTAT:HSW_HP_DISNU(1.0),A,NR,T,2,TOTAL,EU_V,1999,413720,
dataflow,ESTAT:HSW_HP_DISNU(1.0),A,NR,T,2,UNK,EU_V,1999,31397,
dataflow,ESTAT:HSW_HP_DISNU(1.0),A,NR,T,3,CARDIO_V,EU_V,1999,6445,
dataflow,ESTAT:HSW_HP_DISNU(1.0),A,NR,T,3,HEAD_EYE,EU_V,1999,4416,
dataflow,ESTAT:HSW_HP_DISNU(1.0),A,NR,T,3,HEARING,EU_V,1999,959,
dataflow,ESTAT:HSW_HP_DISNU(1.0),A,NR,T,3,INFECTIO,EU_V,1999,4144,
dataflow,ESTAT:HSW_HP_DISNU(1.0),A,NR,T,3,MUSC_SKE,EU_V,1999,45696,
dataflow,ESTAT:HSW_HP_DISNU(1.0),A,NR,T,3,OTHER,EU_V,1999,6617,
dataflow,ESTAT:HSW_HP_DISNU(1.0),A,NR,T,3,PULMONAR,EU_V,1999,10525,
dataflow,ESTAT:HSW_HP_DISNU(1.0),A,NR,T,3,SKIN_DIS,EU_V,1999,3238,
dataflow,ESTAT:HSW_HP_DISNU(1.0),A,NR,T,3,STRESS,EU_V,1999,18573,
dataflow,ESTAT:HSW_HP_DISNU(1.0),A,NR,T,3,TOTAL,EU_V,1999,112113,
dataflow,ESTAT:HSW_HP_DISNU(1.0),A,NR,T,3,UNK,EU_V,1999,11501,
dataflow,ESTAT:HSW_HP_DISNU(1.0),A,NR,T,4,CARDIO_V,EU_V,1999,1398,
dataflow,ESTAT:HSW_HP_DISNU(1.0),A,NR,T,4,HEAD_EYE,EU_V,1999,2592,
dataflow,ESTAT:HSW_HP_DISNU(1.0),A,NR,T,4,HEARING,EU_V,1999,506,
dataflow,ESTAT:HSW_HP_DISNU(1.0),A,NR,T,4,INFECTIO,EU_V,1999,2268,
dataflow,ESTAT:HSW_HP_DISNU(1.0),A,NR,T,4,MUSC_SKE,EU_V,1999,12488,
dataflow,ESTAT:HSW_HP_DISNU(1.0),A,NR,T,4,OTHER,EU_V,1999,1836,
dataflow,ESTAT:HSW_HP_DISNU(1.0),A,NR,T,4,PULMONAR,EU_V,1999,5061,
dataflow,ESTAT:HSW_HP_DISNU(1.0),A,NR,T,4,SKIN_DIS,EU_V,1999,1312,
dataflow,ESTAT:HSW_HP_DISNU(1.0),A,NR,T,4,STRESS,EU_V,1999,8410,
dataflow,ESTAT:HSW_HP_DISNU(1.0),A,NR,T,4,TOTAL,EU_V,1999,36987,
dataflow,ESTAT:HSW_HP_DISNU(1.0),A,NR,T,4,UNK,EU_V,1999,1116,
dataflow,ESTAT:HSW_HP_DISNU(1.0),A,NR,T,GE5,CARDIO_V,EU_V,1999,3240,
dataflow,ESTAT:HSW_HP_DISNU(1.0),A,NR,T,GE5,HEAD_EYE,EU_V,1999,7671,
dataflow,ESTAT:HSW_HP_DISNU(1.0),A,NR,T,GE5,HEARING,EU_V,1999,1131,
dataflow,ESTAT:HSW_HP_DISNU(1.0),A,NR,T,GE5,INFECTIO,EU_V,1999,2921,
dataflow,ESTAT:HSW_HP_DISNU(1.0),A,NR,T,GE5,MUSC_SKE,EU_V,1999,30930,
dataflow,ESTAT:HSW_HP_DISNU(1.0),A,NR,T,GE5,OTHER,EU_V,1999,3125,
dataflow,ESTAT:HSW_HP_DISNU(1.0),A,NR,T,GE5,PULMONAR,EU_V,1999,3553,
dataflow,ESTAT:HSW_HP_DISNU(1.0),A,NR,T,GE5,SKIN_DIS,EU_V,1999,1593,
dataflow,ESTAT:HSW_HP_DISNU(1.0),A,NR,T,GE5,STRESS,EU_V,1999,13875,
dataflow,ESTAT:HSW_HP_DISNU(1.0),A,NR,T,GE5,TOTAL,EU_V,1999,157589,
dataflow,ESTAT:HSW_HP_DISNU(1.0),A,NR,T,GE5,UNK,EU_V,1999,89550,
dataflow,ESTAT:HSW_HP_DISNU(1.0),A,NR,T,TOTAL,CARDIO_V,EU_V,1999,193124,
dataflow,ESTAT:HSW_HP_DISNU(1.0),A,NR,T,TOTAL,HEAD_EYE,EU_V,1999,158680,
dataflow,ESTAT:HSW_HP_DISNU(1.0),A,NR,T,TOTAL,HEARING,EU_V,1999,125166,
dataflow,ESTAT:HSW_HP_DISNU(1.0),A,NR,T,TOTAL,INFECTIO,EU_V,1999,118615,
dataflow,ESTAT:HSW_HP_DISNU(1.0),A,NR,T,TOTAL,MUSC_SKE,EU_V,1999,2475329,
dataflow,ESTAT:HSW_HP_DISNU(1.0),A,NR,T,TOTAL,OTHER,EU_V,1999,272254,
dataflow,ESTAT:HSW_HP_DISNU(1.0),A,NR,T,TOTAL,PULMONAR,EU_V,1999,354954,
dataflow,ESTAT:HSW_HP_DISNU(1.0),A,NR,T,TOTAL,SKIN_DIS,EU_V,1999,118052,
dataflow,ESTAT:HSW_HP_DISNU(1.0),A,NR,T,TOTAL,STRESS,EU_V,1999,846310,
dataflow,ESTAT:HSW_HP_DISNU(1.0),A,NR,T,TOTAL,TOTAL,EU_V,1999,6012672,
dataflow,ESTAT:HSW_HP_DISNU(1.0),A,NR,T,TOTAL,UNK,EU_V,1999,1350186,
