STRUCTURE,STRUCTURE_ID,freq,duration,age,unit,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
dataflow,ESTAT:HSW_PB3(1.0),A,D1-3,Y15-64,PC_PER_HPB,DE,2007,12.4,du
dataflow,ESTAT:HSW_PB3(1.0),A,D1-3,Y15-64,PC_PER_HPB,DE,2013,3.6,u
dataflow,ESTAT:HSW_PB3(1.0),A,D1-3,Y15-64,PC_PER_HPB,DK,2007,8.0,d
dataflow,ESTAT:HSW_PB3(1.0),A,D1-3,Y15-64,PC_PER_HPB,DK,2013,6.2,
dataflow,ESTAT:HSW_PB3(1.0),A,D1-3,Y15-64,PC_PER_HPB,DK,2020,10.3,
dataflow,ESTAT:HSW_PB3(1.0),A,D1-3,Y15-64,PC_PER_HPB,EA19,2007,4.3,d
dataflow,ESTAT:HSW_PB3(1.0),A,D1-3,Y15-64,PC_PER_HPB,EA19,2013,4.9,
dataflow,ESTAT:HSW_PB3(1.0),A,D1-3,Y15-64,PC_PER_HPB,EA19,2020,4.0,
dataflow,ESTAT:HSW_PB3(1.0),A,D1-3,Y15-64,PC_PER_HPB,EE,2007,4.5,d
dataflow,ESTAT:HSW_PB3(1.0),A,D1-3,Y15-64,PC_PER_HPB,EE,2013,8.7,u
dataflow,ESTAT:HSW_PB3(1.0),A,D1-3,Y15-64,PC_PER_HPB,EE,2020,,u
dataflow,ESTAT:HSW_PB3(1.0),A,D1-3,Y15-64,PC_PER_HPB,EL,2007,11.2,d
dataflow,ESTAT:HSW_PB3(1.0),A,D1-3,Y15-64,PC_PER_HPB,EL,2013,5.4,
dataflow,ESTAT:HSW_PB3(1.0),A,D1-3,Y15-64,PC_PER_HPB,EL,2020,18.6,
dataflow,ESTAT:HSW_PB3(1.0),A,D1-3,Y15-64,PC_PER_HPB,ES,2007,6.0,d
dataflow,ESTAT:HSW_PB3(1.0),A,D1-3,Y15-64,PC_PER_HPB,ES,2013,5.4,
dataflow,ESTAT:HSW_PB3(1.0),A,D1-3,Y15-64,PC_PER_HPB,ES,2020,4.0,
dataflow,ESTAT:HSW_PB3(1.0),A,D1-3,Y15-64,PC_PER_HPB,EU27_2020,2007,4.7,d
dataflow,ESTAT:HSW_PB3(1.0),A,D1-3,Y15-64,PC_PER_HPB,EU27_2020,2013,5.6,
dataflow,ESTAT:HSW_PB3(1.0),A,D1-3,Y15-64,PC_PER_HPB,EU27_2020,2020,6.9,
dataflow,ESTAT:HSW_PB3(1.0),A,D1-3,Y15-64,PC_PER_HPB,EU28,2007,4.9,d
dataflow,ESTAT:HSW_PB3(1.0),A,D1-3,Y15-64,PC_PER_HPB,EU28,2013,5.9,
dataflow,ESTAT:HSW_PB3(1.0),A,D1-3,Y15-64,PC_PER_HPB,FI,2007,5.5,d
dataflow,ESTAT:HSW_PB3(1.0),A,D1-3,Y15-64,PC_PER_HPB,FI,2013,8.5,u
dataflow,ESTAT:HSW_PB3(1.0),A,D1-3,Y15-64,PC_PER_HPB,FI,2020,,u
dataflow,ESTAT:HSW_PB3(1.0),A,D1-3,Y15-64,PC_PER_HPB,FR,2007,2.3,d
dataflow,ESTAT:HSW_PB3(1.0),A,D1-3,Y15-64,PC_PER_HPB,FR,2013,3.6,u
dataflow,ESTAT:HSW_PB3(1.0),A,D1-3,Y15-64,PC_PER_HPB,FR,2020,4.7,
dataflow,ESTAT:HSW_PB3(1.0),A,D1-3,Y15-64,PC_PER_HPB,HR,2007,2.4,du
dataflow,ESTAT:HSW_PB3(1.0),A,D1-3,Y15-64,PC_PER_HPB,HR,2013,,u
dataflow,ESTAT:HSW_PB3(1.0),A,D1-3,Y15-64,PC_PER_HPB,HR,2020,,u
dataflow,ESTAT:HSW_PB3(1.0),A,D1-3,Y15-64,PC_PER_HPB,HU,2007,3.0,d
dataflow,ESTAT:HSW_PB3(1.0),A,D1-3,Y15-64,PC_PER_HPB,HU,2013,3.2,u
dataflow,ESTAT:HSW_PB3(1.0),A,D1-3,Y15-64,PC_PER_HPB,HU,2020,5.1,
dataflow,ESTAT:HSW_PB3(1.0),A,D1-3,Y15-64,PC_PER_HPB,IE,2007,6.2,d
dataflow,ESTAT:HSW_PB3(1.0),A,D1-3,Y15-64,PC_PER_HPB,IE,2013,13.4,
dataflow,ESTAT:HSW_PB3(1.0),A,D1-3,Y15-64,PC_PER_HPB,IE,2020,,u
dataflow,ESTAT:HSW_PB3(1.0),A,D1-3,Y15-64,PC_PER_HPB,IS,2007,9.2,u
dataflow,ESTAT:HSW_PB3(1.0),A,D1-3,Y15-64,PC_PER_HPB,IS,2020,7.3,
dataflow,ESTAT:HSW_PB3(1.0),A,D1-3,Y15-64,PC_PER_HPB,IT,2007,6.5,d
dataflow,ESTAT:HSW_PB3(1.0),A,D1-3,Y15-64,PC_PER_HPB,IT,2013,5.6,
dataflow,ESTAT:HSW_PB3(1.0),A,D1-3,Y15-64,PC_PER_HPB,IT,2020,7.9,
dataflow,ESTAT:HSW_PB3(1.0),A,D1-3,Y15-64,PC_PER_HPB,LT,2007,15.2,u
dataflow,ESTAT:HSW_PB3(1.0),A,D1-3,Y15-64,PC_PER_HPB,LT,2013,,u
dataflow,ESTAT:HSW_PB3(1.0),A,D1-3,Y15-64,PC_PER_HPB,LT,2020,5.4,u
dataflow,ESTAT:HSW_PB3(1.0),A,D1-3,Y15-64,PC_PER_HPB,LU,2007,6.6,du
dataflow,ESTAT:HSW_PB3(1.0),A,D1-3,Y15-64,PC_PER_HPB,LU,2013,9.8,
dataflow,ESTAT:HSW_PB3(1.0),A,D1-3,Y15-64,PC_PER_HPB,LU,2020,17.2,
dataflow,ESTAT:HSW_PB3(1.0),A,D1-3,Y15-64,PC_PER_HPB,LV,2007,,du
dataflow,ESTAT:HSW_PB3(1.0),A,D1-3,Y15-64,PC_PER_HPB,LV,2013,6.9,u
dataflow,ESTAT:HSW_PB3(1.0),A,D1-3,Y15-64,PC_PER_HPB,LV,2020,4.5,
dataflow,ESTAT:HSW_PB3(1.0),A,D1-3,Y15-64,PC_PER_HPB,MT,2007,,u
dataflow,ESTAT:HSW_PB3(1.0),A,D1-3,Y15-64,PC_PER_HPB,MT,2013,,u
dataflow,ESTAT:HSW_PB3(1.0),A,D1-3,Y15-64,PC_PER_HPB,MT,2020,14.5,u
dataflow,ESTAT:HSW_PB3(1.0),A,D1-3,Y15-64,PC_PER_HPB,NL,2007,2.9,d
dataflow,ESTAT:HSW_PB3(1.0),A,D1-3,Y15-64,PC_PER_HPB,NL,2020,3.9,
dataflow,ESTAT:HSW_PB3(1.0),A,D1-3,Y15-64,PC_PER_HPB,NO,2007,5.2,d
dataflow,ESTAT:HSW_PB3(1.0),A,D1-3,Y15-64,PC_PER_HPB,NO,2013,8.1,u
dataflow,ESTAT:HSW_PB3(1.0),A,D1-3,Y15-64,PC_PER_HPB,NO,2020,4.4,
dataflow,ESTAT:HSW_PB3(1.0),A,D1-3,Y15-64,PC_PER_HPB,PL,2007,5.8,
dataflow,ESTAT:HSW_PB3(1.0),A,D1-3,Y15-64,PC_PER_HPB,PL,2013,8.7,
dataflow,ESTAT:HSW_PB3(1.0),A,D1-3,Y15-64,PC_PER_HPB,PL,2020,11.5,d
dataflow,ESTAT:HSW_PB3(1.0),A,D1-3,Y15-64,PC_PER_HPB,PT,2007,4.5,d
dataflow,ESTAT:HSW_PB3(1.0),A,D1-3,Y15-64,PC_PER_HPB,PT,2013,6.0,
dataflow,ESTAT:HSW_PB3(1.0),A,D1-3,Y15-64,PC_PER_HPB,PT,2020,3.4,
dataflow,ESTAT:HSW_PB3(1.0),A,D1-3,Y15-64,PC_PER_HPB,RO,2007,10.8,d
dataflow,ESTAT:HSW_PB3(1.0),A,D1-3,Y15-64,PC_PER_HPB,RO,2013,8.0,
dataflow,ESTAT:HSW_PB3(1.0),A,D1-3,Y15-64,PC_PER_HPB,RO,2020,25.2,
dataflow,ESTAT:HSW_PB3(1.0),A,D1-3,Y15-64,PC_PER_HPB,SE,2007,7.4,d
dataflow,ESTAT:HSW_PB3(1.0),A,D1-3,Y15-64,PC_PER_HPB,SE,2013,6.8,
dataflow,ESTAT:HSW_PB3(1.0),A,D1-3,Y15-64,PC_PER_HPB,SE,2020,6.9,
dataflow,ESTAT:HSW_PB3(1.0),A,D1-3,Y15-64,PC_PER_HPB,SI,2007,12.0,du
dataflow,ESTAT:HSW_PB3(1.0),A,D1-3,Y15-64,PC_PER_HPB,SI,2013,2.9,u
dataflow,ESTAT:HSW_PB3(1.0),A,D1-3,Y15-64,PC_PER_HPB,SI,2020,2.0,u
dataflow,ESTAT:HSW_PB3(1.0),A,D1-3,Y15-64,PC_PER_HPB,SK,2007,9.3,d
dataflow,ESTAT:HSW_PB3(1.0),A,D1-3,Y15-64,PC_PER_HPB,SK,2013,5.2,
dataflow,ESTAT:HSW_PB3(1.0),A,D1-3,Y15-64,PC_PER_HPB,SK,2020,6.8,
dataflow,ESTAT:HSW_PB3(1.0),A,D1-3,Y15-64,PC_PER_HPB,TR,2013,10.8,
dataflow,ESTAT:HSW_PB3(1.0),A,D1-3,Y15-64,PC_PER_HPB,UK,2007,8.9,du
dataflow,ESTAT:HSW_PB3(1.0),A,D1-3,Y15-64,PC_PER_HPB,UK,2013,9.4,
dataflow,ESTAT:HSW_PB3(1.0),A,D1-3,Y15-74,PC_EMP_PREEMP,AT,2020,0.3,
dataflow,ESTAT:HSW_PB3(1.0),A,D1-3,Y15-74,PC_EMP_PREEMP,BE,2020,0.4,
dataflow,ESTAT:HSW_PB3(1.0),A,D1-3,Y15-74,PC_EMP_PREEMP,BG,2020,,u
dataflow,ESTAT:HSW_PB3(1.0),A,D1-3,Y15-74,PC_EMP_PREEMP,CH,2020,0.6,
dataflow,ESTAT:HSW_PB3(1.0),A,D1-3,Y15-74,PC_EMP_PREEMP,CY,2020,0.4,
dataflow,ESTAT:HSW_PB3(1.0),A,D1-3,Y15-74,PC_EMP_PREEMP,CZ,2020,0.2,
dataflow,ESTAT:HSW_PB3(1.0),A,D1-3,Y15-74,PC_EMP_PREEMP,DE,2020,0.1,
dataflow,ESTAT:HSW_PB3(1.0),A,D1-3,Y15-74,PC_EMP_PREEMP,DK,2020,0.7,
dataflow,ESTAT:HSW_PB3(1.0),A,D1-3,Y15-74,PC_EMP_PREEMP,EA19,2020,0.2,
dataflow,ESTAT:HSW_PB3(1.0),A,D1-3,Y15-74,PC_EMP_PREEMP,EE,2020,,u
dataflow,ESTAT:HSW_PB3(1.0),A,D1-3,Y15-74,PC_EMP_PREEMP,EL,2020,0.5,
dataflow,ESTAT:HSW_PB3(1.0),A,D1-3,Y15-74,PC_EMP_PREEMP,ES,2020,0.2,
dataflow,ESTAT:HSW_PB3(1.0),A,D1-3,Y15-74,PC_EMP_PREEMP,EU27_2020,2020,0.6,
dataflow,ESTAT:HSW_PB3(1.0),A,D1-3,Y15-74,PC_EMP_PREEMP,FI,2020,,u
dataflow,ESTAT:HSW_PB3(1.0),A,D1-3,Y15-74,PC_EMP_PREEMP,FR,2020,0.3,
dataflow,ESTAT:HSW_PB3(1.0),A,D1-3,Y15-74,PC_EMP_PREEMP,HR,2020,0.2,u
dataflow,ESTAT:HSW_PB3(1.0),A,D1-3,Y15-74,PC_EMP_PREEMP,HU,2020,0.1,
dataflow,ESTAT:HSW_PB3(1.0),A,D1-3,Y15-74,PC_EMP_PREEMP,IE,2020,,u
dataflow,ESTAT:HSW_PB3(1.0),A,D1-3,Y15-74,PC_EMP_PREEMP,IS,2020,0.6,
dataflow,ESTAT:HSW_PB3(1.0),A,D1-3,Y15-74,PC_EMP_PREEMP,IT,2020,0.3,
dataflow,ESTAT:HSW_PB3(1.0),A,D1-3,Y15-74,PC_EMP_PREEMP,LT,2020,0.1,u
dataflow,ESTAT:HSW_PB3(1.0),A,D1-3,Y15-74,PC_EMP_PREEMP,LU,2020,1.7,
dataflow,ESTAT:HSW_PB3(1.0),A,D1-3,Y15-74,PC_EMP_PREEMP,LV,2020,0.2,
dataflow,ESTAT:HSW_PB3(1.0),A,D1-3,Y15-74,PC_EMP_PREEMP,MT,2020,0.3,u
dataflow,ESTAT:HSW_PB3(1.0),A,D1-3,Y15-74,PC_EMP_PREEMP,NL,2020,0.2,
dataflow,ESTAT:HSW_PB3(1.0),A,D1-3,Y15-74,PC_EMP_PREEMP,NO,2020,0.4,
dataflow,ESTAT:HSW_PB3(1.0),A,D1-3,Y15-74,PC_EMP_PREEMP,PL,2020,3.8,d
dataflow,ESTAT:HSW_PB3(1.0),A,D1-3,Y15-74,PC_EMP_PREEMP,PT,2020,0.2,
dataflow,ESTAT:HSW_PB3(1.0),A,D1-3,Y15-74,PC_EMP_PREEMP,RO,2020,0.7,
dataflow,ESTAT:HSW_PB3(1.0),A,D1-3,Y15-74,PC_EMP_PREEMP,SE,2020,1.3,
dataflow,ESTAT:HSW_PB3(1.0),A,D1-3,Y15-74,PC_EMP_PREEMP,SI,2020,0.1,u
dataflow,ESTAT:HSW_PB3(1.0),A,D1-3,Y15-74,PC_EMP_PREEMP,SK,2020,0.4,
dataflow,ESTAT:HSW_PB3(1.0),A,D1-3,Y15-74,PC_PER_HPB,AT,2020,2.6,
dataflow,ESTAT:HSW_PB3(1.0),A,D1-3,Y15-74,PC_PER_HPB,BE,2020,4.8,
dataflow,ESTAT:HSW_PB3(1.0),A,D1-3,Y15-74,PC_PER_HPB,BG,2020,,u
dataflow,ESTAT:HSW_PB3(1.0),A,D1-3,Y15-74,PC_PER_HPB,CH,2020,5.6,
dataflow,ESTAT:HSW_PB3(1.0),A,D1-3,Y15-74,PC_PER_HPB,CY,2020,10.5,
dataflow,ESTAT:HSW_PB3(1.0),A,D1-3,Y15-74,PC_PER_HPB,CZ,2020,3.6,
dataflow,ESTAT:HSW_PB3(1.0),A,D1-3,Y15-74,PC_PER_HPB,DK,2020,10.2,
dataflow,ESTAT:HSW_PB3(1.0),A,D1-3,Y15-74,PC_PER_HPB,EA19,2020,3.7,u
dataflow,ESTAT:HSW_PB3(1.0),A,D1-3,Y15-74,PC_PER_HPB,EE,2020,,u
dataflow,ESTAT:HSW_PB3(1.0),A,D1-3,Y15-74,PC_PER_HPB,EL,2020,16.0,
dataflow,ESTAT:HSW_PB3(1.0),A,D1-3,Y15-74,PC_PER_HPB,ES,2020,3.6,
dataflow,ESTAT:HSW_PB3(1.0),A,D1-3,Y15-74,PC_PER_HPB,EU27_2020,2020,6.3,
dataflow,ESTAT:HSW_PB3(1.0),A,D1-3,Y15-74,PC_PER_HPB,FI,2020,,u
dataflow,ESTAT:HSW_PB3(1.0),A,D1-3,Y15-74,PC_PER_HPB,FR,2020,4.3,
dataflow,ESTAT:HSW_PB3(1.0),A,D1-3,Y15-74,PC_PER_HPB,HR,2020,3.0,u
dataflow,ESTAT:HSW_PB3(1.0),A,D1-3,Y15-74,PC_PER_HPB,HU,2020,4.9,
dataflow,ESTAT:HSW_PB3(1.0),A,D1-3,Y15-74,PC_PER_HPB,IE,2020,,u
dataflow,ESTAT:HSW_PB3(1.0),A,D1-3,Y15-74,PC_PER_HPB,IS,2020,6.8,
dataflow,ESTAT:HSW_PB3(1.0),A,D1-3,Y15-74,PC_PER_HPB,IT,2020,7.6,u
dataflow,ESTAT:HSW_PB3(1.0),A,D1-3,Y15-74,PC_PER_HPB,LT,2020,4.8,u
dataflow,ESTAT:HSW_PB3(1.0),A,D1-3,Y15-74,PC_PER_HPB,LU,2020,17.0,
dataflow,ESTAT:HSW_PB3(1.0),A,D1-3,Y15-74,PC_PER_HPB,LV,2020,4.1,
dataflow,ESTAT:HSW_PB3(1.0),A,D1-3,Y15-74,PC_PER_HPB,MT,2020,14.8,u
dataflow,ESTAT:HSW_PB3(1.0),A,D1-3,Y15-74,PC_PER_HPB,NL,2020,3.7,
dataflow,ESTAT:HSW_PB3(1.0),A,D1-3,Y15-74,PC_PER_HPB,NO,2020,4.0,
dataflow,ESTAT:HSW_PB3(1.0),A,D1-3,Y15-74,PC_PER_HPB,PL,2020,9.9,d
dataflow,ESTAT:HSW_PB3(1.0),A,D1-3,Y15-74,PC_PER_HPB,PT,2020,3.0,
dataflow,ESTAT:HSW_PB3(1.0),A,D1-3,Y15-74,PC_PER_HPB,RO,2020,21.4,
dataflow,ESTAT:HSW_PB3(1.0),A,D1-3,Y15-74,PC_PER_HPB,SE,2020,6.7,
dataflow,ESTAT:HSW_PB3(1.0),A,D1-3,Y15-74,PC_PER_HPB,SI,2020,1.6,u
dataflow,ESTAT:HSW_PB3(1.0),A,D1-3,Y15-74,PC_PER_HPB,SK,2020,6.4,
dataflow,ESTAT:HSW_PB3(1.0),A,D_GE4,Y15-64,PC_EMP_PREEMP,AT,2020,6.3,
dataflow,ESTAT:HSW_PB3(1.0),A,D_GE4,Y15-64,PC_EMP_PREEMP,BE,2020,4.2,
dataflow,ESTAT:HSW_PB3(1.0),A,D_GE4,Y15-64,PC_EMP_PREEMP,BG,2020,0.9,
dataflow,ESTAT:HSW_PB3(1.0),A,D_GE4,Y15-64,PC_EMP_PREEMP,CH,2020,4.3,
dataflow,ESTAT:HSW_PB3(1.0),A,D_GE4,Y15-64,PC_EMP_PREEMP,CY,2020,1.0,
dataflow,ESTAT:HSW_PB3(1.0),A,D_GE4,Y15-64,PC_EMP_PREEMP,CZ,2020,2.5,
dataflow,ESTAT:HSW_PB3(1.0),A,D_GE4,Y15-64,PC_EMP_PREEMP,DE,2020,3.2,
dataflow,ESTAT:HSW_PB3(1.0),A,D_GE4,Y15-64,PC_EMP_PREEMP,DK,2020,3.0,
dataflow,ESTAT:HSW_PB3(1.0),A,D_GE4,Y15-64,PC_EMP_PREEMP,EA19,2020,2.9,
dataflow,ESTAT:HSW_PB3(1.0),A,D_GE4,Y15-64,PC_EMP_PREEMP,EE,2020,2.9,
dataflow,ESTAT:HSW_PB3(1.0),A,D_GE4,Y15-64,PC_EMP_PREEMP,EL,2020,0.8,
dataflow,ESTAT:HSW_PB3(1.0),A,D_GE4,Y15-64,PC_EMP_PREEMP,ES,2020,2.5,
dataflow,ESTAT:HSW_PB3(1.0),A,D_GE4,Y15-64,PC_EMP_PREEMP,EU27_2020,2020,3.3,
dataflow,ESTAT:HSW_PB3(1.0),A,D_GE4,Y15-64,PC_EMP_PREEMP,FI,2020,1.5,
dataflow,ESTAT:HSW_PB3(1.0),A,D_GE4,Y15-64,PC_EMP_PREEMP,FR,2020,3.6,
dataflow,ESTAT:HSW_PB3(1.0),A,D_GE4,Y15-64,PC_EMP_PREEMP,HR,2020,1.4,u
dataflow,ESTAT:HSW_PB3(1.0),A,D_GE4,Y15-64,PC_EMP_PREEMP,HU,2020,1.3,
dataflow,ESTAT:HSW_PB3(1.0),A,D_GE4,Y15-64,PC_EMP_PREEMP,IE,2020,1.4,
dataflow,ESTAT:HSW_PB3(1.0),A,D_GE4,Y15-64,PC_EMP_PREEMP,IS,2020,4.9,
dataflow,ESTAT:HSW_PB3(1.0),A,D_GE4,Y15-64,PC_EMP_PREEMP,IT,2020,1.6,
dataflow,ESTAT:HSW_PB3(1.0),A,D_GE4,Y15-64,PC_EMP_PREEMP,LT,2020,1.1,
dataflow,ESTAT:HSW_PB3(1.0),A,D_GE4,Y15-64,PC_EMP_PREEMP,LU,2020,5.6,
dataflow,ESTAT:HSW_PB3(1.0),A,D_GE4,Y15-64,PC_EMP_PREEMP,LV,2020,2.7,
dataflow,ESTAT:HSW_PB3(1.0),A,D_GE4,Y15-64,PC_EMP_PREEMP,MT,2020,0.8,
dataflow,ESTAT:HSW_PB3(1.0),A,D_GE4,Y15-64,PC_EMP_PREEMP,NL,2020,3.5,
dataflow,ESTAT:HSW_PB3(1.0),A,D_GE4,Y15-64,PC_EMP_PREEMP,NO,2020,4.7,
dataflow,ESTAT:HSW_PB3(1.0),A,D_GE4,Y15-64,PC_EMP_PREEMP,PL,2020,8.4,d
dataflow,ESTAT:HSW_PB3(1.0),A,D_GE4,Y15-64,PC_EMP_PREEMP,PT,2020,2.7,
dataflow,ESTAT:HSW_PB3(1.0),A,D_GE4,Y15-64,PC_EMP_PREEMP,RO,2020,1.6,
dataflow,ESTAT:HSW_PB3(1.0),A,D_GE4,Y15-64,PC_EMP_PREEMP,SE,2020,5.7,
dataflow,ESTAT:HSW_PB3(1.0),A,D_GE4,Y15-64,PC_EMP_PREEMP,SI,2020,2.0,
dataflow,ESTAT:HSW_PB3(1.0),A,D_GE4,Y15-64,PC_EMP_PREEMP,SK,2020,2.9,
dataflow,ESTAT:HSW_PB3(1.0),A,D_GE4,Y15-64,PC_PER_HPB,AT,2007,50.4,
dataflow,ESTAT:HSW_PB3(1.0),A,D_GE4,Y15-64,PC_PER_HPB,AT,2013,53.0,
dataflow,ESTAT:HSW_PB3(1.0),A,D_GE4,Y15-64,PC_PER_HPB,AT,2020,47.3,
dataflow,ESTAT:HSW_PB3(1.0),A,D_GE4,Y15-64,PC_PER_HPB,BE,2007,53.1,d
dataflow,ESTAT:HSW_PB3(1.0),A,D_GE4,Y15-64,PC_PER_HPB,BE,2013,47.0,
dataflow,ESTAT:HSW_PB3(1.0),A,D_GE4,Y15-64,PC_PER_HPB,BE,2020,44.1,
dataflow,ESTAT:HSW_PB3(1.0),A,D_GE4,Y15-64,PC_PER_HPB,BG,2007,36.7,
dataflow,ESTAT:HSW_PB3(1.0),A,D_GE4,Y15-64,PC_PER_HPB,BG,2013,29.6,
dataflow,ESTAT:HSW_PB3(1.0),A,D_GE4,Y15-64,PC_PER_HPB,BG,2020,28.9,
dataflow,ESTAT:HSW_PB3(1.0),A,D_GE4,Y15-64,PC_PER_HPB,CH,2013,36.3,
dataflow,ESTAT:HSW_PB3(1.0),A,D_GE4,Y15-64,PC_PER_HPB,CH,2020,36.7,
dataflow,ESTAT:HSW_PB3(1.0),A,D_GE4,Y15-64,PC_PER_HPB,CY,2007,48.8,
