STRUCTURE,STRUCTURE_ID,freq,unit,duration,bmi,sex,age,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
dataflow,ESTAT:HLTH_EHIS_PE2M(1.0),A,PC,MN0,BMI18P5-24,F,Y15-24,DE,2019,10.1,
dataflow,ESTAT:HLTH_EHIS_PE2M(1.0),A,PC,MN0,BMI18P5-24,F,Y15-24,DK,2019,7.8,
dataflow,ESTAT:HLTH_EHIS_PE2M(1.0),A,PC,MN0,BMI18P5-24,F,Y15-24,EE,2019,29.7,
dataflow,ESTAT:HLTH_EHIS_PE2M(1.0),A,PC,MN0,BMI18P5-24,F,Y15-24,EL,2019,37.0,
dataflow,ESTAT:HLTH_EHIS_PE2M(1.0),A,PC,MN0,BMI18P5-24,F,Y15-24,ES,2019,34.7,
dataflow,ESTAT:HLTH_EHIS_PE2M(1.0),A,PC,MN0,BMI18P5-24,F,Y15-24,EU27_2020,2019,31.7,
dataflow,ESTAT:HLTH_EHIS_PE2M(1.0),A,PC,MN0,BMI18P5-24,F,Y15-24,FR,2019,34.8,
dataflow,ESTAT:HLTH_EHIS_PE2M(1.0),A,PC,MN0,BMI18P5-24,F,Y15-24,HR,2019,31.3,
dataflow,ESTAT:HLTH_EHIS_PE2M(1.0),A,PC,MN0,BMI18P5-24,F,Y15-24,HU,2019,24.9,
dataflow,ESTAT:HLTH_EHIS_PE2M(1.0),A,PC,MN0,BMI18P5-24,F,Y15-24,IE,2019,31.5,u
dataflow,ESTAT:HLTH_EHIS_PE2M(1.0),A,PC,MN0,BMI18P5-24,F,Y15-24,IS,2019,8.6,
dataflow,ESTAT:HLTH_EHIS_PE2M(1.0),A,PC,MN0,BMI18P5-24,F,Y15-24,IT,2019,48.9,
dataflow,ESTAT:HLTH_EHIS_PE2M(1.0),A,PC,MN0,BMI18P5-24,F,Y15-24,LT,2019,39.6,
dataflow,ESTAT:HLTH_EHIS_PE2M(1.0),A,PC,MN0,BMI18P5-24,F,Y15-24,LU,2019,22.7,
dataflow,ESTAT:HLTH_EHIS_PE2M(1.0),A,PC,MN0,BMI18P5-24,F,Y15-24,LV,2019,25.7,
dataflow,ESTAT:HLTH_EHIS_PE2M(1.0),A,PC,MN0,BMI18P5-24,F,Y15-24,MT,2019,57.9,
dataflow,ESTAT:HLTH_EHIS_PE2M(1.0),A,PC,MN0,BMI18P5-24,F,Y15-24,NL,2019,12.1,
dataflow,ESTAT:HLTH_EHIS_PE2M(1.0),A,PC,MN0,BMI18P5-24,F,Y15-24,NO,2019,11.5,
dataflow,ESTAT:HLTH_EHIS_PE2M(1.0),A,PC,MN0,BMI18P5-24,F,Y15-24,PL,2019,39.6,
dataflow,ESTAT:HLTH_EHIS_PE2M(1.0),A,PC,MN0,BMI18P5-24,F,Y15-24,PT,2019,49.1,
dataflow,ESTAT:HLTH_EHIS_PE2M(1.0),A,PC,MN0,BMI18P5-24,F,Y15-24,RO,2019,73.5,
dataflow,ESTAT:HLTH_EHIS_PE2M(1.0),A,PC,MN0,BMI18P5-24,F,Y15-24,RS,2019,54.5,
dataflow,ESTAT:HLTH_EHIS_PE2M(1.0),A,PC,MN0,BMI18P5-24,F,Y15-24,SE,2019,17.1,
dataflow,ESTAT:HLTH_EHIS_PE2M(1.0),A,PC,MN0,BMI18P5-24,F,Y15-24,SI,2019,17.6,u
dataflow,ESTAT:HLTH_EHIS_PE2M(1.0),A,PC,MN0,BMI18P5-24,F,Y15-24,SK,2019,32.8,
dataflow,ESTAT:HLTH_EHIS_PE2M(1.0),A,PC,MN0,BMI18P5-24,F,Y15-24,TR,2019,88.3,
dataflow,ESTAT:HLTH_EHIS_PE2M(1.0),A,PC,MN0,BMI18P5-24,F,Y15-29,AT,2019,18.7,
dataflow,ESTAT:HLTH_EHIS_PE2M(1.0),A,PC,MN0,BMI18P5-24,F,Y15-29,BE,2019,32.1,
dataflow,ESTAT:HLTH_EHIS_PE2M(1.0),A,PC,MN0,BMI18P5-24,F,Y15-29,BG,2019,71.0,
dataflow,ESTAT:HLTH_EHIS_PE2M(1.0),A,PC,MN0,BMI18P5-24,F,Y15-29,CY,2019,64.3,
dataflow,ESTAT:HLTH_EHIS_PE2M(1.0),A,PC,MN0,BMI18P5-24,F,Y15-29,CZ,2019,34.2,
dataflow,ESTAT:HLTH_EHIS_PE2M(1.0),A,PC,MN0,BMI18P5-24,F,Y15-29,DE,2019,11.9,
dataflow,ESTAT:HLTH_EHIS_PE2M(1.0),A,PC,MN0,BMI18P5-24,F,Y15-29,DK,2019,8.8,
dataflow,ESTAT:HLTH_EHIS_PE2M(1.0),A,PC,MN0,BMI18P5-24,F,Y15-29,EE,2019,31.4,
dataflow,ESTAT:HLTH_EHIS_PE2M(1.0),A,PC,MN0,BMI18P5-24,F,Y15-29,EL,2019,38.0,
dataflow,ESTAT:HLTH_EHIS_PE2M(1.0),A,PC,MN0,BMI18P5-24,F,Y15-29,ES,2019,38.0,
dataflow,ESTAT:HLTH_EHIS_PE2M(1.0),A,PC,MN0,BMI18P5-24,F,Y15-29,EU27_2020,2019,34.2,
dataflow,ESTAT:HLTH_EHIS_PE2M(1.0),A,PC,MN0,BMI18P5-24,F,Y15-29,FR,2019,37.8,
dataflow,ESTAT:HLTH_EHIS_PE2M(1.0),A,PC,MN0,BMI18P5-24,F,Y15-29,HR,2019,38.2,
dataflow,ESTAT:HLTH_EHIS_PE2M(1.0),A,PC,MN0,BMI18P5-24,F,Y15-29,HU,2019,26.3,
dataflow,ESTAT:HLTH_EHIS_PE2M(1.0),A,PC,MN0,BMI18P5-24,F,Y15-29,IE,2019,32.6,
dataflow,ESTAT:HLTH_EHIS_PE2M(1.0),A,PC,MN0,BMI18P5-24,F,Y15-29,IS,2019,10.4,
dataflow,ESTAT:HLTH_EHIS_PE2M(1.0),A,PC,MN0,BMI18P5-24,F,Y15-29,IT,2019,50.9,
dataflow,ESTAT:HLTH_EHIS_PE2M(1.0),A,PC,MN0,BMI18P5-24,F,Y15-29,LT,2019,41.5,
dataflow,ESTAT:HLTH_EHIS_PE2M(1.0),A,PC,MN0,BMI18P5-24,F,Y15-29,LU,2019,21.6,
dataflow,ESTAT:HLTH_EHIS_PE2M(1.0),A,PC,MN0,BMI18P5-24,F,Y15-29,LV,2019,30.6,
dataflow,ESTAT:HLTH_EHIS_PE2M(1.0),A,PC,MN0,BMI18P5-24,F,Y15-29,MT,2019,57.0,
dataflow,ESTAT:HLTH_EHIS_PE2M(1.0),A,PC,MN0,BMI18P5-24,F,Y15-29,NL,2019,12.1,
dataflow,ESTAT:HLTH_EHIS_PE2M(1.0),A,PC,MN0,BMI18P5-24,F,Y15-29,NO,2019,12.2,
dataflow,ESTAT:HLTH_EHIS_PE2M(1.0),A,PC,MN0,BMI18P5-24,F,Y15-29,PL,2019,44.6,
dataflow,ESTAT:HLTH_EHIS_PE2M(1.0),A,PC,MN0,BMI18P5-24,F,Y15-29,PT,2019,54.3,
dataflow,ESTAT:HLTH_EHIS_PE2M(1.0),A,PC,MN0,BMI18P5-24,F,Y15-29,RO,2019,76.4,
dataflow,ESTAT:HLTH_EHIS_PE2M(1.0),A,PC,MN0,BMI18P5-24,F,Y15-29,RS,2019,55.3,
dataflow,ESTAT:HLTH_EHIS_PE2M(1.0),A,PC,MN0,BMI18P5-24,F,Y15-29,SE,2019,17.2,
dataflow,ESTAT:HLTH_EHIS_PE2M(1.0),A,PC,MN0,BMI18P5-24,F,Y15-29,SI,2019,23.1,u
dataflow,ESTAT:HLTH_EHIS_PE2M(1.0),A,PC,MN0,BMI18P5-24,F,Y15-29,SK,2019,38.3,
dataflow,ESTAT:HLTH_EHIS_PE2M(1.0),A,PC,MN0,BMI18P5-24,F,Y15-29,TR,2019,89.0,
dataflow,ESTAT:HLTH_EHIS_PE2M(1.0),A,PC,MN0,BMI18P5-24,F,Y15-64,AT,2019,21.9,
dataflow,ESTAT:HLTH_EHIS_PE2M(1.0),A,PC,MN0,BMI18P5-24,F,Y15-64,BE,2019,37.7,
dataflow,ESTAT:HLTH_EHIS_PE2M(1.0),A,PC,MN0,BMI18P5-24,F,Y15-64,BG,2019,79.9,
dataflow,ESTAT:HLTH_EHIS_PE2M(1.0),A,PC,MN0,BMI18P5-24,F,Y15-64,CY,2019,61.8,
dataflow,ESTAT:HLTH_EHIS_PE2M(1.0),A,PC,MN0,BMI18P5-24,F,Y15-64,CZ,2019,41.1,
dataflow,ESTAT:HLTH_EHIS_PE2M(1.0),A,PC,MN0,BMI18P5-24,F,Y15-64,DE,2019,18.2,
dataflow,ESTAT:HLTH_EHIS_PE2M(1.0),A,PC,MN0,BMI18P5-24,F,Y15-64,DK,2019,8.9,
dataflow,ESTAT:HLTH_EHIS_PE2M(1.0),A,PC,MN0,BMI18P5-24,F,Y15-64,EE,2019,34.7,
dataflow,ESTAT:HLTH_EHIS_PE2M(1.0),A,PC,MN0,BMI18P5-24,F,Y15-64,EL,2019,57.4,
dataflow,ESTAT:HLTH_EHIS_PE2M(1.0),A,PC,MN0,BMI18P5-24,F,Y15-64,ES,2019,41.8,
dataflow,ESTAT:HLTH_EHIS_PE2M(1.0),A,PC,MN0,BMI18P5-24,F,Y15-64,EU27_2020,2019,41.0,
dataflow,ESTAT:HLTH_EHIS_PE2M(1.0),A,PC,MN0,BMI18P5-24,F,Y15-64,FR,2019,43.1,
dataflow,ESTAT:HLTH_EHIS_PE2M(1.0),A,PC,MN0,BMI18P5-24,F,Y15-64,HR,2019,48.7,
dataflow,ESTAT:HLTH_EHIS_PE2M(1.0),A,PC,MN0,BMI18P5-24,F,Y15-64,HU,2019,29.2,
dataflow,ESTAT:HLTH_EHIS_PE2M(1.0),A,PC,MN0,BMI18P5-24,F,Y15-64,IE,2019,34.7,
dataflow,ESTAT:HLTH_EHIS_PE2M(1.0),A,PC,MN0,BMI18P5-24,F,Y15-64,IS,2019,16.5,
dataflow,ESTAT:HLTH_EHIS_PE2M(1.0),A,PC,MN0,BMI18P5-24,F,Y15-64,IT,2019,59.4,
dataflow,ESTAT:HLTH_EHIS_PE2M(1.0),A,PC,MN0,BMI18P5-24,F,Y15-64,LT,2019,50.2,
dataflow,ESTAT:HLTH_EHIS_PE2M(1.0),A,PC,MN0,BMI18P5-24,F,Y15-64,LU,2019,26.8,
dataflow,ESTAT:HLTH_EHIS_PE2M(1.0),A,PC,MN0,BMI18P5-24,F,Y15-64,LV,2019,40.6,
dataflow,ESTAT:HLTH_EHIS_PE2M(1.0),A,PC,MN0,BMI18P5-24,F,Y15-64,MT,2019,63.0,
dataflow,ESTAT:HLTH_EHIS_PE2M(1.0),A,PC,MN0,BMI18P5-24,F,Y15-64,NL,2019,15.1,
dataflow,ESTAT:HLTH_EHIS_PE2M(1.0),A,PC,MN0,BMI18P5-24,F,Y15-64,NO,2019,11.6,
dataflow,ESTAT:HLTH_EHIS_PE2M(1.0),A,PC,MN0,BMI18P5-24,F,Y15-64,PL,2019,50.8,
dataflow,ESTAT:HLTH_EHIS_PE2M(1.0),A,PC,MN0,BMI18P5-24,F,Y15-64,PT,2019,58.1,
dataflow,ESTAT:HLTH_EHIS_PE2M(1.0),A,PC,MN0,BMI18P5-24,F,Y15-64,RO,2019,86.4,
dataflow,ESTAT:HLTH_EHIS_PE2M(1.0),A,PC,MN0,BMI18P5-24,F,Y15-64,RS,2019,65.6,
dataflow,ESTAT:HLTH_EHIS_PE2M(1.0),A,PC,MN0,BMI18P5-24,F,Y15-64,SE,2019,16.6,
dataflow,ESTAT:HLTH_EHIS_PE2M(1.0),A,PC,MN0,BMI18P5-24,F,Y15-64,SI,2019,33.4,u
dataflow,ESTAT:HLTH_EHIS_PE2M(1.0),A,PC,MN0,BMI18P5-24,F,Y15-64,SK,2019,41.4,
dataflow,ESTAT:HLTH_EHIS_PE2M(1.0),A,PC,MN0,BMI18P5-24,F,Y15-64,TR,2019,90.0,
dataflow,ESTAT:HLTH_EHIS_PE2M(1.0),A,PC,MN0,BMI18P5-24,F,Y18-24,AT,2019,20.0,
dataflow,ESTAT:HLTH_EHIS_PE2M(1.0),A,PC,MN0,BMI18P5-24,F,Y18-24,BE,2019,36.3,
dataflow,ESTAT:HLTH_EHIS_PE2M(1.0),A,PC,MN0,BMI18P5-24,F,Y18-24,BG,2019,69.3,
dataflow,ESTAT:HLTH_EHIS_PE2M(1.0),A,PC,MN0,BMI18P5-24,F,Y18-24,CY,2019,64.4,
dataflow,ESTAT:HLTH_EHIS_PE2M(1.0),A,PC,MN0,BMI18P5-24,F,Y18-24,CZ,2019,31.2,
dataflow,ESTAT:HLTH_EHIS_PE2M(1.0),A,PC,MN0,BMI18P5-24,F,Y18-24,DE,2019,12.3,
dataflow,ESTAT:HLTH_EHIS_PE2M(1.0),A,PC,MN0,BMI18P5-24,F,Y18-24,DK,2019,7.9,
dataflow,ESTAT:HLTH_EHIS_PE2M(1.0),A,PC,MN0,BMI18P5-24,F,Y18-24,EE,2019,31.1,
dataflow,ESTAT:HLTH_EHIS_PE2M(1.0),A,PC,MN0,BMI18P5-24,F,Y18-24,EL,2019,40.4,
dataflow,ESTAT:HLTH_EHIS_PE2M(1.0),A,PC,MN0,BMI18P5-24,F,Y18-24,ES,2019,35.5,
dataflow,ESTAT:HLTH_EHIS_PE2M(1.0),A,PC,MN0,BMI18P5-24,F,Y18-24,EU27_2020,2019,34.9,
dataflow,ESTAT:HLTH_EHIS_PE2M(1.0),A,PC,MN0,BMI18P5-24,F,Y18-24,FR,2019,42.3,
dataflow,ESTAT:HLTH_EHIS_PE2M(1.0),A,PC,MN0,BMI18P5-24,F,Y18-24,HR,2019,33.3,
dataflow,ESTAT:HLTH_EHIS_PE2M(1.0),A,PC,MN0,BMI18P5-24,F,Y18-24,HU,2019,28.7,
dataflow,ESTAT:HLTH_EHIS_PE2M(1.0),A,PC,MN0,BMI18P5-24,F,Y18-24,IE,2019,23.8,u
dataflow,ESTAT:HLTH_EHIS_PE2M(1.0),A,PC,MN0,BMI18P5-24,F,Y18-24,IS,2019,7.8,
dataflow,ESTAT:HLTH_EHIS_PE2M(1.0),A,PC,MN0,BMI18P5-24,F,Y18-24,IT,2019,51.7,
dataflow,ESTAT:HLTH_EHIS_PE2M(1.0),A,PC,MN0,BMI18P5-24,F,Y18-24,LT,2019,51.1,
dataflow,ESTAT:HLTH_EHIS_PE2M(1.0),A,PC,MN0,BMI18P5-24,F,Y18-24,LU,2019,27.1,
dataflow,ESTAT:HLTH_EHIS_PE2M(1.0),A,PC,MN0,BMI18P5-24,F,Y18-24,LV,2019,29.6,
dataflow,ESTAT:HLTH_EHIS_PE2M(1.0),A,PC,MN0,BMI18P5-24,F,Y18-24,MT,2019,53.9,
dataflow,ESTAT:HLTH_EHIS_PE2M(1.0),A,PC,MN0,BMI18P5-24,F,Y18-24,NL,2019,13.2,
dataflow,ESTAT:HLTH_EHIS_PE2M(1.0),A,PC,MN0,BMI18P5-24,F,Y18-24,NO,2019,11.9,
dataflow,ESTAT:HLTH_EHIS_PE2M(1.0),A,PC,MN0,BMI18P5-24,F,Y18-24,PL,2019,42.8,
dataflow,ESTAT:HLTH_EHIS_PE2M(1.0),A,PC,MN0,BMI18P5-24,F,Y18-24,PT,2019,61.8,
dataflow,ESTAT:HLTH_EHIS_PE2M(1.0),A,PC,MN0,BMI18P5-24,F,Y18-24,RO,2019,77.7,
dataflow,ESTAT:HLTH_EHIS_PE2M(1.0),A,PC,MN0,BMI18P5-24,F,Y18-24,RS,2019,58.4,
dataflow,ESTAT:HLTH_EHIS_PE2M(1.0),A,PC,MN0,BMI18P5-24,F,Y18-24,SE,2019,20.9,
dataflow,ESTAT:HLTH_EHIS_PE2M(1.0),A,PC,MN0,BMI18P5-24,F,Y18-24,SI,2019,20.6,u
dataflow,ESTAT:HLTH_EHIS_PE2M(1.0),A,PC,MN0,BMI18P5-24,F,Y18-24,SK,2019,34.2,
dataflow,ESTAT:HLTH_EHIS_PE2M(1.0),A,PC,MN0,BMI18P5-24,F,Y18-24,TR,2019,89.5,
dataflow,ESTAT:HLTH_EHIS_PE2M(1.0),A,PC,MN0,BMI18P5-24,F,Y18-64,AT,2019,22.3,
dataflow,ESTAT:HLTH_EHIS_PE2M(1.0),A,PC,MN0,BMI18P5-24,F,Y18-64,BE,2019,39.0,
dataflow,ESTAT:HLTH_EHIS_PE2M(1.0),A,PC,MN0,BMI18P5-24,F,Y18-64,BG,2019,81.5,
dataflow,ESTAT:HLTH_EHIS_PE2M(1.0),A,PC,MN0,BMI18P5-24,F,Y18-64,CY,2019,61.8,
dataflow,ESTAT:HLTH_EHIS_PE2M(1.0),A,PC,MN0,BMI18P5-24,F,Y18-64,CZ,2019,42.1,
dataflow,ESTAT:HLTH_EHIS_PE2M(1.0),A,PC,MN0,BMI18P5-24,F,Y18-64,DE,2019,19.0,
dataflow,ESTAT:HLTH_EHIS_PE2M(1.0),A,PC,MN0,BMI18P5-24,F,Y18-64,DK,2019,9.0,
dataflow,ESTAT:HLTH_EHIS_PE2M(1.0),A,PC,MN0,BMI18P5-24,F,Y18-64,EE,2019,35.2,
dataflow,ESTAT:HLTH_EHIS_PE2M(1.0),A,PC,MN0,BMI18P5-24,F,Y18-64,EL,2019,59.4,
dataflow,ESTAT:HLTH_EHIS_PE2M(1.0),A,PC,MN0,BMI18P5-24,F,Y18-64,ES,2019,42.3,
dataflow,ESTAT:HLTH_EHIS_PE2M(1.0),A,PC,MN0,BMI18P5-24,F,Y18-64,EU27_2020,2019,42.1,
dataflow,ESTAT:HLTH_EHIS_PE2M(1.0),A,PC,MN0,BMI18P5-24,F,Y18-64,FR,2019,44.8,
dataflow,ESTAT:HLTH_EHIS_PE2M(1.0),A,PC,MN0,BMI18P5-24,F,Y18-64,HR,2019,49.7,
dataflow,ESTAT:HLTH_EHIS_PE2M(1.0),A,PC,MN0,BMI18P5-24,F,Y18-64,HU,2019,30.1,
dataflow,ESTAT:HLTH_EHIS_PE2M(1.0),A,PC,MN0,BMI18P5-24,F,Y18-64,IE,2019,33.6,
dataflow,ESTAT:HLTH_EHIS_PE2M(1.0),A,PC,MN0,BMI18P5-24,F,Y18-64,IS,2019,17.1,
dataflow,ESTAT:HLTH_EHIS_PE2M(1.0),A,PC,MN0,BMI18P5-24,F,Y18-64,IT,2019,60.1,
dataflow,ESTAT:HLTH_EHIS_PE2M(1.0),A,PC,MN0,BMI18P5-24,F,Y18-64,LT,2019,52.9,
dataflow,ESTAT:HLTH_EHIS_PE2M(1.0),A,PC,MN0,BMI18P5-24,F,Y18-64,LU,2019,27.6,
dataflow,ESTAT:HLTH_EHIS_PE2M(1.0),A,PC,MN0,BMI18P5-24,F,Y18-64,LV,2019,42.2,
dataflow,ESTAT:HLTH_EHIS_PE2M(1.0),A,PC,MN0,BMI18P5-24,F,Y18-64,MT,2019,62.6,
dataflow,ESTAT:HLTH_EHIS_PE2M(1.0),A,PC,MN0,BMI18P5-24,F,Y18-64,NL,2019,15.6,
dataflow,ESTAT:HLTH_EHIS_PE2M(1.0),A,PC,MN0,BMI18P5-24,F,Y18-64,NO,2019,11.7,
dataflow,ESTAT:HLTH_EHIS_PE2M(1.0),A,PC,MN0,BMI18P5-24,F,Y18-64,PL,2019,51.8,
dataflow,ESTAT:HLTH_EHIS_PE2M(1.0),A,PC,MN0,BMI18P5-24,F,Y18-64,PT,2019,60.8,
dataflow,ESTAT:HLTH_EHIS_PE2M(1.0),A,PC,MN0,BMI18P5-24,F,Y18-64,RO,2019,88.4,
dataflow,ESTAT:HLTH_EHIS_PE2M(1.0),A,PC,MN0,BMI18P5-24,F,Y18-64,RS,2019,66.8,
dataflow,ESTAT:HLTH_EHIS_PE2M(1.0),A,PC,MN0,BMI18P5-24,F,Y18-64,SE,2019,17.2,
dataflow,ESTAT:HLTH_EHIS_PE2M(1.0),A,PC,MN0,BMI18P5-24,F,Y18-64,SI,2019,34.9,u
dataflow,ESTAT:HLTH_EHIS_PE2M(1.0),A,PC,MN0,BMI18P5-24,F,Y18-64,SK,2019,41.9,
dataflow,ESTAT:HLTH_EHIS_PE2M(1.0),A,PC,MN0,BMI18P5-24,F,Y18-64,TR,2019,90.5,
dataflow,ESTAT:HLTH_EHIS_PE2M(1.0),A,PC,MN0,BMI18P5-24,F,Y25-34,AT,2019,22.9,
dataflow,ESTAT:HLTH_EHIS_PE2M(1.0),A,PC,MN0,BMI18P5-24,F,Y25-34,BE,2019,40.1,
dataflow,ESTAT:HLTH_EHIS_PE2M(1.0),A,PC,MN0,BMI18P5-24,F,Y25-34,BG,2019,82.1,
dataflow,ESTAT:HLTH_EHIS_PE2M(1.0),A,PC,MN0,BMI18P5-24,F,Y25-34,CY,2019,64.2,
dataflow,ESTAT:HLTH_EHIS_PE2M(1.0),A,PC,MN0,BMI18P5-24,F,Y25-34,CZ,2019,46.6,
dataflow,ESTAT:HLTH_EHIS_PE2M(1.0),A,PC,MN0,BMI18P5-24,F,Y25-34,DE,2019,21.7,
dataflow,ESTAT:HLTH_EHIS_PE2M(1.0),A,PC,MN0,BMI18P5-24,F,Y25-34,DK,2019,8.1,
dataflow,ESTAT:HLTH_EHIS_PE2M(1.0),A,PC,MN0,BMI18P5-24,F,Y25-34,EE,2019,35.2,
dataflow,ESTAT:HLTH_EHIS_PE2M(1.0),A,PC,MN0,BMI18P5-24,F,Y25-34,EL,2019,48.3,
dataflow,ESTAT:HLTH_EHIS_PE2M(1.0),A,PC,MN0,BMI18P5-24,F,Y25-34,ES,2019,45.0,
dataflow,ESTAT:HLTH_EHIS_PE2M(1.0),A,PC,MN0,BMI18P5-24,F,Y25-34,EU27_2020,2019,42.0,
dataflow,ESTAT:HLTH_EHIS_PE2M(1.0),A,PC,MN0,BMI18P5-24,F,Y25-34,FR,2019,44.6,
dataflow,ESTAT:HLTH_EHIS_PE2M(1.0),A,PC,MN0,BMI18P5-24,F,Y25-34,HR,2019,49.4,
dataflow,ESTAT:HLTH_EHIS_PE2M(1.0),A,PC,MN0,BMI18P5-24,F,Y25-34,HU,2019,32.6,
dataflow,ESTAT:HLTH_EHIS_PE2M(1.0),A,PC,MN0,BMI18P5-24,F,Y25-34,IE,2019,36.7,
dataflow,ESTAT:HLTH_EHIS_PE2M(1.0),A,PC,MN0,BMI18P5-24,F,Y25-34,IS,2019,18.9,
dataflow,ESTAT:HLTH_EHIS_PE2M(1.0),A,PC,MN0,BMI18P5-24,F,Y25-34,IT,2019,55.7,
dataflow,ESTAT:HLTH_EHIS_PE2M(1.0),A,PC,MN0,BMI18P5-24,F,Y25-34,LT,2019,48.6,
dataflow,ESTAT:HLTH_EHIS_PE2M(1.0),A,PC,MN0,BMI18P5-24,F,Y25-34,LU,2019,26.5,
dataflow,ESTAT:HLTH_EHIS_PE2M(1.0),A,PC,MN0,BMI18P5-24,F,Y25-34,LV,2019,43.1,
