STRUCTURE,STRUCTURE_ID,freq,unit,severity,isco88,nace_r1,diagnose,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
dataflow,ESTAT:HSW_HP_SVDIN(1.0),A,RT,D_GE14,ISCO2,D,OTHER,EU_V,1999,90,
dataflow,ESTAT:HSW_HP_SVDIN(1.0),A,RT,D_GE14,ISCO2,D,PULMONAR,EU_V,1999,39,
dataflow,ESTAT:HSW_HP_SVDIN(1.0),A,RT,D_GE14,ISCO2,D,STRESS,EU_V,1999,43,
dataflow,ESTAT:HSW_HP_SVDIN(1.0),A,RT,D_GE14,ISCO2,D,TOTAL,EU_V,1999,39,
dataflow,ESTAT:HSW_HP_SVDIN(1.0),A,RT,D_GE14,ISCO2,E,MUSC_SKE,EU_V,1999,38,
dataflow,ESTAT:HSW_HP_SVDIN(1.0),A,RT,D_GE14,ISCO2,E,OTHER,EU_V,1999,18,
dataflow,ESTAT:HSW_HP_SVDIN(1.0),A,RT,D_GE14,ISCO2,E,TOTAL,EU_V,1999,22,
dataflow,ESTAT:HSW_HP_SVDIN(1.0),A,RT,D_GE14,ISCO2,F,MUSC_SKE,EU_V,1999,81,
dataflow,ESTAT:HSW_HP_SVDIN(1.0),A,RT,D_GE14,ISCO2,F,TOTAL,EU_V,1999,38,
dataflow,ESTAT:HSW_HP_SVDIN(1.0),A,RT,D_GE14,ISCO2,G,OTHER,EU_V,1999,22,
dataflow,ESTAT:HSW_HP_SVDIN(1.0),A,RT,D_GE14,ISCO2,G,PULMONAR,EU_V,1999,379,
dataflow,ESTAT:HSW_HP_SVDIN(1.0),A,RT,D_GE14,ISCO2,G,STRESS,EU_V,1999,87,
dataflow,ESTAT:HSW_HP_SVDIN(1.0),A,RT,D_GE14,ISCO2,G,TOTAL,EU_V,1999,45,
dataflow,ESTAT:HSW_HP_SVDIN(1.0),A,RT,D_GE14,ISCO2,I,STRESS,EU_V,1999,134,
dataflow,ESTAT:HSW_HP_SVDIN(1.0),A,RT,D_GE14,ISCO2,I,TOTAL,EU_V,1999,36,
dataflow,ESTAT:HSW_HP_SVDIN(1.0),A,RT,D_GE14,ISCO2,J,OTHER,EU_V,1999,37,
dataflow,ESTAT:HSW_HP_SVDIN(1.0),A,RT,D_GE14,ISCO2,J,STRESS,EU_V,1999,48,
dataflow,ESTAT:HSW_HP_SVDIN(1.0),A,RT,D_GE14,ISCO2,J,TOTAL,EU_V,1999,21,
dataflow,ESTAT:HSW_HP_SVDIN(1.0),A,RT,D_GE14,ISCO2,K,MUSC_SKE,EU_V,1999,10,
dataflow,ESTAT:HSW_HP_SVDIN(1.0),A,RT,D_GE14,ISCO2,K,OTHER,EU_V,1999,58,
dataflow,ESTAT:HSW_HP_SVDIN(1.0),A,RT,D_GE14,ISCO2,K,PULMONAR,EU_V,1999,78,
dataflow,ESTAT:HSW_HP_SVDIN(1.0),A,RT,D_GE14,ISCO2,K,STRESS,EU_V,1999,132,
dataflow,ESTAT:HSW_HP_SVDIN(1.0),A,RT,D_GE14,ISCO2,K,TOTAL,EU_V,1999,55,
dataflow,ESTAT:HSW_HP_SVDIN(1.0),A,RT,D_GE14,ISCO2,L,MUSC_SKE,EU_V,1999,34,
dataflow,ESTAT:HSW_HP_SVDIN(1.0),A,RT,D_GE14,ISCO2,L,OTHER,EU_V,1999,80,
dataflow,ESTAT:HSW_HP_SVDIN(1.0),A,RT,D_GE14,ISCO2,L,PULMONAR,EU_V,1999,116,
dataflow,ESTAT:HSW_HP_SVDIN(1.0),A,RT,D_GE14,ISCO2,L,STRESS,EU_V,1999,131,
dataflow,ESTAT:HSW_HP_SVDIN(1.0),A,RT,D_GE14,ISCO2,L,TOTAL,EU_V,1999,73,
dataflow,ESTAT:HSW_HP_SVDIN(1.0),A,RT,D_GE14,ISCO2,M,MUSC_SKE,EU_V,1999,63,
dataflow,ESTAT:HSW_HP_SVDIN(1.0),A,RT,D_GE14,ISCO2,M,OTHER,EU_V,1999,139,
dataflow,ESTAT:HSW_HP_SVDIN(1.0),A,RT,D_GE14,ISCO2,M,PULMONAR,EU_V,1999,221,
dataflow,ESTAT:HSW_HP_SVDIN(1.0),A,RT,D_GE14,ISCO2,M,STRESS,EU_V,1999,262,
dataflow,ESTAT:HSW_HP_SVDIN(1.0),A,RT,D_GE14,ISCO2,M,TOTAL,EU_V,1999,139,
dataflow,ESTAT:HSW_HP_SVDIN(1.0),A,RT,D_GE14,ISCO2,N,MUSC_SKE,EU_V,1999,111,
dataflow,ESTAT:HSW_HP_SVDIN(1.0),A,RT,D_GE14,ISCO2,N,OTHER,EU_V,1999,208,
dataflow,ESTAT:HSW_HP_SVDIN(1.0),A,RT,D_GE14,ISCO2,N,PULMONAR,EU_V,1999,321,
dataflow,ESTAT:HSW_HP_SVDIN(1.0),A,RT,D_GE14,ISCO2,N,STRESS,EU_V,1999,298,
dataflow,ESTAT:HSW_HP_SVDIN(1.0),A,RT,D_GE14,ISCO2,N,TOTAL,EU_V,1999,191,
dataflow,ESTAT:HSW_HP_SVDIN(1.0),A,RT,D_GE14,ISCO2,O,MUSC_SKE,EU_V,1999,10,
dataflow,ESTAT:HSW_HP_SVDIN(1.0),A,RT,D_GE14,ISCO2,O,OTHER,EU_V,1999,95,
dataflow,ESTAT:HSW_HP_SVDIN(1.0),A,RT,D_GE14,ISCO2,O,STRESS,EU_V,1999,102,
dataflow,ESTAT:HSW_HP_SVDIN(1.0),A,RT,D_GE14,ISCO2,O,TOTAL,EU_V,1999,53,
dataflow,ESTAT:HSW_HP_SVDIN(1.0),A,RT,D_GE14,ISCO2,TOTAL,MUSC_SKE,EU_V,1999,47,
dataflow,ESTAT:HSW_HP_SVDIN(1.0),A,RT,D_GE14,ISCO2,TOTAL,OTHER,EU_V,1999,113,
dataflow,ESTAT:HSW_HP_SVDIN(1.0),A,RT,D_GE14,ISCO2,TOTAL,PULMONAR,EU_V,1999,157,
dataflow,ESTAT:HSW_HP_SVDIN(1.0),A,RT,D_GE14,ISCO2,TOTAL,STRESS,EU_V,1999,177,
dataflow,ESTAT:HSW_HP_SVDIN(1.0),A,RT,D_GE14,ISCO2,TOTAL,TOTAL,EU_V,1999,101,
dataflow,ESTAT:HSW_HP_SVDIN(1.0),A,RT,D_GE14,ISCO3,A,MUSC_SKE,EU_V,1999,81,
dataflow,ESTAT:HSW_HP_SVDIN(1.0),A,RT,D_GE14,ISCO3,A,OTHER,EU_V,1999,187,
dataflow,ESTAT:HSW_HP_SVDIN(1.0),A,RT,D_GE14,ISCO3,A,TOTAL,EU_V,1999,81,
dataflow,ESTAT:HSW_HP_SVDIN(1.0),A,RT,D_GE14,ISCO3,C,OTHER,EU_V,1999,132,
dataflow,ESTAT:HSW_HP_SVDIN(1.0),A,RT,D_GE14,ISCO3,C,TOTAL,EU_V,1999,30,
dataflow,ESTAT:HSW_HP_SVDIN(1.0),A,RT,D_GE14,ISCO3,D,MUSC_SKE,EU_V,1999,16,
dataflow,ESTAT:HSW_HP_SVDIN(1.0),A,RT,D_GE14,ISCO3,D,OTHER,EU_V,1999,70,
dataflow,ESTAT:HSW_HP_SVDIN(1.0),A,RT,D_GE14,ISCO3,D,PULMONAR,EU_V,1999,49,
dataflow,ESTAT:HSW_HP_SVDIN(1.0),A,RT,D_GE14,ISCO3,D,STRESS,EU_V,1999,38,
dataflow,ESTAT:HSW_HP_SVDIN(1.0),A,RT,D_GE14,ISCO3,D,TOTAL,EU_V,1999,36,
dataflow,ESTAT:HSW_HP_SVDIN(1.0),A,RT,D_GE14,ISCO3,E,MUSC_SKE,EU_V,1999,49,
dataflow,ESTAT:HSW_HP_SVDIN(1.0),A,RT,D_GE14,ISCO3,E,OTHER,EU_V,1999,151,
dataflow,ESTAT:HSW_HP_SVDIN(1.0),A,RT,D_GE14,ISCO3,E,STRESS,EU_V,1999,190,
dataflow,ESTAT:HSW_HP_SVDIN(1.0),A,RT,D_GE14,ISCO3,E,TOTAL,EU_V,1999,106,
dataflow,ESTAT:HSW_HP_SVDIN(1.0),A,RT,D_GE14,ISCO3,F,MUSC_SKE,EU_V,1999,71,
dataflow,ESTAT:HSW_HP_SVDIN(1.0),A,RT,D_GE14,ISCO3,F,OTHER,EU_V,1999,34,
dataflow,ESTAT:HSW_HP_SVDIN(1.0),A,RT,D_GE14,ISCO3,F,STRESS,EU_V,1999,96,
dataflow,ESTAT:HSW_HP_SVDIN(1.0),A,RT,D_GE14,ISCO3,F,TOTAL,EU_V,1999,66,
dataflow,ESTAT:HSW_HP_SVDIN(1.0),A,RT,D_GE14,ISCO3,G,MUSC_SKE,EU_V,1999,49,
dataflow,ESTAT:HSW_HP_SVDIN(1.0),A,RT,D_GE14,ISCO3,G,OTHER,EU_V,1999,14,
dataflow,ESTAT:HSW_HP_SVDIN(1.0),A,RT,D_GE14,ISCO3,G,STRESS,EU_V,1999,33,
dataflow,ESTAT:HSW_HP_SVDIN(1.0),A,RT,D_GE14,ISCO3,G,TOTAL,EU_V,1999,35,
dataflow,ESTAT:HSW_HP_SVDIN(1.0),A,RT,D_GE14,ISCO3,H,MUSC_SKE,EU_V,1999,53,
dataflow,ESTAT:HSW_HP_SVDIN(1.0),A,RT,D_GE14,ISCO3,H,TOTAL,EU_V,1999,25,
dataflow,ESTAT:HSW_HP_SVDIN(1.0),A,RT,D_GE14,ISCO3,I,MUSC_SKE,EU_V,1999,94,
dataflow,ESTAT:HSW_HP_SVDIN(1.0),A,RT,D_GE14,ISCO3,I,OTHER,EU_V,1999,45,
dataflow,ESTAT:HSW_HP_SVDIN(1.0),A,RT,D_GE14,ISCO3,I,STRESS,EU_V,1999,108,
dataflow,ESTAT:HSW_HP_SVDIN(1.0),A,RT,D_GE14,ISCO3,I,TOTAL,EU_V,1999,104,
dataflow,ESTAT:HSW_HP_SVDIN(1.0),A,RT,D_GE14,ISCO3,J,MUSC_SKE,EU_V,1999,69,
dataflow,ESTAT:HSW_HP_SVDIN(1.0),A,RT,D_GE14,ISCO3,J,OTHER,EU_V,1999,149,
dataflow,ESTAT:HSW_HP_SVDIN(1.0),A,RT,D_GE14,ISCO3,J,PULMONAR,EU_V,1999,81,
dataflow,ESTAT:HSW_HP_SVDIN(1.0),A,RT,D_GE14,ISCO3,J,STRESS,EU_V,1999,30,
dataflow,ESTAT:HSW_HP_SVDIN(1.0),A,RT,D_GE14,ISCO3,J,TOTAL,EU_V,1999,78,
dataflow,ESTAT:HSW_HP_SVDIN(1.0),A,RT,D_GE14,ISCO3,K,MUSC_SKE,EU_V,1999,62,
dataflow,ESTAT:HSW_HP_SVDIN(1.0),A,RT,D_GE14,ISCO3,K,OTHER,EU_V,1999,126,
dataflow,ESTAT:HSW_HP_SVDIN(1.0),A,RT,D_GE14,ISCO3,K,PULMONAR,EU_V,1999,29,
dataflow,ESTAT:HSW_HP_SVDIN(1.0),A,RT,D_GE14,ISCO3,K,STRESS,EU_V,1999,167,
dataflow,ESTAT:HSW_HP_SVDIN(1.0),A,RT,D_GE14,ISCO3,K,TOTAL,EU_V,1999,102,
dataflow,ESTAT:HSW_HP_SVDIN(1.0),A,RT,D_GE14,ISCO3,L,MUSC_SKE,EU_V,1999,52,
dataflow,ESTAT:HSW_HP_SVDIN(1.0),A,RT,D_GE14,ISCO3,L,OTHER,EU_V,1999,43,
dataflow,ESTAT:HSW_HP_SVDIN(1.0),A,RT,D_GE14,ISCO3,L,PULMONAR,EU_V,1999,58,
dataflow,ESTAT:HSW_HP_SVDIN(1.0),A,RT,D_GE14,ISCO3,L,STRESS,EU_V,1999,113,
dataflow,ESTAT:HSW_HP_SVDIN(1.0),A,RT,D_GE14,ISCO3,L,TOTAL,EU_V,1999,66,
dataflow,ESTAT:HSW_HP_SVDIN(1.0),A,RT,D_GE14,ISCO3,M,MUSC_SKE,EU_V,1999,68,
dataflow,ESTAT:HSW_HP_SVDIN(1.0),A,RT,D_GE14,ISCO3,M,OTHER,EU_V,1999,70,
dataflow,ESTAT:HSW_HP_SVDIN(1.0),A,RT,D_GE14,ISCO3,M,PULMONAR,EU_V,1999,26,
dataflow,ESTAT:HSW_HP_SVDIN(1.0),A,RT,D_GE14,ISCO3,M,STRESS,EU_V,1999,130,
dataflow,ESTAT:HSW_HP_SVDIN(1.0),A,RT,D_GE14,ISCO3,M,TOTAL,EU_V,1999,83,
dataflow,ESTAT:HSW_HP_SVDIN(1.0),A,RT,D_GE14,ISCO3,N,MUSC_SKE,EU_V,1999,101,
dataflow,ESTAT:HSW_HP_SVDIN(1.0),A,RT,D_GE14,ISCO3,N,OTHER,EU_V,1999,170,
dataflow,ESTAT:HSW_HP_SVDIN(1.0),A,RT,D_GE14,ISCO3,N,PULMONAR,EU_V,1999,87,
dataflow,ESTAT:HSW_HP_SVDIN(1.0),A,RT,D_GE14,ISCO3,N,STRESS,EU_V,1999,112,
dataflow,ESTAT:HSW_HP_SVDIN(1.0),A,RT,D_GE14,ISCO3,N,TOTAL,EU_V,1999,119,
dataflow,ESTAT:HSW_HP_SVDIN(1.0),A,RT,D_GE14,ISCO3,O,MUSC_SKE,EU_V,1999,53,
dataflow,ESTAT:HSW_HP_SVDIN(1.0),A,RT,D_GE14,ISCO3,O,OTHER,EU_V,1999,70,
dataflow,ESTAT:HSW_HP_SVDIN(1.0),A,RT,D_GE14,ISCO3,O,STRESS,EU_V,1999,11,
dataflow,ESTAT:HSW_HP_SVDIN(1.0),A,RT,D_GE14,ISCO3,O,TOTAL,EU_V,1999,44,
dataflow,ESTAT:HSW_HP_SVDIN(1.0),A,RT,D_GE14,ISCO3,TOTAL,MUSC_SKE,EU_V,1999,62,
dataflow,ESTAT:HSW_HP_SVDIN(1.0),A,RT,D_GE14,ISCO3,TOTAL,OTHER,EU_V,1999,92,
dataflow,ESTAT:HSW_HP_SVDIN(1.0),A,RT,D_GE14,ISCO3,TOTAL,PULMONAR,EU_V,1999,66,
dataflow,ESTAT:HSW_HP_SVDIN(1.0),A,RT,D_GE14,ISCO3,TOTAL,STRESS,EU_V,1999,86,
dataflow,ESTAT:HSW_HP_SVDIN(1.0),A,RT,D_GE14,ISCO3,TOTAL,TOTAL,EU_V,1999,75,
dataflow,ESTAT:HSW_HP_SVDIN(1.0),A,RT,D_GE14,ISCO4,A,MUSC_SKE,EU_V,1999,43,
dataflow,ESTAT:HSW_HP_SVDIN(1.0),A,RT,D_GE14,ISCO4,A,TOTAL,EU_V,1999,20,
dataflow,ESTAT:HSW_HP_SVDIN(1.0),A,RT,D_GE14,ISCO4,C,MUSC_SKE,EU_V,1999,196,
dataflow,ESTAT:HSW_HP_SVDIN(1.0),A,RT,D_GE14,ISCO4,C,TOTAL,EU_V,1999,92,
dataflow,ESTAT:HSW_HP_SVDIN(1.0),A,RT,D_GE14,ISCO4,D,MUSC_SKE,EU_V,1999,54,
dataflow,ESTAT:HSW_HP_SVDIN(1.0),A,RT,D_GE14,ISCO4,D,OTHER,EU_V,1999,55,
dataflow,ESTAT:HSW_HP_SVDIN(1.0),A,RT,D_GE14,ISCO4,D,PULMONAR,EU_V,1999,75,
dataflow,ESTAT:HSW_HP_SVDIN(1.0),A,RT,D_GE14,ISCO4,D,STRESS,EU_V,1999,51,
dataflow,ESTAT:HSW_HP_SVDIN(1.0),A,RT,D_GE14,ISCO4,D,TOTAL,EU_V,1999,54,
dataflow,ESTAT:HSW_HP_SVDIN(1.0),A,RT,D_GE14,ISCO4,E,OTHER,EU_V,1999,12,
dataflow,ESTAT:HSW_HP_SVDIN(1.0),A,RT,D_GE14,ISCO4,E,TOTAL,EU_V,1999,38,
dataflow,ESTAT:HSW_HP_SVDIN(1.0),A,RT,D_GE14,ISCO4,F,MUSC_SKE,EU_V,1999,48,
dataflow,ESTAT:HSW_HP_SVDIN(1.0),A,RT,D_GE14,ISCO4,F,OTHER,EU_V,1999,44,
dataflow,ESTAT:HSW_HP_SVDIN(1.0),A,RT,D_GE14,ISCO4,F,STRESS,EU_V,1999,42,
dataflow,ESTAT:HSW_HP_SVDIN(1.0),A,RT,D_GE14,ISCO4,F,TOTAL,EU_V,1999,43,
dataflow,ESTAT:HSW_HP_SVDIN(1.0),A,RT,D_GE14,ISCO4,G,MUSC_SKE,EU_V,1999,66,
dataflow,ESTAT:HSW_HP_SVDIN(1.0),A,RT,D_GE14,ISCO4,G,OTHER,EU_V,1999,74,
dataflow,ESTAT:HSW_HP_SVDIN(1.0),A,RT,D_GE14,ISCO4,G,STRESS,EU_V,1999,90,
dataflow,ESTAT:HSW_HP_SVDIN(1.0),A,RT,D_GE14,ISCO4,G,TOTAL,EU_V,1999,71,
dataflow,ESTAT:HSW_HP_SVDIN(1.0),A,RT,D_GE14,ISCO4,H,OTHER,EU_V,1999,12,
dataflow,ESTAT:HSW_HP_SVDIN(1.0),A,RT,D_GE14,ISCO4,I,MUSC_SKE,EU_V,1999,173,
dataflow,ESTAT:HSW_HP_SVDIN(1.0),A,RT,D_GE14,ISCO4,I,OTHER,EU_V,1999,82,
dataflow,ESTAT:HSW_HP_SVDIN(1.0),A,RT,D_GE14,ISCO4,I,STRESS,EU_V,1999,125,
dataflow,ESTAT:HSW_HP_SVDIN(1.0),A,RT,D_GE14,ISCO4,I,TOTAL,EU_V,1999,132,
dataflow,ESTAT:HSW_HP_SVDIN(1.0),A,RT,D_GE14,ISCO4,J,MUSC_SKE,EU_V,1999,85,
dataflow,ESTAT:HSW_HP_SVDIN(1.0),A,RT,D_GE14,ISCO4,J,OTHER,EU_V,1999,24,
dataflow,ESTAT:HSW_HP_SVDIN(1.0),A,RT,D_GE14,ISCO4,J,PULMONAR,EU_V,1999,54,
dataflow,ESTAT:HSW_HP_SVDIN(1.0),A,RT,D_GE14,ISCO4,J,STRESS,EU_V,1999,94,
dataflow,ESTAT:HSW_HP_SVDIN(1.0),A,RT,D_GE14,ISCO4,J,TOTAL,EU_V,1999,72,
dataflow,ESTAT:HSW_HP_SVDIN(1.0),A,RT,D_GE14,ISCO4,K,MUSC_SKE,EU_V,1999,83,
dataflow,ESTAT:HSW_HP_SVDIN(1.0),A,RT,D_GE14,ISCO4,K,OTHER,EU_V,1999,58,
dataflow,ESTAT:HSW_HP_SVDIN(1.0),A,RT,D_GE14,ISCO4,K,PULMONAR,EU_V,1999,80,
dataflow,ESTAT:HSW_HP_SVDIN(1.0),A,RT,D_GE14,ISCO4,K,STRESS,EU_V,1999,108,
dataflow,ESTAT:HSW_HP_SVDIN(1.0),A,RT,D_GE14,ISCO4,K,TOTAL,EU_V,1999,83,
dataflow,ESTAT:HSW_HP_SVDIN(1.0),A,RT,D_GE14,ISCO4,L,MUSC_SKE,EU_V,1999,132,
dataflow,ESTAT:HSW_HP_SVDIN(1.0),A,RT,D_GE14,ISCO4,L,OTHER,EU_V,1999,164,
dataflow,ESTAT:HSW_HP_SVDIN(1.0),A,RT,D_GE14,ISCO4,L,PULMONAR,EU_V,1999,40,
dataflow,ESTAT:HSW_HP_SVDIN(1.0),A,RT,D_GE14,ISCO4,L,STRESS,EU_V,1999,267,
dataflow,ESTAT:HSW_HP_SVDIN(1.0),A,RT,D_GE14,ISCO4,L,TOTAL,EU_V,1999,170,
dataflow,ESTAT:HSW_HP_SVDIN(1.0),A,RT,D_GE14,ISCO4,M,MUSC_SKE,EU_V,1999,70,
dataflow,ESTAT:HSW_HP_SVDIN(1.0),A,RT,D_GE14,ISCO4,M,OTHER,EU_V,1999,73,
