STRUCTURE,STRUCTURE_ID,freq,airpol,indic_he,unit,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
dataflow,ESTAT:HLTH_CD_IAP(1.0),A,PM2_5,PMD,NR,BG,2020,10625,
dataflow,ESTAT:HLTH_CD_IAP(1.0),A,PM2_5,PMD,NR,CH,2005,5430,
dataflow,ESTAT:HLTH_CD_IAP(1.0),A,PM2_5,PMD,NR,CH,2009,4890,
dataflow,ESTAT:HLTH_CD_IAP(1.0),A,PM2_5,PMD,NR,CH,2014,4023,
dataflow,ESTAT:HLTH_CD_IAP(1.0),A,PM2_5,PMD,NR,CH,2015,4363,
dataflow,ESTAT:HLTH_CD_IAP(1.0),A,PM2_5,PMD,NR,CH,2016,3604,
dataflow,ESTAT:HLTH_CD_IAP(1.0),A,PM2_5,PMD,NR,CH,2017,3633,
dataflow,ESTAT:HLTH_CD_IAP(1.0),A,PM2_5,PMD,NR,CH,2018,3593,
dataflow,ESTAT:HLTH_CD_IAP(1.0),A,PM2_5,PMD,NR,CH,2019,3232,
dataflow,ESTAT:HLTH_CD_IAP(1.0),A,PM2_5,PMD,NR,CY,2005,1137,
dataflow,ESTAT:HLTH_CD_IAP(1.0),A,PM2_5,PMD,NR,CY,2007,883,
dataflow,ESTAT:HLTH_CD_IAP(1.0),A,PM2_5,PMD,NR,CY,2008,963,
dataflow,ESTAT:HLTH_CD_IAP(1.0),A,PM2_5,PMD,NR,CY,2009,754,
dataflow,ESTAT:HLTH_CD_IAP(1.0),A,PM2_5,PMD,NR,CY,2010,793,
dataflow,ESTAT:HLTH_CD_IAP(1.0),A,PM2_5,PMD,NR,CY,2011,929,
dataflow,ESTAT:HLTH_CD_IAP(1.0),A,PM2_5,PMD,NR,CY,2012,1069,
dataflow,ESTAT:HLTH_CD_IAP(1.0),A,PM2_5,PMD,NR,CY,2013,589,
dataflow,ESTAT:HLTH_CD_IAP(1.0),A,PM2_5,PMD,NR,CY,2014,619,
dataflow,ESTAT:HLTH_CD_IAP(1.0),A,PM2_5,PMD,NR,CY,2015,711,
dataflow,ESTAT:HLTH_CD_IAP(1.0),A,PM2_5,PMD,NR,CY,2016,541,
dataflow,ESTAT:HLTH_CD_IAP(1.0),A,PM2_5,PMD,NR,CY,2017,620,
dataflow,ESTAT:HLTH_CD_IAP(1.0),A,PM2_5,PMD,NR,CY,2018,527,
dataflow,ESTAT:HLTH_CD_IAP(1.0),A,PM2_5,PMD,NR,CY,2019,582,
dataflow,ESTAT:HLTH_CD_IAP(1.0),A,PM2_5,PMD,NR,CY,2020,565,
dataflow,ESTAT:HLTH_CD_IAP(1.0),A,PM2_5,PMD,NR,CZ,2005,13111,
dataflow,ESTAT:HLTH_CD_IAP(1.0),A,PM2_5,PMD,NR,CZ,2007,8603,
dataflow,ESTAT:HLTH_CD_IAP(1.0),A,PM2_5,PMD,NR,CZ,2008,9113,
dataflow,ESTAT:HLTH_CD_IAP(1.0),A,PM2_5,PMD,NR,CZ,2009,10226,
dataflow,ESTAT:HLTH_CD_IAP(1.0),A,PM2_5,PMD,NR,CZ,2010,11841,
dataflow,ESTAT:HLTH_CD_IAP(1.0),A,PM2_5,PMD,NR,CZ,2011,11176,
dataflow,ESTAT:HLTH_CD_IAP(1.0),A,PM2_5,PMD,NR,CZ,2012,10212,
dataflow,ESTAT:HLTH_CD_IAP(1.0),A,PM2_5,PMD,NR,CZ,2013,10918,
dataflow,ESTAT:HLTH_CD_IAP(1.0),A,PM2_5,PMD,NR,CZ,2014,9853,
dataflow,ESTAT:HLTH_CD_IAP(1.0),A,PM2_5,PMD,NR,CZ,2015,9246,
dataflow,ESTAT:HLTH_CD_IAP(1.0),A,PM2_5,PMD,NR,CZ,2016,8636,
dataflow,ESTAT:HLTH_CD_IAP(1.0),A,PM2_5,PMD,NR,CZ,2017,9329,
dataflow,ESTAT:HLTH_CD_IAP(1.0),A,PM2_5,PMD,NR,CZ,2018,10310,
dataflow,ESTAT:HLTH_CD_IAP(1.0),A,PM2_5,PMD,NR,CZ,2019,6944,
dataflow,ESTAT:HLTH_CD_IAP(1.0),A,PM2_5,PMD,NR,CZ,2020,6901,
dataflow,ESTAT:HLTH_CD_IAP(1.0),A,PM2_5,PMD,NR,DE,2005,66680,
dataflow,ESTAT:HLTH_CD_IAP(1.0),A,PM2_5,PMD,NR,DE,2007,48887,
dataflow,ESTAT:HLTH_CD_IAP(1.0),A,PM2_5,PMD,NR,DE,2008,54713,
dataflow,ESTAT:HLTH_CD_IAP(1.0),A,PM2_5,PMD,NR,DE,2009,63377,
dataflow,ESTAT:HLTH_CD_IAP(1.0),A,PM2_5,PMD,NR,DE,2010,68721,
dataflow,ESTAT:HLTH_CD_IAP(1.0),A,PM2_5,PMD,NR,DE,2011,64497,
dataflow,ESTAT:HLTH_CD_IAP(1.0),A,PM2_5,PMD,NR,DE,2012,51706,
dataflow,ESTAT:HLTH_CD_IAP(1.0),A,PM2_5,PMD,NR,DE,2013,58397,
dataflow,ESTAT:HLTH_CD_IAP(1.0),A,PM2_5,PMD,NR,DE,2014,52066,
dataflow,ESTAT:HLTH_CD_IAP(1.0),A,PM2_5,PMD,NR,DE,2015,49723,
dataflow,ESTAT:HLTH_CD_IAP(1.0),A,PM2_5,PMD,NR,DE,2016,44212,
dataflow,ESTAT:HLTH_CD_IAP(1.0),A,PM2_5,PMD,NR,DE,2017,45194,
dataflow,ESTAT:HLTH_CD_IAP(1.0),A,PM2_5,PMD,NR,DE,2018,49282,
dataflow,ESTAT:HLTH_CD_IAP(1.0),A,PM2_5,PMD,NR,DE,2019,34360,
dataflow,ESTAT:HLTH_CD_IAP(1.0),A,PM2_5,PMD,NR,DE,2020,28910,
dataflow,ESTAT:HLTH_CD_IAP(1.0),A,PM2_5,PMD,NR,DK,2005,2990,
dataflow,ESTAT:HLTH_CD_IAP(1.0),A,PM2_5,PMD,NR,DK,2007,2743,
dataflow,ESTAT:HLTH_CD_IAP(1.0),A,PM2_5,PMD,NR,DK,2008,2416,
dataflow,ESTAT:HLTH_CD_IAP(1.0),A,PM2_5,PMD,NR,DK,2009,2336,
dataflow,ESTAT:HLTH_CD_IAP(1.0),A,PM2_5,PMD,NR,DK,2010,2583,
dataflow,ESTAT:HLTH_CD_IAP(1.0),A,PM2_5,PMD,NR,DK,2011,3387,
dataflow,ESTAT:HLTH_CD_IAP(1.0),A,PM2_5,PMD,NR,DK,2012,1919,
dataflow,ESTAT:HLTH_CD_IAP(1.0),A,PM2_5,PMD,NR,DK,2013,1763,
dataflow,ESTAT:HLTH_CD_IAP(1.0),A,PM2_5,PMD,NR,DK,2014,2420,
dataflow,ESTAT:HLTH_CD_IAP(1.0),A,PM2_5,PMD,NR,DK,2015,1845,
dataflow,ESTAT:HLTH_CD_IAP(1.0),A,PM2_5,PMD,NR,DK,2016,1654,
dataflow,ESTAT:HLTH_CD_IAP(1.0),A,PM2_5,PMD,NR,DK,2017,1367,
dataflow,ESTAT:HLTH_CD_IAP(1.0),A,PM2_5,PMD,NR,DK,2018,2204,
dataflow,ESTAT:HLTH_CD_IAP(1.0),A,PM2_5,PMD,NR,DK,2019,1717,
dataflow,ESTAT:HLTH_CD_IAP(1.0),A,PM2_5,PMD,NR,DK,2020,1041,
dataflow,ESTAT:HLTH_CD_IAP(1.0),A,PM2_5,PMD,NR,EE,2005,777,
dataflow,ESTAT:HLTH_CD_IAP(1.0),A,PM2_5,PMD,NR,EE,2007,632,
dataflow,ESTAT:HLTH_CD_IAP(1.0),A,PM2_5,PMD,NR,EE,2008,453,
dataflow,ESTAT:HLTH_CD_IAP(1.0),A,PM2_5,PMD,NR,EE,2009,276,
dataflow,ESTAT:HLTH_CD_IAP(1.0),A,PM2_5,PMD,NR,EE,2010,446,
dataflow,ESTAT:HLTH_CD_IAP(1.0),A,PM2_5,PMD,NR,EE,2011,347,
dataflow,ESTAT:HLTH_CD_IAP(1.0),A,PM2_5,PMD,NR,EE,2012,324,
dataflow,ESTAT:HLTH_CD_IAP(1.0),A,PM2_5,PMD,NR,EE,2013,308,
dataflow,ESTAT:HLTH_CD_IAP(1.0),A,PM2_5,PMD,NR,EE,2014,399,
dataflow,ESTAT:HLTH_CD_IAP(1.0),A,PM2_5,PMD,NR,EE,2015,215,
dataflow,ESTAT:HLTH_CD_IAP(1.0),A,PM2_5,PMD,NR,EE,2016,128,
dataflow,ESTAT:HLTH_CD_IAP(1.0),A,PM2_5,PMD,NR,EE,2017,71,
dataflow,ESTAT:HLTH_CD_IAP(1.0),A,PM2_5,PMD,NR,EE,2018,234,
dataflow,ESTAT:HLTH_CD_IAP(1.0),A,PM2_5,PMD,NR,EE,2019,81,
dataflow,ESTAT:HLTH_CD_IAP(1.0),A,PM2_5,PMD,NR,EE,2020,59,
dataflow,ESTAT:HLTH_CD_IAP(1.0),A,PM2_5,PMD,NR,EL,2005,15304,
dataflow,ESTAT:HLTH_CD_IAP(1.0),A,PM2_5,PMD,NR,EL,2007,12565,
dataflow,ESTAT:HLTH_CD_IAP(1.0),A,PM2_5,PMD,NR,EL,2008,13200,
dataflow,ESTAT:HLTH_CD_IAP(1.0),A,PM2_5,PMD,NR,EL,2009,13419,
dataflow,ESTAT:HLTH_CD_IAP(1.0),A,PM2_5,PMD,NR,EL,2010,11987,
dataflow,ESTAT:HLTH_CD_IAP(1.0),A,PM2_5,PMD,NR,EL,2011,13001,
dataflow,ESTAT:HLTH_CD_IAP(1.0),A,PM2_5,PMD,NR,EL,2012,12277,
dataflow,ESTAT:HLTH_CD_IAP(1.0),A,PM2_5,PMD,NR,EL,2013,11471,
dataflow,ESTAT:HLTH_CD_IAP(1.0),A,PM2_5,PMD,NR,EL,2014,9652,
dataflow,ESTAT:HLTH_CD_IAP(1.0),A,PM2_5,PMD,NR,EL,2015,12500,
dataflow,ESTAT:HLTH_CD_IAP(1.0),A,PM2_5,PMD,NR,EL,2016,12161,
dataflow,ESTAT:HLTH_CD_IAP(1.0),A,PM2_5,PMD,NR,EL,2017,20684,
dataflow,ESTAT:HLTH_CD_IAP(1.0),A,PM2_5,PMD,NR,EL,2018,11149,
dataflow,ESTAT:HLTH_CD_IAP(1.0),A,PM2_5,PMD,NR,EL,2019,9482,
dataflow,ESTAT:HLTH_CD_IAP(1.0),A,PM2_5,PMD,NR,EL,2020,8843,
dataflow,ESTAT:HLTH_CD_IAP(1.0),A,PM2_5,PMD,NR,ES,2005,34014,
dataflow,ESTAT:HLTH_CD_IAP(1.0),A,PM2_5,PMD,NR,ES,2007,31420,
dataflow,ESTAT:HLTH_CD_IAP(1.0),A,PM2_5,PMD,NR,ES,2008,24579,
dataflow,ESTAT:HLTH_CD_IAP(1.0),A,PM2_5,PMD,NR,ES,2009,24474,
dataflow,ESTAT:HLTH_CD_IAP(1.0),A,PM2_5,PMD,NR,ES,2010,19188,
dataflow,ESTAT:HLTH_CD_IAP(1.0),A,PM2_5,PMD,NR,ES,2011,20907,
dataflow,ESTAT:HLTH_CD_IAP(1.0),A,PM2_5,PMD,NR,ES,2012,20385,
dataflow,ESTAT:HLTH_CD_IAP(1.0),A,PM2_5,PMD,NR,ES,2013,15811,
dataflow,ESTAT:HLTH_CD_IAP(1.0),A,PM2_5,PMD,NR,ES,2014,15441,
dataflow,ESTAT:HLTH_CD_IAP(1.0),A,PM2_5,PMD,NR,ES,2015,22196,
dataflow,ESTAT:HLTH_CD_IAP(1.0),A,PM2_5,PMD,NR,ES,2016,17514,
dataflow,ESTAT:HLTH_CD_IAP(1.0),A,PM2_5,PMD,NR,ES,2017,20143,
dataflow,ESTAT:HLTH_CD_IAP(1.0),A,PM2_5,PMD,NR,ES,2018,15113,
dataflow,ESTAT:HLTH_CD_IAP(1.0),A,PM2_5,PMD,NR,ES,2019,14738,
dataflow,ESTAT:HLTH_CD_IAP(1.0),A,PM2_5,PMD,NR,ES,2020,16982,
dataflow,ESTAT:HLTH_CD_IAP(1.0),A,PM2_5,PMD,NR,EU27_2020,2005,431157,
dataflow,ESTAT:HLTH_CD_IAP(1.0),A,PM2_5,PMD,NR,EU27_2020,2007,349414,
dataflow,ESTAT:HLTH_CD_IAP(1.0),A,PM2_5,PMD,NR,EU27_2020,2008,354165,
dataflow,ESTAT:HLTH_CD_IAP(1.0),A,PM2_5,PMD,NR,EU27_2020,2009,362884,
dataflow,ESTAT:HLTH_CD_IAP(1.0),A,PM2_5,PMD,NR,EU27_2020,2010,367797,
dataflow,ESTAT:HLTH_CD_IAP(1.0),A,PM2_5,PMD,NR,EU27_2020,2011,392303,
dataflow,ESTAT:HLTH_CD_IAP(1.0),A,PM2_5,PMD,NR,EU27_2020,2012,344018,
dataflow,ESTAT:HLTH_CD_IAP(1.0),A,PM2_5,PMD,NR,EU27_2020,2013,329001,
dataflow,ESTAT:HLTH_CD_IAP(1.0),A,PM2_5,PMD,NR,EU27_2020,2014,290920,
dataflow,ESTAT:HLTH_CD_IAP(1.0),A,PM2_5,PMD,NR,EU27_2020,2015,321112,
dataflow,ESTAT:HLTH_CD_IAP(1.0),A,PM2_5,PMD,NR,EU27_2020,2016,282065,
dataflow,ESTAT:HLTH_CD_IAP(1.0),A,PM2_5,PMD,NR,EU27_2020,2017,303488,
dataflow,ESTAT:HLTH_CD_IAP(1.0),A,PM2_5,PMD,NR,EU27_2020,2018,290788,
dataflow,ESTAT:HLTH_CD_IAP(1.0),A,PM2_5,PMD,NR,EU27_2020,2019,231375,
dataflow,ESTAT:HLTH_CD_IAP(1.0),A,PM2_5,PMD,NR,EU27_2020,2020,237810,
dataflow,ESTAT:HLTH_CD_IAP(1.0),A,PM2_5,PMD,NR,FI,2005,1242,
dataflow,ESTAT:HLTH_CD_IAP(1.0),A,PM2_5,PMD,NR,FI,2007,1257,
dataflow,ESTAT:HLTH_CD_IAP(1.0),A,PM2_5,PMD,NR,FI,2008,843,
dataflow,ESTAT:HLTH_CD_IAP(1.0),A,PM2_5,PMD,NR,FI,2009,630,
dataflow,ESTAT:HLTH_CD_IAP(1.0),A,PM2_5,PMD,NR,FI,2010,1012,
dataflow,ESTAT:HLTH_CD_IAP(1.0),A,PM2_5,PMD,NR,FI,2011,953,
dataflow,ESTAT:HLTH_CD_IAP(1.0),A,PM2_5,PMD,NR,FI,2012,772,
dataflow,ESTAT:HLTH_CD_IAP(1.0),A,PM2_5,PMD,NR,FI,2013,371,
dataflow,ESTAT:HLTH_CD_IAP(1.0),A,PM2_5,PMD,NR,FI,2014,886,
dataflow,ESTAT:HLTH_CD_IAP(1.0),A,PM2_5,PMD,NR,FI,2015,229,
dataflow,ESTAT:HLTH_CD_IAP(1.0),A,PM2_5,PMD,NR,FI,2016,227,
dataflow,ESTAT:HLTH_CD_IAP(1.0),A,PM2_5,PMD,NR,FI,2017,98,
dataflow,ESTAT:HLTH_CD_IAP(1.0),A,PM2_5,PMD,NR,FI,2018,456,
dataflow,ESTAT:HLTH_CD_IAP(1.0),A,PM2_5,PMD,NR,FI,2019,168,
dataflow,ESTAT:HLTH_CD_IAP(1.0),A,PM2_5,PMD,NR,FI,2020,63,
dataflow,ESTAT:HLTH_CD_IAP(1.0),A,PM2_5,PMD,NR,FR,2005,38708,
dataflow,ESTAT:HLTH_CD_IAP(1.0),A,PM2_5,PMD,NR,FR,2007,32787,
dataflow,ESTAT:HLTH_CD_IAP(1.0),A,PM2_5,PMD,NR,FR,2008,34907,
dataflow,ESTAT:HLTH_CD_IAP(1.0),A,PM2_5,PMD,NR,FR,2009,39673,
dataflow,ESTAT:HLTH_CD_IAP(1.0),A,PM2_5,PMD,NR,FR,2010,40508,
dataflow,ESTAT:HLTH_CD_IAP(1.0),A,PM2_5,PMD,NR,FR,2011,40015,
dataflow,ESTAT:HLTH_CD_IAP(1.0),A,PM2_5,PMD,NR,FR,2012,36634,
dataflow,ESTAT:HLTH_CD_IAP(1.0),A,PM2_5,PMD,NR,FR,2013,35673,
dataflow,ESTAT:HLTH_CD_IAP(1.0),A,PM2_5,PMD,NR,FR,2014,22679,
dataflow,ESTAT:HLTH_CD_IAP(1.0),A,PM2_5,PMD,NR,FR,2015,28182,
dataflow,ESTAT:HLTH_CD_IAP(1.0),A,PM2_5,PMD,NR,FR,2016,24428,
dataflow,ESTAT:HLTH_CD_IAP(1.0),A,PM2_5,PMD,NR,FR,2017,22988,
dataflow,ESTAT:HLTH_CD_IAP(1.0),A,PM2_5,PMD,NR,FR,2018,22955,
dataflow,ESTAT:HLTH_CD_IAP(1.0),A,PM2_5,PMD,NR,FR,2019,18774,
dataflow,ESTAT:HLTH_CD_IAP(1.0),A,PM2_5,PMD,NR,FR,2020,16539,
dataflow,ESTAT:HLTH_CD_IAP(1.0),A,PM2_5,PMD,NR,HR,2005,6541,
dataflow,ESTAT:HLTH_CD_IAP(1.0),A,PM2_5,PMD,NR,HR,2007,5256,
dataflow,ESTAT:HLTH_CD_IAP(1.0),A,PM2_5,PMD,NR,HR,2008,4910,
dataflow,ESTAT:HLTH_CD_IAP(1.0),A,PM2_5,PMD,NR,HR,2009,5370,
dataflow,ESTAT:HLTH_CD_IAP(1.0),A,PM2_5,PMD,NR,HR,2010,5432,
dataflow,ESTAT:HLTH_CD_IAP(1.0),A,PM2_5,PMD,NR,HR,2011,5904,
dataflow,ESTAT:HLTH_CD_IAP(1.0),A,PM2_5,PMD,NR,HR,2012,4250,
dataflow,ESTAT:HLTH_CD_IAP(1.0),A,PM2_5,PMD,NR,HR,2013,4108,
dataflow,ESTAT:HLTH_CD_IAP(1.0),A,PM2_5,PMD,NR,HR,2014,3767,
dataflow,ESTAT:HLTH_CD_IAP(1.0),A,PM2_5,PMD,NR,HR,2015,4663,
dataflow,ESTAT:HLTH_CD_IAP(1.0),A,PM2_5,PMD,NR,HR,2016,5128,
dataflow,ESTAT:HLTH_CD_IAP(1.0),A,PM2_5,PMD,NR,HR,2017,4667,
dataflow,ESTAT:HLTH_CD_IAP(1.0),A,PM2_5,PMD,NR,HR,2018,4696,
dataflow,ESTAT:HLTH_CD_IAP(1.0),A,PM2_5,PMD,NR,HR,2019,3471,
dataflow,ESTAT:HLTH_CD_IAP(1.0),A,PM2_5,PMD,NR,HR,2020,4128,
dataflow,ESTAT:HLTH_CD_IAP(1.0),A,PM2_5,PMD,NR,HU,2005,18001,
dataflow,ESTAT:HLTH_CD_IAP(1.0),A,PM2_5,PMD,NR,HU,2007,13051,
dataflow,ESTAT:HLTH_CD_IAP(1.0),A,PM2_5,PMD,NR,HU,2008,12956,
dataflow,ESTAT:HLTH_CD_IAP(1.0),A,PM2_5,PMD,NR,HU,2009,13493,
dataflow,ESTAT:HLTH_CD_IAP(1.0),A,PM2_5,PMD,NR,HU,2010,13700,
dataflow,ESTAT:HLTH_CD_IAP(1.0),A,PM2_5,PMD,NR,HU,2011,16361,
dataflow,ESTAT:HLTH_CD_IAP(1.0),A,PM2_5,PMD,NR,HU,2012,12506,
dataflow,ESTAT:HLTH_CD_IAP(1.0),A,PM2_5,PMD,NR,HU,2013,11577,
dataflow,ESTAT:HLTH_CD_IAP(1.0),A,PM2_5,PMD,NR,HU,2014,10761,
dataflow,ESTAT:HLTH_CD_IAP(1.0),A,PM2_5,PMD,NR,HU,2015,13026,
dataflow,ESTAT:HLTH_CD_IAP(1.0),A,PM2_5,PMD,NR,HU,2016,11293,
dataflow,ESTAT:HLTH_CD_IAP(1.0),A,PM2_5,PMD,NR,HU,2017,12614,
dataflow,ESTAT:HLTH_CD_IAP(1.0),A,PM2_5,PMD,NR,HU,2018,12165,
dataflow,ESTAT:HLTH_CD_IAP(1.0),A,PM2_5,PMD,NR,HU,2019,8665,
dataflow,ESTAT:HLTH_CD_IAP(1.0),A,PM2_5,PMD,NR,HU,2020,9502,
dataflow,ESTAT:HLTH_CD_IAP(1.0),A,PM2_5,PMD,NR,IE,2005,642,
dataflow,ESTAT:HLTH_CD_IAP(1.0),A,PM2_5,PMD,NR,IE,2007,324,
dataflow,ESTAT:HLTH_CD_IAP(1.0),A,PM2_5,PMD,NR,IE,2008,832,
dataflow,ESTAT:HLTH_CD_IAP(1.0),A,PM2_5,PMD,NR,IE,2009,738,
dataflow,ESTAT:HLTH_CD_IAP(1.0),A,PM2_5,PMD,NR,IE,2010,1007,
dataflow,ESTAT:HLTH_CD_IAP(1.0),A,PM2_5,PMD,NR,IE,2011,770,
dataflow,ESTAT:HLTH_CD_IAP(1.0),A,PM2_5,PMD,NR,IE,2012,641,
dataflow,ESTAT:HLTH_CD_IAP(1.0),A,PM2_5,PMD,NR,IE,2013,879,
dataflow,ESTAT:HLTH_CD_IAP(1.0),A,PM2_5,PMD,NR,IE,2014,814,
dataflow,ESTAT:HLTH_CD_IAP(1.0),A,PM2_5,PMD,NR,IE,2015,393,
dataflow,ESTAT:HLTH_CD_IAP(1.0),A,PM2_5,PMD,NR,IE,2016,465,
dataflow,ESTAT:HLTH_CD_IAP(1.0),A,PM2_5,PMD,NR,IE,2017,277,
dataflow,ESTAT:HLTH_CD_IAP(1.0),A,PM2_5,PMD,NR,IE,2018,625,
dataflow,ESTAT:HLTH_CD_IAP(1.0),A,PM2_5,PMD,NR,IE,2019,597,
dataflow,ESTAT:HLTH_CD_IAP(1.0),A,PM2_5,PMD,NR,IE,2020,494,
dataflow,ESTAT:HLTH_CD_IAP(1.0),A,PM2_5,PMD,NR,IS,2005,78,
dataflow,ESTAT:HLTH_CD_IAP(1.0),A,PM2_5,PMD,NR,IS,2009,66,
