STRUCTURE,STRUCTURE_ID,freq,unit,age,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
dataflow,ESTAT:HSW_AC4(1.0),A,PC_EMP_PREEMP_M12,Y15-64,DK,2007,0.2,u
dataflow,ESTAT:HSW_AC4(1.0),A,PC_EMP_PREEMP_M12,Y15-64,DK,2013,,u
dataflow,ESTAT:HSW_AC4(1.0),A,PC_EMP_PREEMP_M12,Y15-64,DK,2020,,u
dataflow,ESTAT:HSW_AC4(1.0),A,PC_EMP_PREEMP_M12,Y15-64,EA19,2007,0.3,
dataflow,ESTAT:HSW_AC4(1.0),A,PC_EMP_PREEMP_M12,Y15-64,EA19,2013,0.3,u
dataflow,ESTAT:HSW_AC4(1.0),A,PC_EMP_PREEMP_M12,Y15-64,EA19,2020,0.2,
dataflow,ESTAT:HSW_AC4(1.0),A,PC_EMP_PREEMP_M12,Y15-64,EE,2007,,u
dataflow,ESTAT:HSW_AC4(1.0),A,PC_EMP_PREEMP_M12,Y15-64,EE,2013,,u
dataflow,ESTAT:HSW_AC4(1.0),A,PC_EMP_PREEMP_M12,Y15-64,EE,2020,,u
dataflow,ESTAT:HSW_AC4(1.0),A,PC_EMP_PREEMP_M12,Y15-64,EL,2007,0.3,d
dataflow,ESTAT:HSW_AC4(1.0),A,PC_EMP_PREEMP_M12,Y15-64,EL,2013,0.2,
dataflow,ESTAT:HSW_AC4(1.0),A,PC_EMP_PREEMP_M12,Y15-64,EL,2020,0.2,
dataflow,ESTAT:HSW_AC4(1.0),A,PC_EMP_PREEMP_M12,Y15-64,ES,2007,0.3,d
dataflow,ESTAT:HSW_AC4(1.0),A,PC_EMP_PREEMP_M12,Y15-64,ES,2013,0.2,
dataflow,ESTAT:HSW_AC4(1.0),A,PC_EMP_PREEMP_M12,Y15-64,ES,2020,0.1,
dataflow,ESTAT:HSW_AC4(1.0),A,PC_EMP_PREEMP_M12,Y15-64,EU27_2020,2007,0.3,
dataflow,ESTAT:HSW_AC4(1.0),A,PC_EMP_PREEMP_M12,Y15-64,EU27_2020,2013,0.2,u
dataflow,ESTAT:HSW_AC4(1.0),A,PC_EMP_PREEMP_M12,Y15-64,EU27_2020,2020,0.2,
dataflow,ESTAT:HSW_AC4(1.0),A,PC_EMP_PREEMP_M12,Y15-64,EU28,2007,0.3,
dataflow,ESTAT:HSW_AC4(1.0),A,PC_EMP_PREEMP_M12,Y15-64,EU28,2013,0.2,u
dataflow,ESTAT:HSW_AC4(1.0),A,PC_EMP_PREEMP_M12,Y15-64,FI,2007,0.5,
dataflow,ESTAT:HSW_AC4(1.0),A,PC_EMP_PREEMP_M12,Y15-64,FI,2013,0.3,
dataflow,ESTAT:HSW_AC4(1.0),A,PC_EMP_PREEMP_M12,Y15-64,FI,2020,0.3,
dataflow,ESTAT:HSW_AC4(1.0),A,PC_EMP_PREEMP_M12,Y15-64,FR,2007,,u
dataflow,ESTAT:HSW_AC4(1.0),A,PC_EMP_PREEMP_M12,Y15-64,FR,2013,0.4,
dataflow,ESTAT:HSW_AC4(1.0),A,PC_EMP_PREEMP_M12,Y15-64,FR,2020,0.3,u
dataflow,ESTAT:HSW_AC4(1.0),A,PC_EMP_PREEMP_M12,Y15-64,HR,2007,0.3,u
dataflow,ESTAT:HSW_AC4(1.0),A,PC_EMP_PREEMP_M12,Y15-64,HR,2013,0.4,u
dataflow,ESTAT:HSW_AC4(1.0),A,PC_EMP_PREEMP_M12,Y15-64,HR,2020,,u
dataflow,ESTAT:HSW_AC4(1.0),A,PC_EMP_PREEMP_M12,Y15-64,HU,2007,0.1,u
dataflow,ESTAT:HSW_AC4(1.0),A,PC_EMP_PREEMP_M12,Y15-64,HU,2013,0.1,u
dataflow,ESTAT:HSW_AC4(1.0),A,PC_EMP_PREEMP_M12,Y15-64,HU,2020,0.1,u
dataflow,ESTAT:HSW_AC4(1.0),A,PC_EMP_PREEMP_M12,Y15-64,IE,2007,0.1,
dataflow,ESTAT:HSW_AC4(1.0),A,PC_EMP_PREEMP_M12,Y15-64,IE,2013,,u
dataflow,ESTAT:HSW_AC4(1.0),A,PC_EMP_PREEMP_M12,Y15-64,IE,2020,,u
dataflow,ESTAT:HSW_AC4(1.0),A,PC_EMP_PREEMP_M12,Y15-64,IS,2007,,u
dataflow,ESTAT:HSW_AC4(1.0),A,PC_EMP_PREEMP_M12,Y15-64,IS,2020,,u
dataflow,ESTAT:HSW_AC4(1.0),A,PC_EMP_PREEMP_M12,Y15-64,IT,2007,0.4,d
dataflow,ESTAT:HSW_AC4(1.0),A,PC_EMP_PREEMP_M12,Y15-64,IT,2013,0.3,
dataflow,ESTAT:HSW_AC4(1.0),A,PC_EMP_PREEMP_M12,Y15-64,IT,2020,0.2,
dataflow,ESTAT:HSW_AC4(1.0),A,PC_EMP_PREEMP_M12,Y15-64,LT,2007,,u
dataflow,ESTAT:HSW_AC4(1.0),A,PC_EMP_PREEMP_M12,Y15-64,LT,2013,,u
dataflow,ESTAT:HSW_AC4(1.0),A,PC_EMP_PREEMP_M12,Y15-64,LT,2020,0.1,u
dataflow,ESTAT:HSW_AC4(1.0),A,PC_EMP_PREEMP_M12,Y15-64,LU,2007,0.4,du
dataflow,ESTAT:HSW_AC4(1.0),A,PC_EMP_PREEMP_M12,Y15-64,LU,2013,0.5,u
dataflow,ESTAT:HSW_AC4(1.0),A,PC_EMP_PREEMP_M12,Y15-64,LU,2020,0.3,u
dataflow,ESTAT:HSW_AC4(1.0),A,PC_EMP_PREEMP_M12,Y15-64,LV,2007,,u
dataflow,ESTAT:HSW_AC4(1.0),A,PC_EMP_PREEMP_M12,Y15-64,LV,2013,,u
dataflow,ESTAT:HSW_AC4(1.0),A,PC_EMP_PREEMP_M12,Y15-64,LV,2020,,u
dataflow,ESTAT:HSW_AC4(1.0),A,PC_EMP_PREEMP_M12,Y15-64,MT,2007,,u
dataflow,ESTAT:HSW_AC4(1.0),A,PC_EMP_PREEMP_M12,Y15-64,MT,2013,,u
dataflow,ESTAT:HSW_AC4(1.0),A,PC_EMP_PREEMP_M12,Y15-64,MT,2020,,u
dataflow,ESTAT:HSW_AC4(1.0),A,PC_EMP_PREEMP_M12,Y15-64,NL,2007,0.4,
dataflow,ESTAT:HSW_AC4(1.0),A,PC_EMP_PREEMP_M12,Y15-64,NL,2020,0.1,
dataflow,ESTAT:HSW_AC4(1.0),A,PC_EMP_PREEMP_M12,Y15-64,NO,2007,0.1,u
dataflow,ESTAT:HSW_AC4(1.0),A,PC_EMP_PREEMP_M12,Y15-64,NO,2013,0.1,u
dataflow,ESTAT:HSW_AC4(1.0),A,PC_EMP_PREEMP_M12,Y15-64,NO,2020,,u
dataflow,ESTAT:HSW_AC4(1.0),A,PC_EMP_PREEMP_M12,Y15-64,PL,2007,0.3,
dataflow,ESTAT:HSW_AC4(1.0),A,PC_EMP_PREEMP_M12,Y15-64,PL,2013,0.2,
dataflow,ESTAT:HSW_AC4(1.0),A,PC_EMP_PREEMP_M12,Y15-64,PL,2020,0.2,
dataflow,ESTAT:HSW_AC4(1.0),A,PC_EMP_PREEMP_M12,Y15-64,PT,2007,0.2,
dataflow,ESTAT:HSW_AC4(1.0),A,PC_EMP_PREEMP_M12,Y15-64,PT,2013,0.2,
dataflow,ESTAT:HSW_AC4(1.0),A,PC_EMP_PREEMP_M12,Y15-64,PT,2020,,u
dataflow,ESTAT:HSW_AC4(1.0),A,PC_EMP_PREEMP_M12,Y15-64,RO,2007,0.2,
dataflow,ESTAT:HSW_AC4(1.0),A,PC_EMP_PREEMP_M12,Y15-64,RO,2013,0.1,u
dataflow,ESTAT:HSW_AC4(1.0),A,PC_EMP_PREEMP_M12,Y15-64,RO,2020,,u
dataflow,ESTAT:HSW_AC4(1.0),A,PC_EMP_PREEMP_M12,Y15-64,SE,2007,0.4,
dataflow,ESTAT:HSW_AC4(1.0),A,PC_EMP_PREEMP_M12,Y15-64,SE,2013,0.3,
dataflow,ESTAT:HSW_AC4(1.0),A,PC_EMP_PREEMP_M12,Y15-64,SE,2020,,u
dataflow,ESTAT:HSW_AC4(1.0),A,PC_EMP_PREEMP_M12,Y15-64,SI,2007,0.5,du
dataflow,ESTAT:HSW_AC4(1.0),A,PC_EMP_PREEMP_M12,Y15-64,SI,2013,0.2,u
dataflow,ESTAT:HSW_AC4(1.0),A,PC_EMP_PREEMP_M12,Y15-64,SI,2020,,u
dataflow,ESTAT:HSW_AC4(1.0),A,PC_EMP_PREEMP_M12,Y15-64,SK,2007,0.1,du
dataflow,ESTAT:HSW_AC4(1.0),A,PC_EMP_PREEMP_M12,Y15-64,SK,2013,0.2,
dataflow,ESTAT:HSW_AC4(1.0),A,PC_EMP_PREEMP_M12,Y15-64,SK,2020,,u
dataflow,ESTAT:HSW_AC4(1.0),A,PC_EMP_PREEMP_M12,Y15-64,TR,2013,0.6,
dataflow,ESTAT:HSW_AC4(1.0),A,PC_EMP_PREEMP_M12,Y15-64,UK,2007,0.2,
dataflow,ESTAT:HSW_AC4(1.0),A,PC_EMP_PREEMP_M12,Y15-64,UK,2013,0.2,
dataflow,ESTAT:HSW_AC4(1.0),A,PC_EMP_PREEMP_M12,Y15-74,AT,2020,,u
dataflow,ESTAT:HSW_AC4(1.0),A,PC_EMP_PREEMP_M12,Y15-74,BE,2020,0.2,
dataflow,ESTAT:HSW_AC4(1.0),A,PC_EMP_PREEMP_M12,Y15-74,BG,2020,,u
dataflow,ESTAT:HSW_AC4(1.0),A,PC_EMP_PREEMP_M12,Y15-74,CH,2020,0.2,
dataflow,ESTAT:HSW_AC4(1.0),A,PC_EMP_PREEMP_M12,Y15-74,CY,2020,0.4,
dataflow,ESTAT:HSW_AC4(1.0),A,PC_EMP_PREEMP_M12,Y15-74,CZ,2020,0.3,
dataflow,ESTAT:HSW_AC4(1.0),A,PC_EMP_PREEMP_M12,Y15-74,DE,2020,0.2,u
dataflow,ESTAT:HSW_AC4(1.0),A,PC_EMP_PREEMP_M12,Y15-74,DK,2020,,u
dataflow,ESTAT:HSW_AC4(1.0),A,PC_EMP_PREEMP_M12,Y15-74,EA19,2020,0.2,
dataflow,ESTAT:HSW_AC4(1.0),A,PC_EMP_PREEMP_M12,Y15-74,EE,2020,,u
dataflow,ESTAT:HSW_AC4(1.0),A,PC_EMP_PREEMP_M12,Y15-74,EL,2020,0.2,
dataflow,ESTAT:HSW_AC4(1.0),A,PC_EMP_PREEMP_M12,Y15-74,ES,2020,0.1,
dataflow,ESTAT:HSW_AC4(1.0),A,PC_EMP_PREEMP_M12,Y15-74,EU27_2020,2020,0.2,
dataflow,ESTAT:HSW_AC4(1.0),A,PC_EMP_PREEMP_M12,Y15-74,FI,2020,0.3,
dataflow,ESTAT:HSW_AC4(1.0),A,PC_EMP_PREEMP_M12,Y15-74,FR,2020,0.3,u
dataflow,ESTAT:HSW_AC4(1.0),A,PC_EMP_PREEMP_M12,Y15-74,HR,2020,,u
dataflow,ESTAT:HSW_AC4(1.0),A,PC_EMP_PREEMP_M12,Y15-74,HU,2020,0.1,u
dataflow,ESTAT:HSW_AC4(1.0),A,PC_EMP_PREEMP_M12,Y15-74,IE,2020,,u
dataflow,ESTAT:HSW_AC4(1.0),A,PC_EMP_PREEMP_M12,Y15-74,IS,2020,,u
dataflow,ESTAT:HSW_AC4(1.0),A,PC_EMP_PREEMP_M12,Y15-74,IT,2020,0.2,
dataflow,ESTAT:HSW_AC4(1.0),A,PC_EMP_PREEMP_M12,Y15-74,LT,2020,0.1,u
dataflow,ESTAT:HSW_AC4(1.0),A,PC_EMP_PREEMP_M12,Y15-74,LU,2020,0.3,u
dataflow,ESTAT:HSW_AC4(1.0),A,PC_EMP_PREEMP_M12,Y15-74,LV,2020,,u
dataflow,ESTAT:HSW_AC4(1.0),A,PC_EMP_PREEMP_M12,Y15-74,MT,2020,,u
dataflow,ESTAT:HSW_AC4(1.0),A,PC_EMP_PREEMP_M12,Y15-74,NL,2020,0.1,
dataflow,ESTAT:HSW_AC4(1.0),A,PC_EMP_PREEMP_M12,Y15-74,NO,2020,,u
dataflow,ESTAT:HSW_AC4(1.0),A,PC_EMP_PREEMP_M12,Y15-74,PL,2020,0.2,
dataflow,ESTAT:HSW_AC4(1.0),A,PC_EMP_PREEMP_M12,Y15-74,PT,2020,,u
dataflow,ESTAT:HSW_AC4(1.0),A,PC_EMP_PREEMP_M12,Y15-74,RO,2020,,u
dataflow,ESTAT:HSW_AC4(1.0),A,PC_EMP_PREEMP_M12,Y15-74,SE,2020,,u
dataflow,ESTAT:HSW_AC4(1.0),A,PC_EMP_PREEMP_M12,Y15-74,SI,2020,,u
dataflow,ESTAT:HSW_AC4(1.0),A,PC_EMP_PREEMP_M12,Y15-74,SK,2020,,u
dataflow,ESTAT:HSW_AC4(1.0),A,PC_PER_ACC,Y15-64,AT,2007,6.9,u
dataflow,ESTAT:HSW_AC4(1.0),A,PC_PER_ACC,Y15-64,AT,2013,7.4,u
dataflow,ESTAT:HSW_AC4(1.0),A,PC_PER_ACC,Y15-64,AT,2020,,u
dataflow,ESTAT:HSW_AC4(1.0),A,PC_PER_ACC,Y15-64,BE,2007,13.3,
dataflow,ESTAT:HSW_AC4(1.0),A,PC_PER_ACC,Y15-64,BE,2013,14.2,
dataflow,ESTAT:HSW_AC4(1.0),A,PC_PER_ACC,Y15-64,BE,2020,8.3,
dataflow,ESTAT:HSW_AC4(1.0),A,PC_PER_ACC,Y15-64,BG,2007,,u
dataflow,ESTAT:HSW_AC4(1.0),A,PC_PER_ACC,Y15-64,BG,2013,,u
dataflow,ESTAT:HSW_AC4(1.0),A,PC_PER_ACC,Y15-64,BG,2020,,u
dataflow,ESTAT:HSW_AC4(1.0),A,PC_PER_ACC,Y15-64,CH,2013,5.4,
dataflow,ESTAT:HSW_AC4(1.0),A,PC_PER_ACC,Y15-64,CH,2020,3.0,
dataflow,ESTAT:HSW_AC4(1.0),A,PC_PER_ACC,Y15-64,CY,2007,10.7,u
dataflow,ESTAT:HSW_AC4(1.0),A,PC_PER_ACC,Y15-64,CY,2013,15.2,u
dataflow,ESTAT:HSW_AC4(1.0),A,PC_PER_ACC,Y15-64,CY,2020,20.3,
dataflow,ESTAT:HSW_AC4(1.0),A,PC_PER_ACC,Y15-64,CZ,2007,6.4,
dataflow,ESTAT:HSW_AC4(1.0),A,PC_PER_ACC,Y15-64,CZ,2013,,u
dataflow,ESTAT:HSW_AC4(1.0),A,PC_PER_ACC,Y15-64,CZ,2020,13.5,
dataflow,ESTAT:HSW_AC4(1.0),A,PC_PER_ACC,Y15-64,DE,2007,17.1,
dataflow,ESTAT:HSW_AC4(1.0),A,PC_PER_ACC,Y15-64,DK,2007,4.5,u
dataflow,ESTAT:HSW_AC4(1.0),A,PC_PER_ACC,Y15-64,DK,2013,,u
dataflow,ESTAT:HSW_AC4(1.0),A,PC_PER_ACC,Y15-64,DK,2020,,u
dataflow,ESTAT:HSW_AC4(1.0),A,PC_PER_ACC,Y15-64,EA19,2007,9.6,
dataflow,ESTAT:HSW_AC4(1.0),A,PC_PER_ACC,Y15-64,EA19,2013,8.1,
dataflow,ESTAT:HSW_AC4(1.0),A,PC_PER_ACC,Y15-64,EA19,2020,7.3,
dataflow,ESTAT:HSW_AC4(1.0),A,PC_PER_ACC,Y15-64,EE,2007,,u
dataflow,ESTAT:HSW_AC4(1.0),A,PC_PER_ACC,Y15-64,EE,2013,,u
dataflow,ESTAT:HSW_AC4(1.0),A,PC_PER_ACC,Y15-64,EE,2020,,u
dataflow,ESTAT:HSW_AC4(1.0),A,PC_PER_ACC,Y15-64,EL,2007,17.0,d
dataflow,ESTAT:HSW_AC4(1.0),A,PC_PER_ACC,Y15-64,EL,2013,11.4,
dataflow,ESTAT:HSW_AC4(1.0),A,PC_PER_ACC,Y15-64,EL,2020,8.5,
dataflow,ESTAT:HSW_AC4(1.0),A,PC_PER_ACC,Y15-64,ES,2007,7.6,d
dataflow,ESTAT:HSW_AC4(1.0),A,PC_PER_ACC,Y15-64,ES,2013,6.6,
dataflow,ESTAT:HSW_AC4(1.0),A,PC_PER_ACC,Y15-64,ES,2020,4.3,
dataflow,ESTAT:HSW_AC4(1.0),A,PC_PER_ACC,Y15-64,EU27_2020,2007,10.0,
dataflow,ESTAT:HSW_AC4(1.0),A,PC_PER_ACC,Y15-64,EU27_2020,2013,8.3,
dataflow,ESTAT:HSW_AC4(1.0),A,PC_PER_ACC,Y15-64,EU27_2020,2020,7.6,
dataflow,ESTAT:HSW_AC4(1.0),A,PC_PER_ACC,Y15-64,EU28,2007,9.7,
dataflow,ESTAT:HSW_AC4(1.0),A,PC_PER_ACC,Y15-64,EU28,2013,8.0,
dataflow,ESTAT:HSW_AC4(1.0),A,PC_PER_ACC,Y15-64,FI,2007,7.2,
dataflow,ESTAT:HSW_AC4(1.0),A,PC_PER_ACC,Y15-64,FI,2013,3.1,
dataflow,ESTAT:HSW_AC4(1.0),A,PC_PER_ACC,Y15-64,FI,2020,3.2,
dataflow,ESTAT:HSW_AC4(1.0),A,PC_PER_ACC,Y15-64,FR,2007,,u
dataflow,ESTAT:HSW_AC4(1.0),A,PC_PER_ACC,Y15-64,FR,2013,7.5,
dataflow,ESTAT:HSW_AC4(1.0),A,PC_PER_ACC,Y15-64,FR,2020,7.2,u
dataflow,ESTAT:HSW_AC4(1.0),A,PC_PER_ACC,Y15-64,HR,2007,16.7,u
dataflow,ESTAT:HSW_AC4(1.0),A,PC_PER_ACC,Y15-64,HR,2013,30.4,u
dataflow,ESTAT:HSW_AC4(1.0),A,PC_PER_ACC,Y15-64,HR,2020,,u
dataflow,ESTAT:HSW_AC4(1.0),A,PC_PER_ACC,Y15-64,HU,2007,8.7,u
dataflow,ESTAT:HSW_AC4(1.0),A,PC_PER_ACC,Y15-64,HU,2013,11.8,u
dataflow,ESTAT:HSW_AC4(1.0),A,PC_PER_ACC,Y15-64,HU,2020,11.8,u
dataflow,ESTAT:HSW_AC4(1.0),A,PC_PER_ACC,Y15-64,IE,2007,5.7,
dataflow,ESTAT:HSW_AC4(1.0),A,PC_PER_ACC,Y15-64,IE,2013,,u
dataflow,ESTAT:HSW_AC4(1.0),A,PC_PER_ACC,Y15-64,IE,2020,,u
dataflow,ESTAT:HSW_AC4(1.0),A,PC_PER_ACC,Y15-64,IS,2007,,u
dataflow,ESTAT:HSW_AC4(1.0),A,PC_PER_ACC,Y15-64,IS,2020,,u
dataflow,ESTAT:HSW_AC4(1.0),A,PC_PER_ACC,Y15-64,IT,2007,13.8,d
dataflow,ESTAT:HSW_AC4(1.0),A,PC_PER_ACC,Y15-64,IT,2013,13.5,
dataflow,ESTAT:HSW_AC4(1.0),A,PC_PER_ACC,Y15-64,IT,2020,13.5,
dataflow,ESTAT:HSW_AC4(1.0),A,PC_PER_ACC,Y15-64,LT,2007,,u
dataflow,ESTAT:HSW_AC4(1.0),A,PC_PER_ACC,Y15-64,LT,2013,,u
dataflow,ESTAT:HSW_AC4(1.0),A,PC_PER_ACC,Y15-64,LT,2020,16.3,u
dataflow,ESTAT:HSW_AC4(1.0),A,PC_PER_ACC,Y15-64,LU,2007,12.8,du
dataflow,ESTAT:HSW_AC4(1.0),A,PC_PER_ACC,Y15-64,LU,2013,14.0,u
dataflow,ESTAT:HSW_AC4(1.0),A,PC_PER_ACC,Y15-64,LU,2020,8.2,u
dataflow,ESTAT:HSW_AC4(1.0),A,PC_PER_ACC,Y15-64,LV,2007,,u
dataflow,ESTAT:HSW_AC4(1.0),A,PC_PER_ACC,Y15-64,LV,2013,,u
dataflow,ESTAT:HSW_AC4(1.0),A,PC_PER_ACC,Y15-64,LV,2020,,u
dataflow,ESTAT:HSW_AC4(1.0),A,PC_PER_ACC,Y15-64,MT,2007,,u
dataflow,ESTAT:HSW_AC4(1.0),A,PC_PER_ACC,Y15-64,MT,2013,,u
dataflow,ESTAT:HSW_AC4(1.0),A,PC_PER_ACC,Y15-64,MT,2020,,u
dataflow,ESTAT:HSW_AC4(1.0),A,PC_PER_ACC,Y15-64,NL,2007,15.8,
dataflow,ESTAT:HSW_AC4(1.0),A,PC_PER_ACC,Y15-64,NL,2020,7.4,
dataflow,ESTAT:HSW_AC4(1.0),A,PC_PER_ACC,Y15-64,NO,2007,3.5,u
dataflow,ESTAT:HSW_AC4(1.0),A,PC_PER_ACC,Y15-64,NO,2013,4.2,u
dataflow,ESTAT:HSW_AC4(1.0),A,PC_PER_ACC,Y15-64,NO,2020,,u
dataflow,ESTAT:HSW_AC4(1.0),A,PC_PER_ACC,Y15-64,PL,2007,28.5,
dataflow,ESTAT:HSW_AC4(1.0),A,PC_PER_ACC,Y15-64,PL,2013,21.1,
dataflow,ESTAT:HSW_AC4(1.0),A,PC_PER_ACC,Y15-64,PL,2020,16.0,
dataflow,ESTAT:HSW_AC4(1.0),A,PC_PER_ACC,Y15-64,PT,2007,8.0,
dataflow,ESTAT:HSW_AC4(1.0),A,PC_PER_ACC,Y15-64,PT,2013,4.8,
dataflow,ESTAT:HSW_AC4(1.0),A,PC_PER_ACC,Y15-64,PT,2020,,u
dataflow,ESTAT:HSW_AC4(1.0),A,PC_PER_ACC,Y15-64,RO,2007,8.5,
dataflow,ESTAT:HSW_AC4(1.0),A,PC_PER_ACC,Y15-64,RO,2013,6.1,u
dataflow,ESTAT:HSW_AC4(1.0),A,PC_PER_ACC,Y15-64,RO,2020,,u
dataflow,ESTAT:HSW_AC4(1.0),A,PC_PER_ACC,Y15-64,SE,2007,8.6,
dataflow,ESTAT:HSW_AC4(1.0),A,PC_PER_ACC,Y15-64,SE,2013,5.9,
dataflow,ESTAT:HSW_AC4(1.0),A,PC_PER_ACC,Y15-64,SE,2020,,u
dataflow,ESTAT:HSW_AC4(1.0),A,PC_PER_ACC,Y15-64,SI,2007,12.6,du
dataflow,ESTAT:HSW_AC4(1.0),A,PC_PER_ACC,Y15-64,SI,2013,6.5,u
dataflow,ESTAT:HSW_AC4(1.0),A,PC_PER_ACC,Y15-64,SI,2020,,u
dataflow,ESTAT:HSW_AC4(1.0),A,PC_PER_ACC,Y15-64,SK,2007,8.2,du
dataflow,ESTAT:HSW_AC4(1.0),A,PC_PER_ACC,Y15-64,SK,2013,6.6,
dataflow,ESTAT:HSW_AC4(1.0),A,PC_PER_ACC,Y15-64,SK,2020,,u
dataflow,ESTAT:HSW_AC4(1.0),A,PC_PER_ACC,Y15-64,TR,2013,27.5,
dataflow,ESTAT:HSW_AC4(1.0),A,PC_PER_ACC,Y15-64,UK,2007,7.8,
dataflow,ESTAT:HSW_AC4(1.0),A,PC_PER_ACC,Y15-64,UK,2013,6.6,
dataflow,ESTAT:HSW_AC4(1.0),A,PC_PER_ACC,Y15-74,AT,2020,,u
dataflow,ESTAT:HSW_AC4(1.0),A,PC_PER_ACC,Y15-74,BE,2020,8.5,
dataflow,ESTAT:HSW_AC4(1.0),A,PC_PER_ACC,Y15-74,BG,2020,,u
dataflow,ESTAT:HSW_AC4(1.0),A,PC_PER_ACC,Y15-74,CH,2020,3.1,
dataflow,ESTAT:HSW_AC4(1.0),A,PC_PER_ACC,Y15-74,CY,2020,23.2,
dataflow,ESTAT:HSW_AC4(1.0),A,PC_PER_ACC,Y15-74,CZ,2020,13.3,
dataflow,ESTAT:HSW_AC4(1.0),A,PC_PER_ACC,Y15-74,DK,2020,,u
dataflow,ESTAT:HSW_AC4(1.0),A,PC_PER_ACC,Y15-74,EA19,2020,7.4,
dataflow,ESTAT:HSW_AC4(1.0),A,PC_PER_ACC,Y15-74,EE,2020,,u
dataflow,ESTAT:HSW_AC4(1.0),A,PC_PER_ACC,Y15-74,EL,2020,8.4,
dataflow,ESTAT:HSW_AC4(1.0),A,PC_PER_ACC,Y15-74,ES,2020,4.4,
dataflow,ESTAT:HSW_AC4(1.0),A,PC_PER_ACC,Y15-74,EU27_2020,2020,7.6,
dataflow,ESTAT:HSW_AC4(1.0),A,PC_PER_ACC,Y15-74,FI,2020,3.2,
dataflow,ESTAT:HSW_AC4(1.0),A,PC_PER_ACC,Y15-74,FR,2020,7.2,u
dataflow,ESTAT:HSW_AC4(1.0),A,PC_PER_ACC,Y15-74,HR,2020,,u
dataflow,ESTAT:HSW_AC4(1.0),A,PC_PER_ACC,Y15-74,HU,2020,12.1,u
dataflow,ESTAT:HSW_AC4(1.0),A,PC_PER_ACC,Y15-74,IE,2020,,u
dataflow,ESTAT:HSW_AC4(1.0),A,PC_PER_ACC,Y15-74,IS,2020,,u
dataflow,ESTAT:HSW_AC4(1.0),A,PC_PER_ACC,Y15-74,IT,2020,13.5,
dataflow,ESTAT:HSW_AC4(1.0),A,PC_PER_ACC,Y15-74,LT,2020,16.0,u
dataflow,ESTAT:HSW_AC4(1.0),A,PC_PER_ACC,Y15-74,LU,2020,8.2,u
dataflow,ESTAT:HSW_AC4(1.0),A,PC_PER_ACC,Y15-74,LV,2020,,u
dataflow,ESTAT:HSW_AC4(1.0),A,PC_PER_ACC,Y15-74,MT,2020,,u
dataflow,ESTAT:HSW_AC4(1.0),A,PC_PER_ACC,Y15-74,NL,2020,7.5,
dataflow,ESTAT:HSW_AC4(1.0),A,PC_PER_ACC,Y15-74,NO,2020,,u
dataflow,ESTAT:HSW_AC4(1.0),A,PC_PER_ACC,Y15-74,PL,2020,16.3,
dataflow,ESTAT:HSW_AC4(1.0),A,PC_PER_ACC,Y15-74,PT,2020,,u
