STRUCTURE,STRUCTURE_ID,freq,unit,yes_no,sex,age,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
dataflow,ESTAT:HLTH_EHIS_TADLE(1.0),A,PC,NO_SDIF,F,Y55-64,LT,2019,85.1,
dataflow,ESTAT:HLTH_EHIS_TADLE(1.0),A,PC,NO_SDIF,F,Y55-64,LU,2019,93.4,
dataflow,ESTAT:HLTH_EHIS_TADLE(1.0),A,PC,NO_SDIF,F,Y55-64,LV,2019,81.5,
dataflow,ESTAT:HLTH_EHIS_TADLE(1.0),A,PC,NO_SDIF,F,Y55-64,MT,2019,92.3,
dataflow,ESTAT:HLTH_EHIS_TADLE(1.0),A,PC,NO_SDIF,F,Y55-64,NL,2019,80.9,
dataflow,ESTAT:HLTH_EHIS_TADLE(1.0),A,PC,NO_SDIF,F,Y55-64,NO,2019,,u
dataflow,ESTAT:HLTH_EHIS_TADLE(1.0),A,PC,NO_SDIF,F,Y55-64,PL,2019,89.6,
dataflow,ESTAT:HLTH_EHIS_TADLE(1.0),A,PC,NO_SDIF,F,Y55-64,PT,2019,84.3,
dataflow,ESTAT:HLTH_EHIS_TADLE(1.0),A,PC,NO_SDIF,F,Y55-64,RO,2019,65.8,
dataflow,ESTAT:HLTH_EHIS_TADLE(1.0),A,PC,NO_SDIF,F,Y55-64,RS,2019,87.4,
dataflow,ESTAT:HLTH_EHIS_TADLE(1.0),A,PC,NO_SDIF,F,Y55-64,SE,2019,93.9,
dataflow,ESTAT:HLTH_EHIS_TADLE(1.0),A,PC,NO_SDIF,F,Y55-64,SI,2019,88.4,
dataflow,ESTAT:HLTH_EHIS_TADLE(1.0),A,PC,NO_SDIF,F,Y55-64,SK,2019,84.6,
dataflow,ESTAT:HLTH_EHIS_TADLE(1.0),A,PC,NO_SDIF,F,Y55-64,TR,2019,68.3,
dataflow,ESTAT:HLTH_EHIS_TADLE(1.0),A,PC,NO_SDIF,F,Y65-74,AT,2014,86.8,
dataflow,ESTAT:HLTH_EHIS_TADLE(1.0),A,PC,NO_SDIF,F,Y65-74,AT,2019,87.7,
dataflow,ESTAT:HLTH_EHIS_TADLE(1.0),A,PC,NO_SDIF,F,Y65-74,BE,2014,77.7,
dataflow,ESTAT:HLTH_EHIS_TADLE(1.0),A,PC,NO_SDIF,F,Y65-74,BE,2019,81.0,
dataflow,ESTAT:HLTH_EHIS_TADLE(1.0),A,PC,NO_SDIF,F,Y65-74,BG,2014,73.5,
dataflow,ESTAT:HLTH_EHIS_TADLE(1.0),A,PC,NO_SDIF,F,Y65-74,BG,2019,82.0,
dataflow,ESTAT:HLTH_EHIS_TADLE(1.0),A,PC,NO_SDIF,F,Y65-74,CY,2014,68.3,
dataflow,ESTAT:HLTH_EHIS_TADLE(1.0),A,PC,NO_SDIF,F,Y65-74,CY,2019,72.6,
dataflow,ESTAT:HLTH_EHIS_TADLE(1.0),A,PC,NO_SDIF,F,Y65-74,CZ,2014,78.3,
dataflow,ESTAT:HLTH_EHIS_TADLE(1.0),A,PC,NO_SDIF,F,Y65-74,CZ,2019,80.2,
dataflow,ESTAT:HLTH_EHIS_TADLE(1.0),A,PC,NO_SDIF,F,Y65-74,DE,2014,92.6,
dataflow,ESTAT:HLTH_EHIS_TADLE(1.0),A,PC,NO_SDIF,F,Y65-74,DE,2019,90.5,
dataflow,ESTAT:HLTH_EHIS_TADLE(1.0),A,PC,NO_SDIF,F,Y65-74,DK,2014,90.6,
dataflow,ESTAT:HLTH_EHIS_TADLE(1.0),A,PC,NO_SDIF,F,Y65-74,DK,2019,92.6,
dataflow,ESTAT:HLTH_EHIS_TADLE(1.0),A,PC,NO_SDIF,F,Y65-74,EE,2014,85.4,
dataflow,ESTAT:HLTH_EHIS_TADLE(1.0),A,PC,NO_SDIF,F,Y65-74,EE,2019,84.6,
dataflow,ESTAT:HLTH_EHIS_TADLE(1.0),A,PC,NO_SDIF,F,Y65-74,EL,2014,79.3,
dataflow,ESTAT:HLTH_EHIS_TADLE(1.0),A,PC,NO_SDIF,F,Y65-74,EL,2019,82.5,
dataflow,ESTAT:HLTH_EHIS_TADLE(1.0),A,PC,NO_SDIF,F,Y65-74,ES,2014,75.9,
dataflow,ESTAT:HLTH_EHIS_TADLE(1.0),A,PC,NO_SDIF,F,Y65-74,ES,2019,80.5,
dataflow,ESTAT:HLTH_EHIS_TADLE(1.0),A,PC,NO_SDIF,F,Y65-74,EU27_2020,2014,82.4,
dataflow,ESTAT:HLTH_EHIS_TADLE(1.0),A,PC,NO_SDIF,F,Y65-74,EU27_2020,2019,82.2,
dataflow,ESTAT:HLTH_EHIS_TADLE(1.0),A,PC,NO_SDIF,F,Y65-74,EU28,2014,82.6,
dataflow,ESTAT:HLTH_EHIS_TADLE(1.0),A,PC,NO_SDIF,F,Y65-74,FI,2014,93.8,
dataflow,ESTAT:HLTH_EHIS_TADLE(1.0),A,PC,NO_SDIF,F,Y65-74,FI,2019,91.8,
dataflow,ESTAT:HLTH_EHIS_TADLE(1.0),A,PC,NO_SDIF,F,Y65-74,FR,2014,85.7,
dataflow,ESTAT:HLTH_EHIS_TADLE(1.0),A,PC,NO_SDIF,F,Y65-74,FR,2019,85.6,
dataflow,ESTAT:HLTH_EHIS_TADLE(1.0),A,PC,NO_SDIF,F,Y65-74,HR,2014,77.4,
dataflow,ESTAT:HLTH_EHIS_TADLE(1.0),A,PC,NO_SDIF,F,Y65-74,HR,2019,79.2,
dataflow,ESTAT:HLTH_EHIS_TADLE(1.0),A,PC,NO_SDIF,F,Y65-74,HU,2014,76.7,
dataflow,ESTAT:HLTH_EHIS_TADLE(1.0),A,PC,NO_SDIF,F,Y65-74,HU,2019,83.9,
dataflow,ESTAT:HLTH_EHIS_TADLE(1.0),A,PC,NO_SDIF,F,Y65-74,IE,2014,88.4,
dataflow,ESTAT:HLTH_EHIS_TADLE(1.0),A,PC,NO_SDIF,F,Y65-74,IE,2019,86.1,
dataflow,ESTAT:HLTH_EHIS_TADLE(1.0),A,PC,NO_SDIF,F,Y65-74,IS,2014,84.6,
dataflow,ESTAT:HLTH_EHIS_TADLE(1.0),A,PC,NO_SDIF,F,Y65-74,IS,2019,80.4,
dataflow,ESTAT:HLTH_EHIS_TADLE(1.0),A,PC,NO_SDIF,F,Y65-74,IT,2014,83.2,
dataflow,ESTAT:HLTH_EHIS_TADLE(1.0),A,PC,NO_SDIF,F,Y65-74,IT,2019,84.4,
dataflow,ESTAT:HLTH_EHIS_TADLE(1.0),A,PC,NO_SDIF,F,Y65-74,LT,2014,78.6,
dataflow,ESTAT:HLTH_EHIS_TADLE(1.0),A,PC,NO_SDIF,F,Y65-74,LT,2019,78.4,
dataflow,ESTAT:HLTH_EHIS_TADLE(1.0),A,PC,NO_SDIF,F,Y65-74,LU,2014,90.9,
dataflow,ESTAT:HLTH_EHIS_TADLE(1.0),A,PC,NO_SDIF,F,Y65-74,LU,2019,93.2,
dataflow,ESTAT:HLTH_EHIS_TADLE(1.0),A,PC,NO_SDIF,F,Y65-74,LV,2014,68.4,
dataflow,ESTAT:HLTH_EHIS_TADLE(1.0),A,PC,NO_SDIF,F,Y65-74,LV,2019,74.2,
dataflow,ESTAT:HLTH_EHIS_TADLE(1.0),A,PC,NO_SDIF,F,Y65-74,MT,2014,85.1,
dataflow,ESTAT:HLTH_EHIS_TADLE(1.0),A,PC,NO_SDIF,F,Y65-74,MT,2019,83.5,
dataflow,ESTAT:HLTH_EHIS_TADLE(1.0),A,PC,NO_SDIF,F,Y65-74,NL,2014,76.7,
dataflow,ESTAT:HLTH_EHIS_TADLE(1.0),A,PC,NO_SDIF,F,Y65-74,NL,2019,77.2,
dataflow,ESTAT:HLTH_EHIS_TADLE(1.0),A,PC,NO_SDIF,F,Y65-74,NO,2014,92.9,
dataflow,ESTAT:HLTH_EHIS_TADLE(1.0),A,PC,NO_SDIF,F,Y65-74,NO,2019,89.5,
dataflow,ESTAT:HLTH_EHIS_TADLE(1.0),A,PC,NO_SDIF,F,Y65-74,PL,2014,75.8,
dataflow,ESTAT:HLTH_EHIS_TADLE(1.0),A,PC,NO_SDIF,F,Y65-74,PL,2019,77.0,
dataflow,ESTAT:HLTH_EHIS_TADLE(1.0),A,PC,NO_SDIF,F,Y65-74,PT,2014,64.4,
dataflow,ESTAT:HLTH_EHIS_TADLE(1.0),A,PC,NO_SDIF,F,Y65-74,PT,2019,75.4,
dataflow,ESTAT:HLTH_EHIS_TADLE(1.0),A,PC,NO_SDIF,F,Y65-74,RO,2014,72.2,
dataflow,ESTAT:HLTH_EHIS_TADLE(1.0),A,PC,NO_SDIF,F,Y65-74,RO,2019,45.1,
dataflow,ESTAT:HLTH_EHIS_TADLE(1.0),A,PC,NO_SDIF,F,Y65-74,RS,2019,75.8,
dataflow,ESTAT:HLTH_EHIS_TADLE(1.0),A,PC,NO_SDIF,F,Y65-74,SE,2014,95.0,
dataflow,ESTAT:HLTH_EHIS_TADLE(1.0),A,PC,NO_SDIF,F,Y65-74,SE,2019,92.7,
dataflow,ESTAT:HLTH_EHIS_TADLE(1.0),A,PC,NO_SDIF,F,Y65-74,SI,2014,81.2,
dataflow,ESTAT:HLTH_EHIS_TADLE(1.0),A,PC,NO_SDIF,F,Y65-74,SI,2019,86.1,
dataflow,ESTAT:HLTH_EHIS_TADLE(1.0),A,PC,NO_SDIF,F,Y65-74,SK,2014,69.7,
dataflow,ESTAT:HLTH_EHIS_TADLE(1.0),A,PC,NO_SDIF,F,Y65-74,SK,2019,72.9,
dataflow,ESTAT:HLTH_EHIS_TADLE(1.0),A,PC,NO_SDIF,F,Y65-74,TR,2014,46.0,
dataflow,ESTAT:HLTH_EHIS_TADLE(1.0),A,PC,NO_SDIF,F,Y65-74,TR,2019,51.0,
dataflow,ESTAT:HLTH_EHIS_TADLE(1.0),A,PC,NO_SDIF,F,Y65-74,UK,2014,84.6,
dataflow,ESTAT:HLTH_EHIS_TADLE(1.0),A,PC,NO_SDIF,F,Y_GE55,AT,2019,76.9,
dataflow,ESTAT:HLTH_EHIS_TADLE(1.0),A,PC,NO_SDIF,F,Y_GE55,BE,2019,74.7,
dataflow,ESTAT:HLTH_EHIS_TADLE(1.0),A,PC,NO_SDIF,F,Y_GE55,BG,2019,75.8,
dataflow,ESTAT:HLTH_EHIS_TADLE(1.0),A,PC,NO_SDIF,F,Y_GE55,CY,2019,69.4,
dataflow,ESTAT:HLTH_EHIS_TADLE(1.0),A,PC,NO_SDIF,F,Y_GE55,CZ,2019,74.0,
dataflow,ESTAT:HLTH_EHIS_TADLE(1.0),A,PC,NO_SDIF,F,Y_GE55,DE,2019,83.9,
dataflow,ESTAT:HLTH_EHIS_TADLE(1.0),A,PC,NO_SDIF,F,Y_GE55,DK,2019,86.1,
dataflow,ESTAT:HLTH_EHIS_TADLE(1.0),A,PC,NO_SDIF,F,Y_GE55,EE,2019,76.6,
dataflow,ESTAT:HLTH_EHIS_TADLE(1.0),A,PC,NO_SDIF,F,Y_GE55,EL,2019,73.9,
dataflow,ESTAT:HLTH_EHIS_TADLE(1.0),A,PC,NO_SDIF,F,Y_GE55,ES,2019,73.0,
dataflow,ESTAT:HLTH_EHIS_TADLE(1.0),A,PC,NO_SDIF,F,Y_GE55,EU27_2020,2019,75.9,
dataflow,ESTAT:HLTH_EHIS_TADLE(1.0),A,PC,NO_SDIF,F,Y_GE55,FI,2019,84.9,
dataflow,ESTAT:HLTH_EHIS_TADLE(1.0),A,PC,NO_SDIF,F,Y_GE55,FR,2019,79.9,
dataflow,ESTAT:HLTH_EHIS_TADLE(1.0),A,PC,NO_SDIF,F,Y_GE55,HR,2019,68.3,
dataflow,ESTAT:HLTH_EHIS_TADLE(1.0),A,PC,NO_SDIF,F,Y_GE55,HU,2019,78.1,
dataflow,ESTAT:HLTH_EHIS_TADLE(1.0),A,PC,NO_SDIF,F,Y_GE55,IE,2019,82.3,
dataflow,ESTAT:HLTH_EHIS_TADLE(1.0),A,PC,NO_SDIF,F,Y_GE55,IS,2019,81.3,
dataflow,ESTAT:HLTH_EHIS_TADLE(1.0),A,PC,NO_SDIF,F,Y_GE55,IT,2019,74.3,
dataflow,ESTAT:HLTH_EHIS_TADLE(1.0),A,PC,NO_SDIF,F,Y_GE55,LT,2019,70.1,
dataflow,ESTAT:HLTH_EHIS_TADLE(1.0),A,PC,NO_SDIF,F,Y_GE55,LU,2019,89.6,
dataflow,ESTAT:HLTH_EHIS_TADLE(1.0),A,PC,NO_SDIF,F,Y_GE55,LV,2019,65.1,
dataflow,ESTAT:HLTH_EHIS_TADLE(1.0),A,PC,NO_SDIF,F,Y_GE55,MT,2019,80.4,
dataflow,ESTAT:HLTH_EHIS_TADLE(1.0),A,PC,NO_SDIF,F,Y_GE55,NL,2019,72.2,
dataflow,ESTAT:HLTH_EHIS_TADLE(1.0),A,PC,NO_SDIF,F,Y_GE55,NO,2019,83.1,u
dataflow,ESTAT:HLTH_EHIS_TADLE(1.0),A,PC,NO_SDIF,F,Y_GE55,PL,2019,71.3,
dataflow,ESTAT:HLTH_EHIS_TADLE(1.0),A,PC,NO_SDIF,F,Y_GE55,PT,2019,67.8,
dataflow,ESTAT:HLTH_EHIS_TADLE(1.0),A,PC,NO_SDIF,F,Y_GE55,RO,2019,47.8,
dataflow,ESTAT:HLTH_EHIS_TADLE(1.0),A,PC,NO_SDIF,F,Y_GE55,RS,2019,71.9,
dataflow,ESTAT:HLTH_EHIS_TADLE(1.0),A,PC,NO_SDIF,F,Y_GE55,SE,2019,88.3,
dataflow,ESTAT:HLTH_EHIS_TADLE(1.0),A,PC,NO_SDIF,F,Y_GE55,SI,2019,75.5,
dataflow,ESTAT:HLTH_EHIS_TADLE(1.0),A,PC,NO_SDIF,F,Y_GE55,SK,2019,69.1,
dataflow,ESTAT:HLTH_EHIS_TADLE(1.0),A,PC,NO_SDIF,F,Y_GE55,TR,2019,54.2,
dataflow,ESTAT:HLTH_EHIS_TADLE(1.0),A,PC,NO_SDIF,F,Y_GE65,AT,2014,77.0,
dataflow,ESTAT:HLTH_EHIS_TADLE(1.0),A,PC,NO_SDIF,F,Y_GE65,AT,2019,67.3,
dataflow,ESTAT:HLTH_EHIS_TADLE(1.0),A,PC,NO_SDIF,F,Y_GE65,BE,2014,56.1,
dataflow,ESTAT:HLTH_EHIS_TADLE(1.0),A,PC,NO_SDIF,F,Y_GE65,BE,2019,64.9,
dataflow,ESTAT:HLTH_EHIS_TADLE(1.0),A,PC,NO_SDIF,F,Y_GE65,BG,2014,61.2,
dataflow,ESTAT:HLTH_EHIS_TADLE(1.0),A,PC,NO_SDIF,F,Y_GE65,BG,2019,68.5,
dataflow,ESTAT:HLTH_EHIS_TADLE(1.0),A,PC,NO_SDIF,F,Y_GE65,CY,2014,52.1,
dataflow,ESTAT:HLTH_EHIS_TADLE(1.0),A,PC,NO_SDIF,F,Y_GE65,CY,2019,54.9,
dataflow,ESTAT:HLTH_EHIS_TADLE(1.0),A,PC,NO_SDIF,F,Y_GE65,CZ,2014,62.4,
dataflow,ESTAT:HLTH_EHIS_TADLE(1.0),A,PC,NO_SDIF,F,Y_GE65,CZ,2019,66.3,
dataflow,ESTAT:HLTH_EHIS_TADLE(1.0),A,PC,NO_SDIF,F,Y_GE65,DE,2014,82.2,
dataflow,ESTAT:HLTH_EHIS_TADLE(1.0),A,PC,NO_SDIF,F,Y_GE65,DE,2019,79.1,
dataflow,ESTAT:HLTH_EHIS_TADLE(1.0),A,PC,NO_SDIF,F,Y_GE65,DK,2014,83.7,
dataflow,ESTAT:HLTH_EHIS_TADLE(1.0),A,PC,NO_SDIF,F,Y_GE65,DK,2019,83.4,
dataflow,ESTAT:HLTH_EHIS_TADLE(1.0),A,PC,NO_SDIF,F,Y_GE65,EE,2014,69.3,
dataflow,ESTAT:HLTH_EHIS_TADLE(1.0),A,PC,NO_SDIF,F,Y_GE65,EE,2019,71.9,
dataflow,ESTAT:HLTH_EHIS_TADLE(1.0),A,PC,NO_SDIF,F,Y_GE65,EL,2014,58.3,
dataflow,ESTAT:HLTH_EHIS_TADLE(1.0),A,PC,NO_SDIF,F,Y_GE65,EL,2019,63.2,
dataflow,ESTAT:HLTH_EHIS_TADLE(1.0),A,PC,NO_SDIF,F,Y_GE65,ES,2014,57.8,
dataflow,ESTAT:HLTH_EHIS_TADLE(1.0),A,PC,NO_SDIF,F,Y_GE65,ES,2019,62.7,
dataflow,ESTAT:HLTH_EHIS_TADLE(1.0),A,PC,NO_SDIF,F,Y_GE65,EU27_2020,2014,66.7,
dataflow,ESTAT:HLTH_EHIS_TADLE(1.0),A,PC,NO_SDIF,F,Y_GE65,EU27_2020,2019,67.9,
dataflow,ESTAT:HLTH_EHIS_TADLE(1.0),A,PC,NO_SDIF,F,Y_GE65,EU28,2014,67.8,
dataflow,ESTAT:HLTH_EHIS_TADLE(1.0),A,PC,NO_SDIF,F,Y_GE65,FI,2014,81.6,
dataflow,ESTAT:HLTH_EHIS_TADLE(1.0),A,PC,NO_SDIF,F,Y_GE65,FI,2019,80.5,
dataflow,ESTAT:HLTH_EHIS_TADLE(1.0),A,PC,NO_SDIF,F,Y_GE65,FR,2014,68.3,
dataflow,ESTAT:HLTH_EHIS_TADLE(1.0),A,PC,NO_SDIF,F,Y_GE65,FR,2019,74.3,
dataflow,ESTAT:HLTH_EHIS_TADLE(1.0),A,PC,NO_SDIF,F,Y_GE65,HR,2014,65.1,
dataflow,ESTAT:HLTH_EHIS_TADLE(1.0),A,PC,NO_SDIF,F,Y_GE65,HR,2019,57.0,
dataflow,ESTAT:HLTH_EHIS_TADLE(1.0),A,PC,NO_SDIF,F,Y_GE65,HU,2014,59.7,
dataflow,ESTAT:HLTH_EHIS_TADLE(1.0),A,PC,NO_SDIF,F,Y_GE65,HU,2019,70.5,
dataflow,ESTAT:HLTH_EHIS_TADLE(1.0),A,PC,NO_SDIF,F,Y_GE65,IE,2014,76.5,
dataflow,ESTAT:HLTH_EHIS_TADLE(1.0),A,PC,NO_SDIF,F,Y_GE65,IE,2019,75.1,
dataflow,ESTAT:HLTH_EHIS_TADLE(1.0),A,PC,NO_SDIF,F,Y_GE65,IS,2014,75.5,
dataflow,ESTAT:HLTH_EHIS_TADLE(1.0),A,PC,NO_SDIF,F,Y_GE65,IS,2019,75.5,
dataflow,ESTAT:HLTH_EHIS_TADLE(1.0),A,PC,NO_SDIF,F,Y_GE65,IT,2014,61.5,
dataflow,ESTAT:HLTH_EHIS_TADLE(1.0),A,PC,NO_SDIF,F,Y_GE65,IT,2019,63.8,
dataflow,ESTAT:HLTH_EHIS_TADLE(1.0),A,PC,NO_SDIF,F,Y_GE65,LT,2014,57.3,
dataflow,ESTAT:HLTH_EHIS_TADLE(1.0),A,PC,NO_SDIF,F,Y_GE65,LT,2019,60.8,
dataflow,ESTAT:HLTH_EHIS_TADLE(1.0),A,PC,NO_SDIF,F,Y_GE65,LU,2014,81.9,
dataflow,ESTAT:HLTH_EHIS_TADLE(1.0),A,PC,NO_SDIF,F,Y_GE65,LU,2019,86.8,
dataflow,ESTAT:HLTH_EHIS_TADLE(1.0),A,PC,NO_SDIF,F,Y_GE65,LV,2014,54.9,
dataflow,ESTAT:HLTH_EHIS_TADLE(1.0),A,PC,NO_SDIF,F,Y_GE65,LV,2019,56.0,
dataflow,ESTAT:HLTH_EHIS_TADLE(1.0),A,PC,NO_SDIF,F,Y_GE65,MT,2014,67.4,
dataflow,ESTAT:HLTH_EHIS_TADLE(1.0),A,PC,NO_SDIF,F,Y_GE65,MT,2019,72.8,
dataflow,ESTAT:HLTH_EHIS_TADLE(1.0),A,PC,NO_SDIF,F,Y_GE65,NL,2014,64.3,
dataflow,ESTAT:HLTH_EHIS_TADLE(1.0),A,PC,NO_SDIF,F,Y_GE65,NL,2019,66.2,
dataflow,ESTAT:HLTH_EHIS_TADLE(1.0),A,PC,NO_SDIF,F,Y_GE65,NO,2014,83.4,
dataflow,ESTAT:HLTH_EHIS_TADLE(1.0),A,PC,NO_SDIF,F,Y_GE65,NO,2019,82.5,
dataflow,ESTAT:HLTH_EHIS_TADLE(1.0),A,PC,NO_SDIF,F,Y_GE65,PL,2014,58.3,
dataflow,ESTAT:HLTH_EHIS_TADLE(1.0),A,PC,NO_SDIF,F,Y_GE65,PL,2019,59.0,
dataflow,ESTAT:HLTH_EHIS_TADLE(1.0),A,PC,NO_SDIF,F,Y_GE65,PT,2014,52.0,
dataflow,ESTAT:HLTH_EHIS_TADLE(1.0),A,PC,NO_SDIF,F,Y_GE65,PT,2019,58.3,
dataflow,ESTAT:HLTH_EHIS_TADLE(1.0),A,PC,NO_SDIF,F,Y_GE65,RO,2014,60.8,
dataflow,ESTAT:HLTH_EHIS_TADLE(1.0),A,PC,NO_SDIF,F,Y_GE65,RO,2019,37.3,
dataflow,ESTAT:HLTH_EHIS_TADLE(1.0),A,PC,NO_SDIF,F,Y_GE65,RS,2019,62.2,
dataflow,ESTAT:HLTH_EHIS_TADLE(1.0),A,PC,NO_SDIF,F,Y_GE65,SE,2014,86.9,
dataflow,ESTAT:HLTH_EHIS_TADLE(1.0),A,PC,NO_SDIF,F,Y_GE65,SE,2019,85.4,
dataflow,ESTAT:HLTH_EHIS_TADLE(1.0),A,PC,NO_SDIF,F,Y_GE65,SI,2014,62.4,
dataflow,ESTAT:HLTH_EHIS_TADLE(1.0),A,PC,NO_SDIF,F,Y_GE65,SI,2019,67.5,
dataflow,ESTAT:HLTH_EHIS_TADLE(1.0),A,PC,NO_SDIF,F,Y_GE65,SK,2014,57.1,
dataflow,ESTAT:HLTH_EHIS_TADLE(1.0),A,PC,NO_SDIF,F,Y_GE65,SK,2019,58.5,
dataflow,ESTAT:HLTH_EHIS_TADLE(1.0),A,PC,NO_SDIF,F,Y_GE65,TR,2014,35.5,
dataflow,ESTAT:HLTH_EHIS_TADLE(1.0),A,PC,NO_SDIF,F,Y_GE65,TR,2019,40.7,
dataflow,ESTAT:HLTH_EHIS_TADLE(1.0),A,PC,NO_SDIF,F,Y_GE65,UK,2014,76.2,
dataflow,ESTAT:HLTH_EHIS_TADLE(1.0),A,PC,NO_SDIF,F,Y_GE75,AT,2014,66.3,
dataflow,ESTAT:HLTH_EHIS_TADLE(1.0),A,PC,NO_SDIF,F,Y_GE75,AT,2019,48.3,
dataflow,ESTAT:HLTH_EHIS_TADLE(1.0),A,PC,NO_SDIF,F,Y_GE75,BE,2014,37.9,
dataflow,ESTAT:HLTH_EHIS_TADLE(1.0),A,PC,NO_SDIF,F,Y_GE75,BE,2019,48.2,
dataflow,ESTAT:HLTH_EHIS_TADLE(1.0),A,PC,NO_SDIF,F,Y_GE75,BG,2014,43.2,
dataflow,ESTAT:HLTH_EHIS_TADLE(1.0),A,PC,NO_SDIF,F,Y_GE75,BG,2019,50.7,
dataflow,ESTAT:HLTH_EHIS_TADLE(1.0),A,PC,NO_SDIF,F,Y_GE75,CY,2014,30.3,
dataflow,ESTAT:HLTH_EHIS_TADLE(1.0),A,PC,NO_SDIF,F,Y_GE75,CY,2019,32.2,
dataflow,ESTAT:HLTH_EHIS_TADLE(1.0),A,PC,NO_SDIF,F,Y_GE75,CZ,2014,39.9,
dataflow,ESTAT:HLTH_EHIS_TADLE(1.0),A,PC,NO_SDIF,F,Y_GE75,CZ,2019,47.1,
dataflow,ESTAT:HLTH_EHIS_TADLE(1.0),A,PC,NO_SDIF,F,Y_GE75,DE,2014,71.6,
dataflow,ESTAT:HLTH_EHIS_TADLE(1.0),A,PC,NO_SDIF,F,Y_GE75,DE,2019,70.0,
dataflow,ESTAT:HLTH_EHIS_TADLE(1.0),A,PC,NO_SDIF,F,Y_GE75,DK,2014,74.5,
dataflow,ESTAT:HLTH_EHIS_TADLE(1.0),A,PC,NO_SDIF,F,Y_GE75,DK,2019,72.5,
dataflow,ESTAT:HLTH_EHIS_TADLE(1.0),A,PC,NO_SDIF,F,Y_GE75,EE,2014,54.1,
dataflow,ESTAT:HLTH_EHIS_TADLE(1.0),A,PC,NO_SDIF,F,Y_GE75,EE,2019,60.0,
dataflow,ESTAT:HLTH_EHIS_TADLE(1.0),A,PC,NO_SDIF,F,Y_GE75,EL,2014,40.2,
dataflow,ESTAT:HLTH_EHIS_TADLE(1.0),A,PC,NO_SDIF,F,Y_GE75,EL,2019,45.4,
dataflow,ESTAT:HLTH_EHIS_TADLE(1.0),A,PC,NO_SDIF,F,Y_GE75,ES,2014,40.6,
dataflow,ESTAT:HLTH_EHIS_TADLE(1.0),A,PC,NO_SDIF,F,Y_GE75,ES,2019,45.2,
dataflow,ESTAT:HLTH_EHIS_TADLE(1.0),A,PC,NO_SDIF,F,Y_GE75,EU27_2020,2014,51.0,
dataflow,ESTAT:HLTH_EHIS_TADLE(1.0),A,PC,NO_SDIF,F,Y_GE75,EU27_2020,2019,53.4,
dataflow,ESTAT:HLTH_EHIS_TADLE(1.0),A,PC,NO_SDIF,F,Y_GE75,EU28,2014,52.7,
dataflow,ESTAT:HLTH_EHIS_TADLE(1.0),A,PC,NO_SDIF,F,Y_GE75,FI,2014,67.2,
dataflow,ESTAT:HLTH_EHIS_TADLE(1.0),A,PC,NO_SDIF,F,Y_GE75,FI,2019,65.5,
dataflow,ESTAT:HLTH_EHIS_TADLE(1.0),A,PC,NO_SDIF,F,Y_GE75,FR,2014,51.0,
dataflow,ESTAT:HLTH_EHIS_TADLE(1.0),A,PC,NO_SDIF,F,Y_GE75,FR,2019,61.2,
