STRUCTURE,STRUCTURE_ID,freq,unit,isced11,hlth_pb,sex,age,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
dataflow,ESTAT:HLTH_EHIS_MH1E(1.0),A,PC,ED0-2,DPR,F,Y15-24,BE,2019,6.0,
dataflow,ESTAT:HLTH_EHIS_MH1E(1.0),A,PC,ED0-2,DPR,F,Y15-24,BG,2014,3.5,
dataflow,ESTAT:HLTH_EHIS_MH1E(1.0),A,PC,ED0-2,DPR,F,Y15-24,BG,2019,0.7,
dataflow,ESTAT:HLTH_EHIS_MH1E(1.0),A,PC,ED0-2,DPR,F,Y15-24,CY,2014,0,
dataflow,ESTAT:HLTH_EHIS_MH1E(1.0),A,PC,ED0-2,DPR,F,Y15-24,CY,2019,2.2,
dataflow,ESTAT:HLTH_EHIS_MH1E(1.0),A,PC,ED0-2,DPR,F,Y15-24,CZ,2014,0.8,
dataflow,ESTAT:HLTH_EHIS_MH1E(1.0),A,PC,ED0-2,DPR,F,Y15-24,CZ,2019,1.5,
dataflow,ESTAT:HLTH_EHIS_MH1E(1.0),A,PC,ED0-2,DPR,F,Y15-24,DE,2014,16.8,
dataflow,ESTAT:HLTH_EHIS_MH1E(1.0),A,PC,ED0-2,DPR,F,Y15-24,DE,2019,14.9,
dataflow,ESTAT:HLTH_EHIS_MH1E(1.0),A,PC,ED0-2,DPR,F,Y15-24,DK,2014,23.1,
dataflow,ESTAT:HLTH_EHIS_MH1E(1.0),A,PC,ED0-2,DPR,F,Y15-24,DK,2019,21.4,
dataflow,ESTAT:HLTH_EHIS_MH1E(1.0),A,PC,ED0-2,DPR,F,Y15-24,EE,2014,10.7,
dataflow,ESTAT:HLTH_EHIS_MH1E(1.0),A,PC,ED0-2,DPR,F,Y15-24,EE,2019,12.2,
dataflow,ESTAT:HLTH_EHIS_MH1E(1.0),A,PC,ED0-2,DPR,F,Y15-24,EL,2014,0,
dataflow,ESTAT:HLTH_EHIS_MH1E(1.0),A,PC,ED0-2,DPR,F,Y15-24,EL,2019,0,
dataflow,ESTAT:HLTH_EHIS_MH1E(1.0),A,PC,ED0-2,DPR,F,Y15-24,ES,2014,3.4,
dataflow,ESTAT:HLTH_EHIS_MH1E(1.0),A,PC,ED0-2,DPR,F,Y15-24,ES,2019,2.5,
dataflow,ESTAT:HLTH_EHIS_MH1E(1.0),A,PC,ED0-2,DPR,F,Y15-24,EU27_2020,2014,6.7,
dataflow,ESTAT:HLTH_EHIS_MH1E(1.0),A,PC,ED0-2,DPR,F,Y15-24,EU27_2020,2019,8.2,
dataflow,ESTAT:HLTH_EHIS_MH1E(1.0),A,PC,ED0-2,DPR,F,Y15-24,EU28,2014,6.7,e
dataflow,ESTAT:HLTH_EHIS_MH1E(1.0),A,PC,ED0-2,DPR,F,Y15-24,FI,2014,7.5,
dataflow,ESTAT:HLTH_EHIS_MH1E(1.0),A,PC,ED0-2,DPR,F,Y15-24,FI,2019,19.4,
dataflow,ESTAT:HLTH_EHIS_MH1E(1.0),A,PC,ED0-2,DPR,F,Y15-24,FR,2014,4.1,
dataflow,ESTAT:HLTH_EHIS_MH1E(1.0),A,PC,ED0-2,DPR,F,Y15-24,FR,2019,12.5,
dataflow,ESTAT:HLTH_EHIS_MH1E(1.0),A,PC,ED0-2,DPR,F,Y15-24,HR,2014,0,
dataflow,ESTAT:HLTH_EHIS_MH1E(1.0),A,PC,ED0-2,DPR,F,Y15-24,HR,2019,3.8,
dataflow,ESTAT:HLTH_EHIS_MH1E(1.0),A,PC,ED0-2,DPR,F,Y15-24,HU,2014,7.0,
dataflow,ESTAT:HLTH_EHIS_MH1E(1.0),A,PC,ED0-2,DPR,F,Y15-24,HU,2019,3.4,
dataflow,ESTAT:HLTH_EHIS_MH1E(1.0),A,PC,ED0-2,DPR,F,Y15-24,IE,2014,10.4,
dataflow,ESTAT:HLTH_EHIS_MH1E(1.0),A,PC,ED0-2,DPR,F,Y15-24,IE,2019,7.4,
dataflow,ESTAT:HLTH_EHIS_MH1E(1.0),A,PC,ED0-2,DPR,F,Y15-24,IS,2014,20.4,
dataflow,ESTAT:HLTH_EHIS_MH1E(1.0),A,PC,ED0-2,DPR,F,Y15-24,IS,2019,9.0,
dataflow,ESTAT:HLTH_EHIS_MH1E(1.0),A,PC,ED0-2,DPR,F,Y15-24,IT,2014,3.2,
dataflow,ESTAT:HLTH_EHIS_MH1E(1.0),A,PC,ED0-2,DPR,F,Y15-24,IT,2019,3.3,
dataflow,ESTAT:HLTH_EHIS_MH1E(1.0),A,PC,ED0-2,DPR,F,Y15-24,LT,2014,0,
dataflow,ESTAT:HLTH_EHIS_MH1E(1.0),A,PC,ED0-2,DPR,F,Y15-24,LT,2019,6.5,
dataflow,ESTAT:HLTH_EHIS_MH1E(1.0),A,PC,ED0-2,DPR,F,Y15-24,LU,2014,11.4,
dataflow,ESTAT:HLTH_EHIS_MH1E(1.0),A,PC,ED0-2,DPR,F,Y15-24,LU,2019,25.1,
dataflow,ESTAT:HLTH_EHIS_MH1E(1.0),A,PC,ED0-2,DPR,F,Y15-24,LV,2014,4.4,
dataflow,ESTAT:HLTH_EHIS_MH1E(1.0),A,PC,ED0-2,DPR,F,Y15-24,LV,2019,4.0,
dataflow,ESTAT:HLTH_EHIS_MH1E(1.0),A,PC,ED0-2,DPR,F,Y15-24,MT,2014,8.0,
dataflow,ESTAT:HLTH_EHIS_MH1E(1.0),A,PC,ED0-2,DPR,F,Y15-24,MT,2019,17.1,
dataflow,ESTAT:HLTH_EHIS_MH1E(1.0),A,PC,ED0-2,DPR,F,Y15-24,NL,2019,7.9,
dataflow,ESTAT:HLTH_EHIS_MH1E(1.0),A,PC,ED0-2,DPR,F,Y15-24,NO,2014,14.8,
dataflow,ESTAT:HLTH_EHIS_MH1E(1.0),A,PC,ED0-2,DPR,F,Y15-24,NO,2019,15.4,
dataflow,ESTAT:HLTH_EHIS_MH1E(1.0),A,PC,ED0-2,DPR,F,Y15-24,PL,2014,2.6,
dataflow,ESTAT:HLTH_EHIS_MH1E(1.0),A,PC,ED0-2,DPR,F,Y15-24,PL,2019,3.5,
dataflow,ESTAT:HLTH_EHIS_MH1E(1.0),A,PC,ED0-2,DPR,F,Y15-24,PT,2014,3.8,
dataflow,ESTAT:HLTH_EHIS_MH1E(1.0),A,PC,ED0-2,DPR,F,Y15-24,PT,2019,5.5,
dataflow,ESTAT:HLTH_EHIS_MH1E(1.0),A,PC,ED0-2,DPR,F,Y15-24,RO,2014,2.4,
dataflow,ESTAT:HLTH_EHIS_MH1E(1.0),A,PC,ED0-2,DPR,F,Y15-24,RO,2019,0,
dataflow,ESTAT:HLTH_EHIS_MH1E(1.0),A,PC,ED0-2,DPR,F,Y15-24,RS,2019,0.5,
dataflow,ESTAT:HLTH_EHIS_MH1E(1.0),A,PC,ED0-2,DPR,F,Y15-24,SE,2014,16.5,
dataflow,ESTAT:HLTH_EHIS_MH1E(1.0),A,PC,ED0-2,DPR,F,Y15-24,SE,2019,19.8,
dataflow,ESTAT:HLTH_EHIS_MH1E(1.0),A,PC,ED0-2,DPR,F,Y15-24,SI,2014,8.9,
dataflow,ESTAT:HLTH_EHIS_MH1E(1.0),A,PC,ED0-2,DPR,F,Y15-24,SI,2019,16.8,
dataflow,ESTAT:HLTH_EHIS_MH1E(1.0),A,PC,ED0-2,DPR,F,Y15-24,SK,2014,0,
dataflow,ESTAT:HLTH_EHIS_MH1E(1.0),A,PC,ED0-2,DPR,F,Y15-24,SK,2019,1.8,
dataflow,ESTAT:HLTH_EHIS_MH1E(1.0),A,PC,ED0-2,DPR,F,Y15-24,TR,2014,4.2,
dataflow,ESTAT:HLTH_EHIS_MH1E(1.0),A,PC,ED0-2,DPR,F,Y15-24,TR,2019,4.0,
dataflow,ESTAT:HLTH_EHIS_MH1E(1.0),A,PC,ED0-2,DPR,F,Y15-24,UK,2014,7.7,
dataflow,ESTAT:HLTH_EHIS_MH1E(1.0),A,PC,ED0-2,DPR,F,Y15-29,AT,2014,7.2,
dataflow,ESTAT:HLTH_EHIS_MH1E(1.0),A,PC,ED0-2,DPR,F,Y15-29,AT,2019,5.3,
dataflow,ESTAT:HLTH_EHIS_MH1E(1.0),A,PC,ED0-2,DPR,F,Y15-29,BE,2019,8.7,u
dataflow,ESTAT:HLTH_EHIS_MH1E(1.0),A,PC,ED0-2,DPR,F,Y15-29,BG,2014,3.0,
dataflow,ESTAT:HLTH_EHIS_MH1E(1.0),A,PC,ED0-2,DPR,F,Y15-29,BG,2019,1.2,
dataflow,ESTAT:HLTH_EHIS_MH1E(1.0),A,PC,ED0-2,DPR,F,Y15-29,CY,2014,0,
dataflow,ESTAT:HLTH_EHIS_MH1E(1.0),A,PC,ED0-2,DPR,F,Y15-29,CY,2019,2.9,
dataflow,ESTAT:HLTH_EHIS_MH1E(1.0),A,PC,ED0-2,DPR,F,Y15-29,CZ,2014,0.8,
dataflow,ESTAT:HLTH_EHIS_MH1E(1.0),A,PC,ED0-2,DPR,F,Y15-29,CZ,2019,2.3,
dataflow,ESTAT:HLTH_EHIS_MH1E(1.0),A,PC,ED0-2,DPR,F,Y15-29,DE,2014,16.7,
dataflow,ESTAT:HLTH_EHIS_MH1E(1.0),A,PC,ED0-2,DPR,F,Y15-29,DE,2019,17.0,
dataflow,ESTAT:HLTH_EHIS_MH1E(1.0),A,PC,ED0-2,DPR,F,Y15-29,DK,2014,24.9,
dataflow,ESTAT:HLTH_EHIS_MH1E(1.0),A,PC,ED0-2,DPR,F,Y15-29,DK,2019,22.4,
dataflow,ESTAT:HLTH_EHIS_MH1E(1.0),A,PC,ED0-2,DPR,F,Y15-29,EE,2014,10.9,
dataflow,ESTAT:HLTH_EHIS_MH1E(1.0),A,PC,ED0-2,DPR,F,Y15-29,EE,2019,13.3,
dataflow,ESTAT:HLTH_EHIS_MH1E(1.0),A,PC,ED0-2,DPR,F,Y15-29,EL,2014,0,
dataflow,ESTAT:HLTH_EHIS_MH1E(1.0),A,PC,ED0-2,DPR,F,Y15-29,EL,2019,0,
dataflow,ESTAT:HLTH_EHIS_MH1E(1.0),A,PC,ED0-2,DPR,F,Y15-29,ES,2014,4.3,
dataflow,ESTAT:HLTH_EHIS_MH1E(1.0),A,PC,ED0-2,DPR,F,Y15-29,ES,2019,2.5,
dataflow,ESTAT:HLTH_EHIS_MH1E(1.0),A,PC,ED0-2,DPR,F,Y15-29,EU27_2020,2014,6.8,
dataflow,ESTAT:HLTH_EHIS_MH1E(1.0),A,PC,ED0-2,DPR,F,Y15-29,EU28,2014,6.8,e
dataflow,ESTAT:HLTH_EHIS_MH1E(1.0),A,PC,ED0-2,DPR,F,Y15-29,FI,2014,8.0,
dataflow,ESTAT:HLTH_EHIS_MH1E(1.0),A,PC,ED0-2,DPR,F,Y15-29,FI,2019,19.9,
dataflow,ESTAT:HLTH_EHIS_MH1E(1.0),A,PC,ED0-2,DPR,F,Y15-29,FR,2014,4.7,
dataflow,ESTAT:HLTH_EHIS_MH1E(1.0),A,PC,ED0-2,DPR,F,Y15-29,FR,2019,13.2,
dataflow,ESTAT:HLTH_EHIS_MH1E(1.0),A,PC,ED0-2,DPR,F,Y15-29,HR,2014,0,
dataflow,ESTAT:HLTH_EHIS_MH1E(1.0),A,PC,ED0-2,DPR,F,Y15-29,HR,2019,3.2,
dataflow,ESTAT:HLTH_EHIS_MH1E(1.0),A,PC,ED0-2,DPR,F,Y15-29,HU,2014,7.4,
dataflow,ESTAT:HLTH_EHIS_MH1E(1.0),A,PC,ED0-2,DPR,F,Y15-29,HU,2019,4.5,
dataflow,ESTAT:HLTH_EHIS_MH1E(1.0),A,PC,ED0-2,DPR,F,Y15-29,IE,2019,8.6,
dataflow,ESTAT:HLTH_EHIS_MH1E(1.0),A,PC,ED0-2,DPR,F,Y15-29,IS,2019,10.4,
dataflow,ESTAT:HLTH_EHIS_MH1E(1.0),A,PC,ED0-2,DPR,F,Y15-29,IT,2014,2.8,
dataflow,ESTAT:HLTH_EHIS_MH1E(1.0),A,PC,ED0-2,DPR,F,Y15-29,IT,2019,3.0,
dataflow,ESTAT:HLTH_EHIS_MH1E(1.0),A,PC,ED0-2,DPR,F,Y15-29,LT,2014,0.7,
dataflow,ESTAT:HLTH_EHIS_MH1E(1.0),A,PC,ED0-2,DPR,F,Y15-29,LT,2019,6.1,
dataflow,ESTAT:HLTH_EHIS_MH1E(1.0),A,PC,ED0-2,DPR,F,Y15-29,LU,2014,11.1,
dataflow,ESTAT:HLTH_EHIS_MH1E(1.0),A,PC,ED0-2,DPR,F,Y15-29,LU,2019,24.9,
dataflow,ESTAT:HLTH_EHIS_MH1E(1.0),A,PC,ED0-2,DPR,F,Y15-29,LV,2014,3.9,
dataflow,ESTAT:HLTH_EHIS_MH1E(1.0),A,PC,ED0-2,DPR,F,Y15-29,LV,2019,3.8,
dataflow,ESTAT:HLTH_EHIS_MH1E(1.0),A,PC,ED0-2,DPR,F,Y15-29,MT,2014,6.2,
dataflow,ESTAT:HLTH_EHIS_MH1E(1.0),A,PC,ED0-2,DPR,F,Y15-29,MT,2019,17.2,
dataflow,ESTAT:HLTH_EHIS_MH1E(1.0),A,PC,ED0-2,DPR,F,Y15-29,NL,2019,8.3,
dataflow,ESTAT:HLTH_EHIS_MH1E(1.0),A,PC,ED0-2,DPR,F,Y15-29,NO,2014,15.3,
dataflow,ESTAT:HLTH_EHIS_MH1E(1.0),A,PC,ED0-2,DPR,F,Y15-29,NO,2019,15.7,
dataflow,ESTAT:HLTH_EHIS_MH1E(1.0),A,PC,ED0-2,DPR,F,Y15-29,PL,2014,3.4,
dataflow,ESTAT:HLTH_EHIS_MH1E(1.0),A,PC,ED0-2,DPR,F,Y15-29,PL,2019,3.6,
dataflow,ESTAT:HLTH_EHIS_MH1E(1.0),A,PC,ED0-2,DPR,F,Y15-29,PT,2014,5.8,
dataflow,ESTAT:HLTH_EHIS_MH1E(1.0),A,PC,ED0-2,DPR,F,Y15-29,PT,2019,4.8,
dataflow,ESTAT:HLTH_EHIS_MH1E(1.0),A,PC,ED0-2,DPR,F,Y15-29,RO,2014,2.9,
dataflow,ESTAT:HLTH_EHIS_MH1E(1.0),A,PC,ED0-2,DPR,F,Y15-29,RO,2019,1.0,
dataflow,ESTAT:HLTH_EHIS_MH1E(1.0),A,PC,ED0-2,DPR,F,Y15-29,RS,2019,0.4,
dataflow,ESTAT:HLTH_EHIS_MH1E(1.0),A,PC,ED0-2,DPR,F,Y15-29,SE,2014,15.2,
dataflow,ESTAT:HLTH_EHIS_MH1E(1.0),A,PC,ED0-2,DPR,F,Y15-29,SE,2019,19.3,
dataflow,ESTAT:HLTH_EHIS_MH1E(1.0),A,PC,ED0-2,DPR,F,Y15-29,SI,2014,10.4,
dataflow,ESTAT:HLTH_EHIS_MH1E(1.0),A,PC,ED0-2,DPR,F,Y15-29,SI,2019,15.8,
dataflow,ESTAT:HLTH_EHIS_MH1E(1.0),A,PC,ED0-2,DPR,F,Y15-29,SK,2014,0.9,
dataflow,ESTAT:HLTH_EHIS_MH1E(1.0),A,PC,ED0-2,DPR,F,Y15-29,SK,2019,2.6,
dataflow,ESTAT:HLTH_EHIS_MH1E(1.0),A,PC,ED0-2,DPR,F,Y15-29,TR,2014,5.7,
dataflow,ESTAT:HLTH_EHIS_MH1E(1.0),A,PC,ED0-2,DPR,F,Y15-29,TR,2019,4.4,
dataflow,ESTAT:HLTH_EHIS_MH1E(1.0),A,PC,ED0-2,DPR,F,Y15-29,UK,2014,6.8,
