STRUCTURE,STRUCTURE_ID,freq,unit,lev_diff,assist,age,quant_inc,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
dataflow,ESTAT:HLTH_EHIS_TADLHI(1.0),A,PC,LTD,ENO,Y55-64,QU2,NO,2019,31.8,u
dataflow,ESTAT:HLTH_EHIS_TADLHI(1.0),A,PC,LTD,ENO,Y55-64,QU2,PL,2019,14.1,
dataflow,ESTAT:HLTH_EHIS_TADLHI(1.0),A,PC,LTD,ENO,Y55-64,QU2,PT,2019,33.4,
dataflow,ESTAT:HLTH_EHIS_TADLHI(1.0),A,PC,LTD,ENO,Y55-64,QU2,RO,2019,29.6,
dataflow,ESTAT:HLTH_EHIS_TADLHI(1.0),A,PC,LTD,ENO,Y55-64,QU2,RS,2019,33.2,
dataflow,ESTAT:HLTH_EHIS_TADLHI(1.0),A,PC,LTD,ENO,Y55-64,QU2,SE,2019,29.7,u
dataflow,ESTAT:HLTH_EHIS_TADLHI(1.0),A,PC,LTD,ENO,Y55-64,QU2,SI,2019,30.3,
dataflow,ESTAT:HLTH_EHIS_TADLHI(1.0),A,PC,LTD,ENO,Y55-64,QU2,SK,2019,42.4,
dataflow,ESTAT:HLTH_EHIS_TADLHI(1.0),A,PC,LTD,ENO,Y55-64,QU2,TR,2019,11.8,
dataflow,ESTAT:HLTH_EHIS_TADLHI(1.0),A,PC,LTD,ENO,Y55-64,QU3,AT,2019,51.1,
dataflow,ESTAT:HLTH_EHIS_TADLHI(1.0),A,PC,LTD,ENO,Y55-64,QU3,BE,2019,,u
dataflow,ESTAT:HLTH_EHIS_TADLHI(1.0),A,PC,LTD,ENO,Y55-64,QU3,BG,2019,26.5,
dataflow,ESTAT:HLTH_EHIS_TADLHI(1.0),A,PC,LTD,ENO,Y55-64,QU3,CY,2019,34.6,u
dataflow,ESTAT:HLTH_EHIS_TADLHI(1.0),A,PC,LTD,ENO,Y55-64,QU3,CZ,2019,13.2,
dataflow,ESTAT:HLTH_EHIS_TADLHI(1.0),A,PC,LTD,ENO,Y55-64,QU3,DE,2019,30.6,
dataflow,ESTAT:HLTH_EHIS_TADLHI(1.0),A,PC,LTD,ENO,Y55-64,QU3,DK,2019,19.6,u
dataflow,ESTAT:HLTH_EHIS_TADLHI(1.0),A,PC,LTD,ENO,Y55-64,QU3,EE,2019,36.7,u
dataflow,ESTAT:HLTH_EHIS_TADLHI(1.0),A,PC,LTD,ENO,Y55-64,QU3,EL,2019,37.7,
dataflow,ESTAT:HLTH_EHIS_TADLHI(1.0),A,PC,LTD,ENO,Y55-64,QU3,ES,2019,46.0,
dataflow,ESTAT:HLTH_EHIS_TADLHI(1.0),A,PC,LTD,ENO,Y55-64,QU3,EU27_2020,2019,32.5,
dataflow,ESTAT:HLTH_EHIS_TADLHI(1.0),A,PC,LTD,ENO,Y55-64,QU3,FI,2019,16.2,u
dataflow,ESTAT:HLTH_EHIS_TADLHI(1.0),A,PC,LTD,ENO,Y55-64,QU3,FR,2019,43.1,
dataflow,ESTAT:HLTH_EHIS_TADLHI(1.0),A,PC,LTD,ENO,Y55-64,QU3,HR,2019,21.6,u
dataflow,ESTAT:HLTH_EHIS_TADLHI(1.0),A,PC,LTD,ENO,Y55-64,QU3,HU,2019,5.2,
dataflow,ESTAT:HLTH_EHIS_TADLHI(1.0),A,PC,LTD,ENO,Y55-64,QU3,IE,2019,47.3,u
dataflow,ESTAT:HLTH_EHIS_TADLHI(1.0),A,PC,LTD,ENO,Y55-64,QU3,IT,2019,32.0,
dataflow,ESTAT:HLTH_EHIS_TADLHI(1.0),A,PC,LTD,ENO,Y55-64,QU3,LT,2019,60.2,
dataflow,ESTAT:HLTH_EHIS_TADLHI(1.0),A,PC,LTD,ENO,Y55-64,QU3,LU,2019,13.0,u
dataflow,ESTAT:HLTH_EHIS_TADLHI(1.0),A,PC,LTD,ENO,Y55-64,QU3,LV,2019,71.3,
dataflow,ESTAT:HLTH_EHIS_TADLHI(1.0),A,PC,LTD,ENO,Y55-64,QU3,MT,2019,5.0,u
dataflow,ESTAT:HLTH_EHIS_TADLHI(1.0),A,PC,LTD,ENO,Y55-64,QU3,NL,2019,27.7,
dataflow,ESTAT:HLTH_EHIS_TADLHI(1.0),A,PC,LTD,ENO,Y55-64,QU3,NO,2019,62.1,u
dataflow,ESTAT:HLTH_EHIS_TADLHI(1.0),A,PC,LTD,ENO,Y55-64,QU3,PL,2019,18.3,
dataflow,ESTAT:HLTH_EHIS_TADLHI(1.0),A,PC,LTD,ENO,Y55-64,QU3,PT,2019,30.7,
dataflow,ESTAT:HLTH_EHIS_TADLHI(1.0),A,PC,LTD,ENO,Y55-64,QU3,RO,2019,39.8,
dataflow,ESTAT:HLTH_EHIS_TADLHI(1.0),A,PC,LTD,ENO,Y55-64,QU3,RS,2019,31.2,
dataflow,ESTAT:HLTH_EHIS_TADLHI(1.0),A,PC,LTD,ENO,Y55-64,QU3,SE,2019,34.4,u
dataflow,ESTAT:HLTH_EHIS_TADLHI(1.0),A,PC,LTD,ENO,Y55-64,QU3,SI,2019,27.4,
dataflow,ESTAT:HLTH_EHIS_TADLHI(1.0),A,PC,LTD,ENO,Y55-64,QU3,SK,2019,46.7,
dataflow,ESTAT:HLTH_EHIS_TADLHI(1.0),A,PC,LTD,ENO,Y55-64,QU3,TR,2019,11.2,
dataflow,ESTAT:HLTH_EHIS_TADLHI(1.0),A,PC,LTD,ENO,Y55-64,QU4,AT,2019,55.3,
dataflow,ESTAT:HLTH_EHIS_TADLHI(1.0),A,PC,LTD,ENO,Y55-64,QU4,BE,2019,,u
dataflow,ESTAT:HLTH_EHIS_TADLHI(1.0),A,PC,LTD,ENO,Y55-64,QU4,BG,2019,20.9,
dataflow,ESTAT:HLTH_EHIS_TADLHI(1.0),A,PC,LTD,ENO,Y55-64,QU4,CY,2019,45.3,u
dataflow,ESTAT:HLTH_EHIS_TADLHI(1.0),A,PC,LTD,ENO,Y55-64,QU4,CZ,2019,9.0,
dataflow,ESTAT:HLTH_EHIS_TADLHI(1.0),A,PC,LTD,ENO,Y55-64,QU4,DE,2019,34.7,
dataflow,ESTAT:HLTH_EHIS_TADLHI(1.0),A,PC,LTD,ENO,Y55-64,QU4,DK,2019,20.8,u
dataflow,ESTAT:HLTH_EHIS_TADLHI(1.0),A,PC,LTD,ENO,Y55-64,QU4,EE,2019,,u
dataflow,ESTAT:HLTH_EHIS_TADLHI(1.0),A,PC,LTD,ENO,Y55-64,QU4,EL,2019,61.1,
dataflow,ESTAT:HLTH_EHIS_TADLHI(1.0),A,PC,LTD,ENO,Y55-64,QU4,ES,2019,48.4,
dataflow,ESTAT:HLTH_EHIS_TADLHI(1.0),A,PC,LTD,ENO,Y55-64,QU4,EU27_2020,2019,33.8,
dataflow,ESTAT:HLTH_EHIS_TADLHI(1.0),A,PC,LTD,ENO,Y55-64,QU4,FI,2019,11.6,u
dataflow,ESTAT:HLTH_EHIS_TADLHI(1.0),A,PC,LTD,ENO,Y55-64,QU4,FR,2019,40.9,
dataflow,ESTAT:HLTH_EHIS_TADLHI(1.0),A,PC,LTD,ENO,Y55-64,QU4,HR,2019,45.1,u
dataflow,ESTAT:HLTH_EHIS_TADLHI(1.0),A,PC,LTD,ENO,Y55-64,QU4,HU,2019,11.7,u
dataflow,ESTAT:HLTH_EHIS_TADLHI(1.0),A,PC,LTD,ENO,Y55-64,QU4,IE,2019,,u
dataflow,ESTAT:HLTH_EHIS_TADLHI(1.0),A,PC,LTD,ENO,Y55-64,QU4,IT,2019,36.0,
dataflow,ESTAT:HLTH_EHIS_TADLHI(1.0),A,PC,LTD,ENO,Y55-64,QU4,LT,2019,64.7,u
dataflow,ESTAT:HLTH_EHIS_TADLHI(1.0),A,PC,LTD,ENO,Y55-64,QU4,LU,2019,,u
dataflow,ESTAT:HLTH_EHIS_TADLHI(1.0),A,PC,LTD,ENO,Y55-64,QU4,LV,2019,56.1,u
dataflow,ESTAT:HLTH_EHIS_TADLHI(1.0),A,PC,LTD,ENO,Y55-64,QU4,MT,2019,,u
dataflow,ESTAT:HLTH_EHIS_TADLHI(1.0),A,PC,LTD,ENO,Y55-64,QU4,NL,2019,31.5,
dataflow,ESTAT:HLTH_EHIS_TADLHI(1.0),A,PC,LTD,ENO,Y55-64,QU4,NO,2019,52.3,u
dataflow,ESTAT:HLTH_EHIS_TADLHI(1.0),A,PC,LTD,ENO,Y55-64,QU4,PL,2019,29.6,
dataflow,ESTAT:HLTH_EHIS_TADLHI(1.0),A,PC,LTD,ENO,Y55-64,QU4,PT,2019,16.2,
dataflow,ESTAT:HLTH_EHIS_TADLHI(1.0),A,PC,LTD,ENO,Y55-64,QU4,RO,2019,32.4,
dataflow,ESTAT:HLTH_EHIS_TADLHI(1.0),A,PC,LTD,ENO,Y55-64,QU4,RS,2019,31.4,
dataflow,ESTAT:HLTH_EHIS_TADLHI(1.0),A,PC,LTD,ENO,Y55-64,QU4,SE,2019,23.1,
dataflow,ESTAT:HLTH_EHIS_TADLHI(1.0),A,PC,LTD,ENO,Y55-64,QU4,SI,2019,20.8,u
dataflow,ESTAT:HLTH_EHIS_TADLHI(1.0),A,PC,LTD,ENO,Y55-64,QU4,SK,2019,44.4,
dataflow,ESTAT:HLTH_EHIS_TADLHI(1.0),A,PC,LTD,ENO,Y55-64,QU4,TR,2019,14.5,
dataflow,ESTAT:HLTH_EHIS_TADLHI(1.0),A,PC,LTD,ENO,Y55-64,QU5,AT,2019,50.7,u
dataflow,ESTAT:HLTH_EHIS_TADLHI(1.0),A,PC,LTD,ENO,Y55-64,QU5,BE,2019,,u
dataflow,ESTAT:HLTH_EHIS_TADLHI(1.0),A,PC,LTD,ENO,Y55-64,QU5,BG,2019,37.9,u
dataflow,ESTAT:HLTH_EHIS_TADLHI(1.0),A,PC,LTD,ENO,Y55-64,QU5,CY,2019,51.5,
dataflow,ESTAT:HLTH_EHIS_TADLHI(1.0),A,PC,LTD,ENO,Y55-64,QU5,CZ,2019,9.8,
dataflow,ESTAT:HLTH_EHIS_TADLHI(1.0),A,PC,LTD,ENO,Y55-64,QU5,DE,2019,36.7,
dataflow,ESTAT:HLTH_EHIS_TADLHI(1.0),A,PC,LTD,ENO,Y55-64,QU5,DK,2019,32.3,u
dataflow,ESTAT:HLTH_EHIS_TADLHI(1.0),A,PC,LTD,ENO,Y55-64,QU5,EE,2019,,u
dataflow,ESTAT:HLTH_EHIS_TADLHI(1.0),A,PC,LTD,ENO,Y55-64,QU5,EL,2019,,u
dataflow,ESTAT:HLTH_EHIS_TADLHI(1.0),A,PC,LTD,ENO,Y55-64,QU5,ES,2019,56.8,
dataflow,ESTAT:HLTH_EHIS_TADLHI(1.0),A,PC,LTD,ENO,Y55-64,QU5,EU27_2020,2019,35.6,
dataflow,ESTAT:HLTH_EHIS_TADLHI(1.0),A,PC,LTD,ENO,Y55-64,QU5,FI,2019,11.9,u
dataflow,ESTAT:HLTH_EHIS_TADLHI(1.0),A,PC,LTD,ENO,Y55-64,QU5,FR,2019,43.6,
dataflow,ESTAT:HLTH_EHIS_TADLHI(1.0),A,PC,LTD,ENO,Y55-64,QU5,HR,2019,16.9,u
dataflow,ESTAT:HLTH_EHIS_TADLHI(1.0),A,PC,LTD,ENO,Y55-64,QU5,HU,2019,11.4,u
dataflow,ESTAT:HLTH_EHIS_TADLHI(1.0),A,PC,LTD,ENO,Y55-64,QU5,IE,2019,,u
dataflow,ESTAT:HLTH_EHIS_TADLHI(1.0),A,PC,LTD,ENO,Y55-64,QU5,IT,2019,34.4,
dataflow,ESTAT:HLTH_EHIS_TADLHI(1.0),A,PC,LTD,ENO,Y55-64,QU5,LT,2019,,u
dataflow,ESTAT:HLTH_EHIS_TADLHI(1.0),A,PC,LTD,ENO,Y55-64,QU5,LU,2019,,u
dataflow,ESTAT:HLTH_EHIS_TADLHI(1.0),A,PC,LTD,ENO,Y55-64,QU5,LV,2019,54.4,u
dataflow,ESTAT:HLTH_EHIS_TADLHI(1.0),A,PC,LTD,ENO,Y55-64,QU5,MT,2019,21.6,u
dataflow,ESTAT:HLTH_EHIS_TADLHI(1.0),A,PC,LTD,ENO,Y55-64,QU5,NL,2019,31.2,
dataflow,ESTAT:HLTH_EHIS_TADLHI(1.0),A,PC,LTD,ENO,Y55-64,QU5,NO,2019,63.5,u
dataflow,ESTAT:HLTH_EHIS_TADLHI(1.0),A,PC,LTD,ENO,Y55-64,QU5,PL,2019,27.3,
dataflow,ESTAT:HLTH_EHIS_TADLHI(1.0),A,PC,LTD,ENO,Y55-64,QU5,PT,2019,41.7,
dataflow,ESTAT:HLTH_EHIS_TADLHI(1.0),A,PC,LTD,ENO,Y55-64,QU5,RO,2019,33.7,
dataflow,ESTAT:HLTH_EHIS_TADLHI(1.0),A,PC,LTD,ENO,Y55-64,QU5,RS,2019,33.2,
dataflow,ESTAT:HLTH_EHIS_TADLHI(1.0),A,PC,LTD,ENO,Y55-64,QU5,SE,2019,33.9,
dataflow,ESTAT:HLTH_EHIS_TADLHI(1.0),A,PC,LTD,ENO,Y55-64,QU5,SI,2019,26.3,
dataflow,ESTAT:HLTH_EHIS_TADLHI(1.0),A,PC,LTD,ENO,Y55-64,QU5,SK,2019,46.0,
dataflow,ESTAT:HLTH_EHIS_TADLHI(1.0),A,PC,LTD,ENO,Y55-64,QU5,TR,2019,13.9,
dataflow,ESTAT:HLTH_EHIS_TADLHI(1.0),A,PC,LTD,ENO,Y55-64,TOTAL,AT,2019,44.2,
dataflow,ESTAT:HLTH_EHIS_TADLHI(1.0),A,PC,LTD,ENO,Y55-64,TOTAL,BE,2019,,u
dataflow,ESTAT:HLTH_EHIS_TADLHI(1.0),A,PC,LTD,ENO,Y55-64,TOTAL,BG,2019,23.4,
dataflow,ESTAT:HLTH_EHIS_TADLHI(1.0),A,PC,LTD,ENO,Y55-64,TOTAL,CY,2019,42.2,
dataflow,ESTAT:HLTH_EHIS_TADLHI(1.0),A,PC,LTD,ENO,Y55-64,TOTAL,CZ,2019,12.2,
dataflow,ESTAT:HLTH_EHIS_TADLHI(1.0),A,PC,LTD,ENO,Y55-64,TOTAL,DE,2019,29.8,
dataflow,ESTAT:HLTH_EHIS_TADLHI(1.0),A,PC,LTD,ENO,Y55-64,TOTAL,DK,2019,21.2,u
dataflow,ESTAT:HLTH_EHIS_TADLHI(1.0),A,PC,LTD,ENO,Y55-64,TOTAL,EE,2019,43.2,
dataflow,ESTAT:HLTH_EHIS_TADLHI(1.0),A,PC,LTD,ENO,Y55-64,TOTAL,EL,2019,46.6,
dataflow,ESTAT:HLTH_EHIS_TADLHI(1.0),A,PC,LTD,ENO,Y55-64,TOTAL,ES,2019,47.7,
dataflow,ESTAT:HLTH_EHIS_TADLHI(1.0),A,PC,LTD,ENO,Y55-64,TOTAL,EU27_2020,2019,31.9,
dataflow,ESTAT:HLTH_EHIS_TADLHI(1.0),A,PC,LTD,ENO,Y55-64,TOTAL,FI,2019,14.1,
dataflow,ESTAT:HLTH_EHIS_TADLHI(1.0),A,PC,LTD,ENO,Y55-64,TOTAL,FR,2019,41.2,
dataflow,ESTAT:HLTH_EHIS_TADLHI(1.0),A,PC,LTD,ENO,Y55-64,TOTAL,HR,2019,25.6,u
dataflow,ESTAT:HLTH_EHIS_TADLHI(1.0),A,PC,LTD,ENO,Y55-64,TOTAL,HU,2019,12.4,
dataflow,ESTAT:HLTH_EHIS_TADLHI(1.0),A,PC,LTD,ENO,Y55-64,TOTAL,IE,2019,35.2,u
dataflow,ESTAT:HLTH_EHIS_TADLHI(1.0),A,PC,LTD,ENO,Y55-64,TOTAL,IT,2019,33.1,
dataflow,ESTAT:HLTH_EHIS_TADLHI(1.0),A,PC,LTD,ENO,Y55-64,TOTAL,LT,2019,56.1,
dataflow,ESTAT:HLTH_EHIS_TADLHI(1.0),A,PC,LTD,ENO,Y55-64,TOTAL,LU,2019,14.7,u
dataflow,ESTAT:HLTH_EHIS_TADLHI(1.0),A,PC,LTD,ENO,Y55-64,TOTAL,LV,2019,54.6,
dataflow,ESTAT:HLTH_EHIS_TADLHI(1.0),A,PC,LTD,ENO,Y55-64,TOTAL,MT,2019,14.2,
dataflow,ESTAT:HLTH_EHIS_TADLHI(1.0),A,PC,LTD,ENO,Y55-64,TOTAL,NL,2019,33.2,
dataflow,ESTAT:HLTH_EHIS_TADLHI(1.0),A,PC,LTD,ENO,Y55-64,TOTAL,NO,2019,45.1,
dataflow,ESTAT:HLTH_EHIS_TADLHI(1.0),A,PC,LTD,ENO,Y55-64,TOTAL,PL,2019,21.3,
dataflow,ESTAT:HLTH_EHIS_TADLHI(1.0),A,PC,LTD,ENO,Y55-64,TOTAL,PT,2019,30.4,
dataflow,ESTAT:HLTH_EHIS_TADLHI(1.0),A,PC,LTD,ENO,Y55-64,TOTAL,RO,2019,33.4,
dataflow,ESTAT:HLTH_EHIS_TADLHI(1.0),A,PC,LTD,ENO,Y55-64,TOTAL,RS,2019,29.5,
dataflow,ESTAT:HLTH_EHIS_TADLHI(1.0),A,PC,LTD,ENO,Y55-64,TOTAL,SE,2019,25.5,
dataflow,ESTAT:HLTH_EHIS_TADLHI(1.0),A,PC,LTD,ENO,Y55-64,TOTAL,SI,2019,28.3,
dataflow,ESTAT:HLTH_EHIS_TADLHI(1.0),A,PC,LTD,ENO,Y55-64,TOTAL,SK,2019,42.5,
dataflow,ESTAT:HLTH_EHIS_TADLHI(1.0),A,PC,LTD,ENO,Y55-64,TOTAL,TR,2019,11.6,
dataflow,ESTAT:HLTH_EHIS_TADLHI(1.0),A,PC,LTD,ENO,Y65-74,QU1,AT,2014,30.8,
dataflow,ESTAT:HLTH_EHIS_TADLHI(1.0),A,PC,LTD,ENO,Y65-74,QU1,AT,2019,49.3,
dataflow,ESTAT:HLTH_EHIS_TADLHI(1.0),A,PC,LTD,ENO,Y65-74,QU1,BE,2014,,u
dataflow,ESTAT:HLTH_EHIS_TADLHI(1.0),A,PC,LTD,ENO,Y65-74,QU1,BE,2019,,u
dataflow,ESTAT:HLTH_EHIS_TADLHI(1.0),A,PC,LTD,ENO,Y65-74,QU1,BG,2014,6.5,
dataflow,ESTAT:HLTH_EHIS_TADLHI(1.0),A,PC,LTD,ENO,Y65-74,QU1,BG,2019,16.2,
dataflow,ESTAT:HLTH_EHIS_TADLHI(1.0),A,PC,LTD,ENO,Y65-74,QU1,CY,2014,29.8,u
dataflow,ESTAT:HLTH_EHIS_TADLHI(1.0),A,PC,LTD,ENO,Y65-74,QU1,CY,2019,39.3,
dataflow,ESTAT:HLTH_EHIS_TADLHI(1.0),A,PC,LTD,ENO,Y65-74,QU1,CZ,2014,15.1,
dataflow,ESTAT:HLTH_EHIS_TADLHI(1.0),A,PC,LTD,ENO,Y65-74,QU1,CZ,2019,14.9,
dataflow,ESTAT:HLTH_EHIS_TADLHI(1.0),A,PC,LTD,ENO,Y65-74,QU1,DE,2014,22.8,u
dataflow,ESTAT:HLTH_EHIS_TADLHI(1.0),A,PC,LTD,ENO,Y65-74,QU1,DE,2019,33.7,
dataflow,ESTAT:HLTH_EHIS_TADLHI(1.0),A,PC,LTD,ENO,Y65-74,QU1,DK,2014,17.3,u
dataflow,ESTAT:HLTH_EHIS_TADLHI(1.0),A,PC,LTD,ENO,Y65-74,QU1,DK,2019,16.1,u
dataflow,ESTAT:HLTH_EHIS_TADLHI(1.0),A,PC,LTD,ENO,Y65-74,QU1,EE,2014,,u
dataflow,ESTAT:HLTH_EHIS_TADLHI(1.0),A,PC,LTD,ENO,Y65-74,QU1,EE,2019,31.4,
dataflow,ESTAT:HLTH_EHIS_TADLHI(1.0),A,PC,LTD,ENO,Y65-74,QU1,EL,2014,46.0,
dataflow,ESTAT:HLTH_EHIS_TADLHI(1.0),A,PC,LTD,ENO,Y65-74,QU1,EL,2019,47.4,u
dataflow,ESTAT:HLTH_EHIS_TADLHI(1.0),A,PC,LTD,ENO,Y65-74,QU1,ES,2014,36.6,
dataflow,ESTAT:HLTH_EHIS_TADLHI(1.0),A,PC,LTD,ENO,Y65-74,QU1,ES,2019,48.2,
dataflow,ESTAT:HLTH_EHIS_TADLHI(1.0),A,PC,LTD,ENO,Y65-74,QU1,EU27_2020,2014,27.3,
dataflow,ESTAT:HLTH_EHIS_TADLHI(1.0),A,PC,LTD,ENO,Y65-74,QU1,EU27_2020,2019,29.5,
dataflow,ESTAT:HLTH_EHIS_TADLHI(1.0),A,PC,LTD,ENO,Y65-74,QU1,EU28,2014,32.3,
dataflow,ESTAT:HLTH_EHIS_TADLHI(1.0),A,PC,LTD,ENO,Y65-74,QU1,FI,2014,13.3,
dataflow,ESTAT:HLTH_EHIS_TADLHI(1.0),A,PC,LTD,ENO,Y65-74,QU1,FI,2019,16.6,u
