STRUCTURE,STRUCTURE_ID,freq,assist,lev_limit,age,sex,unit,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
dataflow,ESTAT:HLTH_EHIS_PCHLPD(1.0),A,ENO,MOD,Y55-64,M,PC,ES,2019,39.5,u
dataflow,ESTAT:HLTH_EHIS_PCHLPD(1.0),A,ENO,MOD,Y55-64,M,PC,EU27_2020,2019,11.7,
dataflow,ESTAT:HLTH_EHIS_PCHLPD(1.0),A,ENO,MOD,Y55-64,M,PC,FI,2019,0,u
dataflow,ESTAT:HLTH_EHIS_PCHLPD(1.0),A,ENO,MOD,Y55-64,M,PC,FR,2019,13.5,u
dataflow,ESTAT:HLTH_EHIS_PCHLPD(1.0),A,ENO,MOD,Y55-64,M,PC,HR,2019,19.5,u
dataflow,ESTAT:HLTH_EHIS_PCHLPD(1.0),A,ENO,MOD,Y55-64,M,PC,HU,2019,7.0,u
dataflow,ESTAT:HLTH_EHIS_PCHLPD(1.0),A,ENO,MOD,Y55-64,M,PC,IE,2019,,u
dataflow,ESTAT:HLTH_EHIS_PCHLPD(1.0),A,ENO,MOD,Y55-64,M,PC,IS,2019,,u
dataflow,ESTAT:HLTH_EHIS_PCHLPD(1.0),A,ENO,MOD,Y55-64,M,PC,IT,2019,33.5,u
dataflow,ESTAT:HLTH_EHIS_PCHLPD(1.0),A,ENO,MOD,Y55-64,M,PC,LT,2019,34.6,u
dataflow,ESTAT:HLTH_EHIS_PCHLPD(1.0),A,ENO,MOD,Y55-64,M,PC,LU,2019,,u
dataflow,ESTAT:HLTH_EHIS_PCHLPD(1.0),A,ENO,MOD,Y55-64,M,PC,LV,2019,,u
dataflow,ESTAT:HLTH_EHIS_PCHLPD(1.0),A,ENO,MOD,Y55-64,M,PC,MT,2019,,u
dataflow,ESTAT:HLTH_EHIS_PCHLPD(1.0),A,ENO,MOD,Y55-64,M,PC,NL,2019,8.5,
dataflow,ESTAT:HLTH_EHIS_PCHLPD(1.0),A,ENO,MOD,Y55-64,M,PC,NO,2019,,u
dataflow,ESTAT:HLTH_EHIS_PCHLPD(1.0),A,ENO,MOD,Y55-64,M,PC,PL,2019,15.3,
dataflow,ESTAT:HLTH_EHIS_PCHLPD(1.0),A,ENO,MOD,Y55-64,M,PC,PT,2019,21.2,u
dataflow,ESTAT:HLTH_EHIS_PCHLPD(1.0),A,ENO,MOD,Y55-64,M,PC,RO,2019,18.3,u
dataflow,ESTAT:HLTH_EHIS_PCHLPD(1.0),A,ENO,MOD,Y55-64,M,PC,RS,2019,,u
dataflow,ESTAT:HLTH_EHIS_PCHLPD(1.0),A,ENO,MOD,Y55-64,M,PC,SE,2019,14.1,u
dataflow,ESTAT:HLTH_EHIS_PCHLPD(1.0),A,ENO,MOD,Y55-64,M,PC,SI,2019,10.9,u
dataflow,ESTAT:HLTH_EHIS_PCHLPD(1.0),A,ENO,MOD,Y55-64,M,PC,SK,2019,13.7,u
dataflow,ESTAT:HLTH_EHIS_PCHLPD(1.0),A,ENO,MOD,Y55-64,M,PC,TR,2019,,u
dataflow,ESTAT:HLTH_EHIS_PCHLPD(1.0),A,ENO,MOD,Y55-64,T,PC,AT,2019,20.7,
dataflow,ESTAT:HLTH_EHIS_PCHLPD(1.0),A,ENO,MOD,Y55-64,T,PC,BE,2019,0,u
dataflow,ESTAT:HLTH_EHIS_PCHLPD(1.0),A,ENO,MOD,Y55-64,T,PC,BG,2019,13.8,u
dataflow,ESTAT:HLTH_EHIS_PCHLPD(1.0),A,ENO,MOD,Y55-64,T,PC,CY,2019,,u
dataflow,ESTAT:HLTH_EHIS_PCHLPD(1.0),A,ENO,MOD,Y55-64,T,PC,CZ,2019,13.0,
dataflow,ESTAT:HLTH_EHIS_PCHLPD(1.0),A,ENO,MOD,Y55-64,T,PC,DE,2019,8.4,
dataflow,ESTAT:HLTH_EHIS_PCHLPD(1.0),A,ENO,MOD,Y55-64,T,PC,DK,2019,12.5,u
dataflow,ESTAT:HLTH_EHIS_PCHLPD(1.0),A,ENO,MOD,Y55-64,T,PC,EE,2019,9.2,u
dataflow,ESTAT:HLTH_EHIS_PCHLPD(1.0),A,ENO,MOD,Y55-64,T,PC,EL,2019,,u
dataflow,ESTAT:HLTH_EHIS_PCHLPD(1.0),A,ENO,MOD,Y55-64,T,PC,ES,2019,23.5,
dataflow,ESTAT:HLTH_EHIS_PCHLPD(1.0),A,ENO,MOD,Y55-64,T,PC,EU27_2020,2019,12.0,
dataflow,ESTAT:HLTH_EHIS_PCHLPD(1.0),A,ENO,MOD,Y55-64,T,PC,FI,2019,5.0,
dataflow,ESTAT:HLTH_EHIS_PCHLPD(1.0),A,ENO,MOD,Y55-64,T,PC,FR,2019,10.0,
dataflow,ESTAT:HLTH_EHIS_PCHLPD(1.0),A,ENO,MOD,Y55-64,T,PC,HR,2019,17.0,
dataflow,ESTAT:HLTH_EHIS_PCHLPD(1.0),A,ENO,MOD,Y55-64,T,PC,HU,2019,5.6,u
dataflow,ESTAT:HLTH_EHIS_PCHLPD(1.0),A,ENO,MOD,Y55-64,T,PC,IE,2019,23.6,u
dataflow,ESTAT:HLTH_EHIS_PCHLPD(1.0),A,ENO,MOD,Y55-64,T,PC,IS,2019,,u
dataflow,ESTAT:HLTH_EHIS_PCHLPD(1.0),A,ENO,MOD,Y55-64,T,PC,IT,2019,35.1,
dataflow,ESTAT:HLTH_EHIS_PCHLPD(1.0),A,ENO,MOD,Y55-64,T,PC,LT,2019,35.9,
dataflow,ESTAT:HLTH_EHIS_PCHLPD(1.0),A,ENO,MOD,Y55-64,T,PC,LU,2019,0,u
dataflow,ESTAT:HLTH_EHIS_PCHLPD(1.0),A,ENO,MOD,Y55-64,T,PC,LV,2019,21.4,u
dataflow,ESTAT:HLTH_EHIS_PCHLPD(1.0),A,ENO,MOD,Y55-64,T,PC,MT,2019,,u
dataflow,ESTAT:HLTH_EHIS_PCHLPD(1.0),A,ENO,MOD,Y55-64,T,PC,NL,2019,10.5,
dataflow,ESTAT:HLTH_EHIS_PCHLPD(1.0),A,ENO,MOD,Y55-64,T,PC,NO,2019,,u
dataflow,ESTAT:HLTH_EHIS_PCHLPD(1.0),A,ENO,MOD,Y55-64,T,PC,PL,2019,11.6,
dataflow,ESTAT:HLTH_EHIS_PCHLPD(1.0),A,ENO,MOD,Y55-64,T,PC,PT,2019,18.0,
dataflow,ESTAT:HLTH_EHIS_PCHLPD(1.0),A,ENO,MOD,Y55-64,T,PC,RO,2019,14.9,
dataflow,ESTAT:HLTH_EHIS_PCHLPD(1.0),A,ENO,MOD,Y55-64,T,PC,RS,2019,19.0,u
dataflow,ESTAT:HLTH_EHIS_PCHLPD(1.0),A,ENO,MOD,Y55-64,T,PC,SE,2019,10.5,
dataflow,ESTAT:HLTH_EHIS_PCHLPD(1.0),A,ENO,MOD,Y55-64,T,PC,SI,2019,12.4,
dataflow,ESTAT:HLTH_EHIS_PCHLPD(1.0),A,ENO,MOD,Y55-64,T,PC,SK,2019,16.2,
dataflow,ESTAT:HLTH_EHIS_PCHLPD(1.0),A,ENO,MOD,Y55-64,T,PC,TR,2019,7.0,u
dataflow,ESTAT:HLTH_EHIS_PCHLPD(1.0),A,ENO,MOD,Y65-74,F,PC,AT,2014,8.4,
dataflow,ESTAT:HLTH_EHIS_PCHLPD(1.0),A,ENO,MOD,Y65-74,F,PC,AT,2019,21.9,u
dataflow,ESTAT:HLTH_EHIS_PCHLPD(1.0),A,ENO,MOD,Y65-74,F,PC,BE,2014,0,u
dataflow,ESTAT:HLTH_EHIS_PCHLPD(1.0),A,ENO,MOD,Y65-74,F,PC,BE,2019,0,u
dataflow,ESTAT:HLTH_EHIS_PCHLPD(1.0),A,ENO,MOD,Y65-74,F,PC,BG,2014,13.4,
dataflow,ESTAT:HLTH_EHIS_PCHLPD(1.0),A,ENO,MOD,Y65-74,F,PC,BG,2019,9.1,
dataflow,ESTAT:HLTH_EHIS_PCHLPD(1.0),A,ENO,MOD,Y65-74,F,PC,CY,2014,,u
dataflow,ESTAT:HLTH_EHIS_PCHLPD(1.0),A,ENO,MOD,Y65-74,F,PC,CY,2019,,u
dataflow,ESTAT:HLTH_EHIS_PCHLPD(1.0),A,ENO,MOD,Y65-74,F,PC,CZ,2014,31.1,
dataflow,ESTAT:HLTH_EHIS_PCHLPD(1.0),A,ENO,MOD,Y65-74,F,PC,CZ,2019,24.3,
dataflow,ESTAT:HLTH_EHIS_PCHLPD(1.0),A,ENO,MOD,Y65-74,F,PC,DE,2014,20.0,u
dataflow,ESTAT:HLTH_EHIS_PCHLPD(1.0),A,ENO,MOD,Y65-74,F,PC,DE,2019,10.7,
dataflow,ESTAT:HLTH_EHIS_PCHLPD(1.0),A,ENO,MOD,Y65-74,F,PC,DK,2014,,u
dataflow,ESTAT:HLTH_EHIS_PCHLPD(1.0),A,ENO,MOD,Y65-74,F,PC,DK,2019,0,u
dataflow,ESTAT:HLTH_EHIS_PCHLPD(1.0),A,ENO,MOD,Y65-74,F,PC,EE,2014,,u
dataflow,ESTAT:HLTH_EHIS_PCHLPD(1.0),A,ENO,MOD,Y65-74,F,PC,EE,2019,,u
dataflow,ESTAT:HLTH_EHIS_PCHLPD(1.0),A,ENO,MOD,Y65-74,F,PC,EL,2014,28.2,
dataflow,ESTAT:HLTH_EHIS_PCHLPD(1.0),A,ENO,MOD,Y65-74,F,PC,EL,2019,40.3,u
dataflow,ESTAT:HLTH_EHIS_PCHLPD(1.0),A,ENO,MOD,Y65-74,F,PC,ES,2014,15.6,
dataflow,ESTAT:HLTH_EHIS_PCHLPD(1.0),A,ENO,MOD,Y65-74,F,PC,ES,2019,38.4,
dataflow,ESTAT:HLTH_EHIS_PCHLPD(1.0),A,ENO,MOD,Y65-74,F,PC,EU27_2020,2014,18.2,
dataflow,ESTAT:HLTH_EHIS_PCHLPD(1.0),A,ENO,MOD,Y65-74,F,PC,EU27_2020,2019,15.6,
dataflow,ESTAT:HLTH_EHIS_PCHLPD(1.0),A,ENO,MOD,Y65-74,F,PC,EU28,2014,20.9,
dataflow,ESTAT:HLTH_EHIS_PCHLPD(1.0),A,ENO,MOD,Y65-74,F,PC,FI,2014,5.4,u
dataflow,ESTAT:HLTH_EHIS_PCHLPD(1.0),A,ENO,MOD,Y65-74,F,PC,FI,2019,2.6,u
dataflow,ESTAT:HLTH_EHIS_PCHLPD(1.0),A,ENO,MOD,Y65-74,F,PC,FR,2014,14.5,u
dataflow,ESTAT:HLTH_EHIS_PCHLPD(1.0),A,ENO,MOD,Y65-74,F,PC,FR,2019,13.3,u
dataflow,ESTAT:HLTH_EHIS_PCHLPD(1.0),A,ENO,MOD,Y65-74,F,PC,HR,2014,21.6,u
dataflow,ESTAT:HLTH_EHIS_PCHLPD(1.0),A,ENO,MOD,Y65-74,F,PC,HR,2019,11.5,
dataflow,ESTAT:HLTH_EHIS_PCHLPD(1.0),A,ENO,MOD,Y65-74,F,PC,HU,2014,20.9,u
dataflow,ESTAT:HLTH_EHIS_PCHLPD(1.0),A,ENO,MOD,Y65-74,F,PC,HU,2019,17.4,u
dataflow,ESTAT:HLTH_EHIS_PCHLPD(1.0),A,ENO,MOD,Y65-74,F,PC,IE,2014,,u
dataflow,ESTAT:HLTH_EHIS_PCHLPD(1.0),A,ENO,MOD,Y65-74,F,PC,IE,2019,25.8,u
dataflow,ESTAT:HLTH_EHIS_PCHLPD(1.0),A,ENO,MOD,Y65-74,F,PC,IS,2014,,u
dataflow,ESTAT:HLTH_EHIS_PCHLPD(1.0),A,ENO,MOD,Y65-74,F,PC,IS,2019,,u
dataflow,ESTAT:HLTH_EHIS_PCHLPD(1.0),A,ENO,MOD,Y65-74,F,PC,IT,2014,19.8,
dataflow,ESTAT:HLTH_EHIS_PCHLPD(1.0),A,ENO,MOD,Y65-74,F,PC,IT,2019,21.9,
dataflow,ESTAT:HLTH_EHIS_PCHLPD(1.0),A,ENO,MOD,Y65-74,F,PC,LT,2014,11.4,u
dataflow,ESTAT:HLTH_EHIS_PCHLPD(1.0),A,ENO,MOD,Y65-74,F,PC,LT,2019,28.7,u
dataflow,ESTAT:HLTH_EHIS_PCHLPD(1.0),A,ENO,MOD,Y65-74,F,PC,LU,2014,,u
dataflow,ESTAT:HLTH_EHIS_PCHLPD(1.0),A,ENO,MOD,Y65-74,F,PC,LU,2019,,u
dataflow,ESTAT:HLTH_EHIS_PCHLPD(1.0),A,ENO,MOD,Y65-74,F,PC,LV,2014,22.2,
dataflow,ESTAT:HLTH_EHIS_PCHLPD(1.0),A,ENO,MOD,Y65-74,F,PC,LV,2019,36.7,u
dataflow,ESTAT:HLTH_EHIS_PCHLPD(1.0),A,ENO,MOD,Y65-74,F,PC,MT,2014,,u
dataflow,ESTAT:HLTH_EHIS_PCHLPD(1.0),A,ENO,MOD,Y65-74,F,PC,MT,2019,,u
dataflow,ESTAT:HLTH_EHIS_PCHLPD(1.0),A,ENO,MOD,Y65-74,F,PC,NL,2014,8.2,
dataflow,ESTAT:HLTH_EHIS_PCHLPD(1.0),A,ENO,MOD,Y65-74,F,PC,NL,2019,11.4,
dataflow,ESTAT:HLTH_EHIS_PCHLPD(1.0),A,ENO,MOD,Y65-74,F,PC,NO,2014,,u
dataflow,ESTAT:HLTH_EHIS_PCHLPD(1.0),A,ENO,MOD,Y65-74,F,PC,NO,2019,,u
dataflow,ESTAT:HLTH_EHIS_PCHLPD(1.0),A,ENO,MOD,Y65-74,F,PC,PL,2014,15.2,
dataflow,ESTAT:HLTH_EHIS_PCHLPD(1.0),A,ENO,MOD,Y65-74,F,PC,PL,2019,9.5,
dataflow,ESTAT:HLTH_EHIS_PCHLPD(1.0),A,ENO,MOD,Y65-74,F,PC,PT,2014,25.7,
dataflow,ESTAT:HLTH_EHIS_PCHLPD(1.0),A,ENO,MOD,Y65-74,F,PC,PT,2019,9.7,
dataflow,ESTAT:HLTH_EHIS_PCHLPD(1.0),A,ENO,MOD,Y65-74,F,PC,RO,2014,27.5,
dataflow,ESTAT:HLTH_EHIS_PCHLPD(1.0),A,ENO,MOD,Y65-74,F,PC,RO,2019,20.0,
dataflow,ESTAT:HLTH_EHIS_PCHLPD(1.0),A,ENO,MOD,Y65-74,F,PC,RS,2019,16.1,
dataflow,ESTAT:HLTH_EHIS_PCHLPD(1.0),A,ENO,MOD,Y65-74,F,PC,SE,2014,14.8,u
dataflow,ESTAT:HLTH_EHIS_PCHLPD(1.0),A,ENO,MOD,Y65-74,F,PC,SE,2019,10.1,u
dataflow,ESTAT:HLTH_EHIS_PCHLPD(1.0),A,ENO,MOD,Y65-74,F,PC,SI,2014,42.0,u
dataflow,ESTAT:HLTH_EHIS_PCHLPD(1.0),A,ENO,MOD,Y65-74,F,PC,SI,2019,5.5,u
dataflow,ESTAT:HLTH_EHIS_PCHLPD(1.0),A,ENO,MOD,Y65-74,F,PC,SK,2014,19.1,
dataflow,ESTAT:HLTH_EHIS_PCHLPD(1.0),A,ENO,MOD,Y65-74,F,PC,SK,2019,16.1,
dataflow,ESTAT:HLTH_EHIS_PCHLPD(1.0),A,ENO,MOD,Y65-74,F,PC,TR,2014,,u
dataflow,ESTAT:HLTH_EHIS_PCHLPD(1.0),A,ENO,MOD,Y65-74,F,PC,TR,2019,5.0,
dataflow,ESTAT:HLTH_EHIS_PCHLPD(1.0),A,ENO,MOD,Y65-74,F,PC,UK,2014,40.3,
dataflow,ESTAT:HLTH_EHIS_PCHLPD(1.0),A,ENO,MOD,Y65-74,M,PC,AT,2014,9.5,u
dataflow,ESTAT:HLTH_EHIS_PCHLPD(1.0),A,ENO,MOD,Y65-74,M,PC,AT,2019,30.3,u
dataflow,ESTAT:HLTH_EHIS_PCHLPD(1.0),A,ENO,MOD,Y65-74,M,PC,BE,2014,,u
dataflow,ESTAT:HLTH_EHIS_PCHLPD(1.0),A,ENO,MOD,Y65-74,M,PC,BE,2019,,u
dataflow,ESTAT:HLTH_EHIS_PCHLPD(1.0),A,ENO,MOD,Y65-74,M,PC,BG,2014,3.9,u
dataflow,ESTAT:HLTH_EHIS_PCHLPD(1.0),A,ENO,MOD,Y65-74,M,PC,BG,2019,18.9,u
dataflow,ESTAT:HLTH_EHIS_PCHLPD(1.0),A,ENO,MOD,Y65-74,M,PC,CY,2014,,u
dataflow,ESTAT:HLTH_EHIS_PCHLPD(1.0),A,ENO,MOD,Y65-74,M,PC,CY,2019,,u
dataflow,ESTAT:HLTH_EHIS_PCHLPD(1.0),A,ENO,MOD,Y65-74,M,PC,CZ,2014,29.5,
dataflow,ESTAT:HLTH_EHIS_PCHLPD(1.0),A,ENO,MOD,Y65-74,M,PC,CZ,2019,13.3,
dataflow,ESTAT:HLTH_EHIS_PCHLPD(1.0),A,ENO,MOD,Y65-74,M,PC,DE,2014,14.2,u
dataflow,ESTAT:HLTH_EHIS_PCHLPD(1.0),A,ENO,MOD,Y65-74,M,PC,DE,2019,24.7,
dataflow,ESTAT:HLTH_EHIS_PCHLPD(1.0),A,ENO,MOD,Y65-74,M,PC,DK,2014,16.7,u
dataflow,ESTAT:HLTH_EHIS_PCHLPD(1.0),A,ENO,MOD,Y65-74,M,PC,DK,2019,,u
dataflow,ESTAT:HLTH_EHIS_PCHLPD(1.0),A,ENO,MOD,Y65-74,M,PC,EE,2014,,u
dataflow,ESTAT:HLTH_EHIS_PCHLPD(1.0),A,ENO,MOD,Y65-74,M,PC,EE,2019,,u
dataflow,ESTAT:HLTH_EHIS_PCHLPD(1.0),A,ENO,MOD,Y65-74,M,PC,EL,2014,24.4,u
dataflow,ESTAT:HLTH_EHIS_PCHLPD(1.0),A,ENO,MOD,Y65-74,M,PC,EL,2019,,u
dataflow,ESTAT:HLTH_EHIS_PCHLPD(1.0),A,ENO,MOD,Y65-74,M,PC,ES,2014,65.8,u
dataflow,ESTAT:HLTH_EHIS_PCHLPD(1.0),A,ENO,MOD,Y65-74,M,PC,ES,2019,22.9,u
dataflow,ESTAT:HLTH_EHIS_PCHLPD(1.0),A,ENO,MOD,Y65-74,M,PC,EU27_2020,2014,21.9,
dataflow,ESTAT:HLTH_EHIS_PCHLPD(1.0),A,ENO,MOD,Y65-74,M,PC,EU27_2020,2019,19.8,
dataflow,ESTAT:HLTH_EHIS_PCHLPD(1.0),A,ENO,MOD,Y65-74,M,PC,EU28,2014,23.0,
dataflow,ESTAT:HLTH_EHIS_PCHLPD(1.0),A,ENO,MOD,Y65-74,M,PC,FI,2014,12.6,u
dataflow,ESTAT:HLTH_EHIS_PCHLPD(1.0),A,ENO,MOD,Y65-74,M,PC,FI,2019,17.0,u
dataflow,ESTAT:HLTH_EHIS_PCHLPD(1.0),A,ENO,MOD,Y65-74,M,PC,FR,2014,,u
dataflow,ESTAT:HLTH_EHIS_PCHLPD(1.0),A,ENO,MOD,Y65-74,M,PC,FR,2019,20.8,u
dataflow,ESTAT:HLTH_EHIS_PCHLPD(1.0),A,ENO,MOD,Y65-74,M,PC,HR,2014,,u
dataflow,ESTAT:HLTH_EHIS_PCHLPD(1.0),A,ENO,MOD,Y65-74,M,PC,HR,2019,32.2,u
dataflow,ESTAT:HLTH_EHIS_PCHLPD(1.0),A,ENO,MOD,Y65-74,M,PC,HU,2014,,u
dataflow,ESTAT:HLTH_EHIS_PCHLPD(1.0),A,ENO,MOD,Y65-74,M,PC,HU,2019,21.5,u
dataflow,ESTAT:HLTH_EHIS_PCHLPD(1.0),A,ENO,MOD,Y65-74,M,PC,IE,2014,,u
dataflow,ESTAT:HLTH_EHIS_PCHLPD(1.0),A,ENO,MOD,Y65-74,M,PC,IE,2019,,u
dataflow,ESTAT:HLTH_EHIS_PCHLPD(1.0),A,ENO,MOD,Y65-74,M,PC,IS,2014,,u
dataflow,ESTAT:HLTH_EHIS_PCHLPD(1.0),A,ENO,MOD,Y65-74,M,PC,IS,2019,,u
dataflow,ESTAT:HLTH_EHIS_PCHLPD(1.0),A,ENO,MOD,Y65-74,M,PC,IT,2014,40.8,u
dataflow,ESTAT:HLTH_EHIS_PCHLPD(1.0),A,ENO,MOD,Y65-74,M,PC,IT,2019,20.3,u
dataflow,ESTAT:HLTH_EHIS_PCHLPD(1.0),A,ENO,MOD,Y65-74,M,PC,LT,2014,9.7,u
dataflow,ESTAT:HLTH_EHIS_PCHLPD(1.0),A,ENO,MOD,Y65-74,M,PC,LT,2019,,u
dataflow,ESTAT:HLTH_EHIS_PCHLPD(1.0),A,ENO,MOD,Y65-74,M,PC,LU,2014,,u
dataflow,ESTAT:HLTH_EHIS_PCHLPD(1.0),A,ENO,MOD,Y65-74,M,PC,LU,2019,,u
dataflow,ESTAT:HLTH_EHIS_PCHLPD(1.0),A,ENO,MOD,Y65-74,M,PC,LV,2014,28.3,u
dataflow,ESTAT:HLTH_EHIS_PCHLPD(1.0),A,ENO,MOD,Y65-74,M,PC,LV,2019,,u
dataflow,ESTAT:HLTH_EHIS_PCHLPD(1.0),A,ENO,MOD,Y65-74,M,PC,MT,2014,,u
dataflow,ESTAT:HLTH_EHIS_PCHLPD(1.0),A,ENO,MOD,Y65-74,M,PC,MT,2019,,u
dataflow,ESTAT:HLTH_EHIS_PCHLPD(1.0),A,ENO,MOD,Y65-74,M,PC,NL,2014,3.3,
dataflow,ESTAT:HLTH_EHIS_PCHLPD(1.0),A,ENO,MOD,Y65-74,M,PC,NL,2019,5.6,
dataflow,ESTAT:HLTH_EHIS_PCHLPD(1.0),A,ENO,MOD,Y65-74,M,PC,NO,2014,,u
dataflow,ESTAT:HLTH_EHIS_PCHLPD(1.0),A,ENO,MOD,Y65-74,M,PC,NO,2019,,u
dataflow,ESTAT:HLTH_EHIS_PCHLPD(1.0),A,ENO,MOD,Y65-74,M,PC,PL,2014,16.9,
dataflow,ESTAT:HLTH_EHIS_PCHLPD(1.0),A,ENO,MOD,Y65-74,M,PC,PL,2019,13.2,
dataflow,ESTAT:HLTH_EHIS_PCHLPD(1.0),A,ENO,MOD,Y65-74,M,PC,PT,2014,30.9,
dataflow,ESTAT:HLTH_EHIS_PCHLPD(1.0),A,ENO,MOD,Y65-74,M,PC,PT,2019,35.1,u
dataflow,ESTAT:HLTH_EHIS_PCHLPD(1.0),A,ENO,MOD,Y65-74,M,PC,RO,2014,30.2,
dataflow,ESTAT:HLTH_EHIS_PCHLPD(1.0),A,ENO,MOD,Y65-74,M,PC,RO,2019,26.5,
