STRUCTURE,STRUCTURE_ID,freq,unit,sex,age,lev_diff,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
dataflow,ESTAT:HLTH_EHIS_AM7TA(1.0),A,PC,F,Y65-74,LTD,EE,2019,4.5,
dataflow,ESTAT:HLTH_EHIS_AM7TA(1.0),A,PC,F,Y65-74,LTD,EL,2014,7.1,
dataflow,ESTAT:HLTH_EHIS_AM7TA(1.0),A,PC,F,Y65-74,LTD,EL,2019,9.2,
dataflow,ESTAT:HLTH_EHIS_AM7TA(1.0),A,PC,F,Y65-74,LTD,ES,2014,8.6,
dataflow,ESTAT:HLTH_EHIS_AM7TA(1.0),A,PC,F,Y65-74,LTD,ES,2019,9.7,
dataflow,ESTAT:HLTH_EHIS_AM7TA(1.0),A,PC,F,Y65-74,LTD,EU27_2020,2014,10.7,
dataflow,ESTAT:HLTH_EHIS_AM7TA(1.0),A,PC,F,Y65-74,LTD,EU27_2020,2019,9.3,
dataflow,ESTAT:HLTH_EHIS_AM7TA(1.0),A,PC,F,Y65-74,LTD,EU28,2014,10.6,
dataflow,ESTAT:HLTH_EHIS_AM7TA(1.0),A,PC,F,Y65-74,LTD,FI,2014,11.6,
dataflow,ESTAT:HLTH_EHIS_AM7TA(1.0),A,PC,F,Y65-74,LTD,FI,2019,8.2,
dataflow,ESTAT:HLTH_EHIS_AM7TA(1.0),A,PC,F,Y65-74,LTD,FR,2014,24.0,
dataflow,ESTAT:HLTH_EHIS_AM7TA(1.0),A,PC,F,Y65-74,LTD,FR,2019,16.2,
dataflow,ESTAT:HLTH_EHIS_AM7TA(1.0),A,PC,F,Y65-74,LTD,HR,2014,5.4,
dataflow,ESTAT:HLTH_EHIS_AM7TA(1.0),A,PC,F,Y65-74,LTD,HR,2019,8.2,
dataflow,ESTAT:HLTH_EHIS_AM7TA(1.0),A,PC,F,Y65-74,LTD,HU,2014,12.5,
dataflow,ESTAT:HLTH_EHIS_AM7TA(1.0),A,PC,F,Y65-74,LTD,HU,2019,7.0,
dataflow,ESTAT:HLTH_EHIS_AM7TA(1.0),A,PC,F,Y65-74,LTD,IE,2014,5.8,
dataflow,ESTAT:HLTH_EHIS_AM7TA(1.0),A,PC,F,Y65-74,LTD,IE,2019,6.9,
dataflow,ESTAT:HLTH_EHIS_AM7TA(1.0),A,PC,F,Y65-74,LTD,IS,2014,12.8,
dataflow,ESTAT:HLTH_EHIS_AM7TA(1.0),A,PC,F,Y65-74,LTD,IT,2014,9.7,
dataflow,ESTAT:HLTH_EHIS_AM7TA(1.0),A,PC,F,Y65-74,LTD,IT,2019,7.9,
dataflow,ESTAT:HLTH_EHIS_AM7TA(1.0),A,PC,F,Y65-74,LTD,LT,2014,4.3,
dataflow,ESTAT:HLTH_EHIS_AM7TA(1.0),A,PC,F,Y65-74,LTD,LT,2019,3.4,
dataflow,ESTAT:HLTH_EHIS_AM7TA(1.0),A,PC,F,Y65-74,LTD,LU,2014,12.8,
dataflow,ESTAT:HLTH_EHIS_AM7TA(1.0),A,PC,F,Y65-74,LTD,LU,2019,10.7,
dataflow,ESTAT:HLTH_EHIS_AM7TA(1.0),A,PC,F,Y65-74,LTD,LV,2014,3.7,
dataflow,ESTAT:HLTH_EHIS_AM7TA(1.0),A,PC,F,Y65-74,LTD,LV,2019,3.4,
dataflow,ESTAT:HLTH_EHIS_AM7TA(1.0),A,PC,F,Y65-74,LTD,MT,2014,20.0,
dataflow,ESTAT:HLTH_EHIS_AM7TA(1.0),A,PC,F,Y65-74,LTD,MT,2019,12.9,
dataflow,ESTAT:HLTH_EHIS_AM7TA(1.0),A,PC,F,Y65-74,LTD,NL,2014,22.3,
dataflow,ESTAT:HLTH_EHIS_AM7TA(1.0),A,PC,F,Y65-74,LTD,NL,2019,14.9,
dataflow,ESTAT:HLTH_EHIS_AM7TA(1.0),A,PC,F,Y65-74,LTD,NO,2014,15.9,
dataflow,ESTAT:HLTH_EHIS_AM7TA(1.0),A,PC,F,Y65-74,LTD,NO,2019,27.8,
dataflow,ESTAT:HLTH_EHIS_AM7TA(1.0),A,PC,F,Y65-74,LTD,PL,2014,5.2,
dataflow,ESTAT:HLTH_EHIS_AM7TA(1.0),A,PC,F,Y65-74,LTD,PL,2019,3.8,
dataflow,ESTAT:HLTH_EHIS_AM7TA(1.0),A,PC,F,Y65-74,LTD,PT,2014,5.7,
dataflow,ESTAT:HLTH_EHIS_AM7TA(1.0),A,PC,F,Y65-74,LTD,PT,2019,4.2,
dataflow,ESTAT:HLTH_EHIS_AM7TA(1.0),A,PC,F,Y65-74,LTD,RO,2014,6.2,
dataflow,ESTAT:HLTH_EHIS_AM7TA(1.0),A,PC,F,Y65-74,LTD,RO,2019,1.5,
dataflow,ESTAT:HLTH_EHIS_AM7TA(1.0),A,PC,F,Y65-74,LTD,RS,2019,4.2,
dataflow,ESTAT:HLTH_EHIS_AM7TA(1.0),A,PC,F,Y65-74,LTD,SE,2014,0.8,
dataflow,ESTAT:HLTH_EHIS_AM7TA(1.0),A,PC,F,Y65-74,LTD,SE,2019,6.2,
dataflow,ESTAT:HLTH_EHIS_AM7TA(1.0),A,PC,F,Y65-74,LTD,SI,2014,10.7,
dataflow,ESTAT:HLTH_EHIS_AM7TA(1.0),A,PC,F,Y65-74,LTD,SI,2019,7.2,
dataflow,ESTAT:HLTH_EHIS_AM7TA(1.0),A,PC,F,Y65-74,LTD,SK,2014,6.2,
dataflow,ESTAT:HLTH_EHIS_AM7TA(1.0),A,PC,F,Y65-74,LTD,SK,2019,2.5,
dataflow,ESTAT:HLTH_EHIS_AM7TA(1.0),A,PC,F,Y65-74,LTD,TR,2014,1.4,
dataflow,ESTAT:HLTH_EHIS_AM7TA(1.0),A,PC,F,Y65-74,LTD,TR,2019,2.7,
dataflow,ESTAT:HLTH_EHIS_AM7TA(1.0),A,PC,F,Y65-74,LTD,UK,2014,9.7,
dataflow,ESTAT:HLTH_EHIS_AM7TA(1.0),A,PC,F,Y65-74,MOD,AT,2014,1.8,
dataflow,ESTAT:HLTH_EHIS_AM7TA(1.0),A,PC,F,Y65-74,MOD,AT,2019,0.7,
dataflow,ESTAT:HLTH_EHIS_AM7TA(1.0),A,PC,F,Y65-74,MOD,BE,2014,15.2,
dataflow,ESTAT:HLTH_EHIS_AM7TA(1.0),A,PC,F,Y65-74,MOD,BE,2019,17.8,
dataflow,ESTAT:HLTH_EHIS_AM7TA(1.0),A,PC,F,Y65-74,MOD,BG,2014,5.3,
dataflow,ESTAT:HLTH_EHIS_AM7TA(1.0),A,PC,F,Y65-74,MOD,BG,2019,2.6,
dataflow,ESTAT:HLTH_EHIS_AM7TA(1.0),A,PC,F,Y65-74,MOD,CY,2014,2.7,
dataflow,ESTAT:HLTH_EHIS_AM7TA(1.0),A,PC,F,Y65-74,MOD,CY,2019,0.9,
dataflow,ESTAT:HLTH_EHIS_AM7TA(1.0),A,PC,F,Y65-74,MOD,CZ,2014,1.7,
dataflow,ESTAT:HLTH_EHIS_AM7TA(1.0),A,PC,F,Y65-74,MOD,CZ,2019,1.3,
dataflow,ESTAT:HLTH_EHIS_AM7TA(1.0),A,PC,F,Y65-74,MOD,DE,2014,3.4,
dataflow,ESTAT:HLTH_EHIS_AM7TA(1.0),A,PC,F,Y65-74,MOD,DE,2019,4.1,
dataflow,ESTAT:HLTH_EHIS_AM7TA(1.0),A,PC,F,Y65-74,MOD,DK,2014,9.1,
dataflow,ESTAT:HLTH_EHIS_AM7TA(1.0),A,PC,F,Y65-74,MOD,DK,2019,7.5,
dataflow,ESTAT:HLTH_EHIS_AM7TA(1.0),A,PC,F,Y65-74,MOD,EE,2014,,u
dataflow,ESTAT:HLTH_EHIS_AM7TA(1.0),A,PC,F,Y65-74,MOD,EE,2019,,u
dataflow,ESTAT:HLTH_EHIS_AM7TA(1.0),A,PC,F,Y65-74,MOD,EL,2014,3.8,
dataflow,ESTAT:HLTH_EHIS_AM7TA(1.0),A,PC,F,Y65-74,MOD,EL,2019,2.4,
dataflow,ESTAT:HLTH_EHIS_AM7TA(1.0),A,PC,F,Y65-74,MOD,ES,2014,4.4,
dataflow,ESTAT:HLTH_EHIS_AM7TA(1.0),A,PC,F,Y65-74,MOD,ES,2019,2.8,
dataflow,ESTAT:HLTH_EHIS_AM7TA(1.0),A,PC,F,Y65-74,MOD,EU27_2020,2014,4.9,
dataflow,ESTAT:HLTH_EHIS_AM7TA(1.0),A,PC,F,Y65-74,MOD,EU27_2020,2019,3.5,
dataflow,ESTAT:HLTH_EHIS_AM7TA(1.0),A,PC,F,Y65-74,MOD,EU28,2014,4.9,
dataflow,ESTAT:HLTH_EHIS_AM7TA(1.0),A,PC,F,Y65-74,MOD,FI,2014,7.4,
dataflow,ESTAT:HLTH_EHIS_AM7TA(1.0),A,PC,F,Y65-74,MOD,FI,2019,3.9,
dataflow,ESTAT:HLTH_EHIS_AM7TA(1.0),A,PC,F,Y65-74,MOD,FR,2014,14.5,
dataflow,ESTAT:HLTH_EHIS_AM7TA(1.0),A,PC,F,Y65-74,MOD,FR,2019,8.9,
dataflow,ESTAT:HLTH_EHIS_AM7TA(1.0),A,PC,F,Y65-74,MOD,HR,2014,1.3,
dataflow,ESTAT:HLTH_EHIS_AM7TA(1.0),A,PC,F,Y65-74,MOD,HR,2019,1.1,
dataflow,ESTAT:HLTH_EHIS_AM7TA(1.0),A,PC,F,Y65-74,MOD,HU,2014,5.2,
dataflow,ESTAT:HLTH_EHIS_AM7TA(1.0),A,PC,F,Y65-74,MOD,HU,2019,1.8,
dataflow,ESTAT:HLTH_EHIS_AM7TA(1.0),A,PC,F,Y65-74,MOD,IE,2014,1.3,
dataflow,ESTAT:HLTH_EHIS_AM7TA(1.0),A,PC,F,Y65-74,MOD,IE,2019,0.6,
dataflow,ESTAT:HLTH_EHIS_AM7TA(1.0),A,PC,F,Y65-74,MOD,IS,2014,5.4,
dataflow,ESTAT:HLTH_EHIS_AM7TA(1.0),A,PC,F,Y65-74,MOD,IT,2014,3.3,
dataflow,ESTAT:HLTH_EHIS_AM7TA(1.0),A,PC,F,Y65-74,MOD,IT,2019,1.8,
dataflow,ESTAT:HLTH_EHIS_AM7TA(1.0),A,PC,F,Y65-74,MOD,LT,2014,1.1,
dataflow,ESTAT:HLTH_EHIS_AM7TA(1.0),A,PC,F,Y65-74,MOD,LT,2019,0.7,
dataflow,ESTAT:HLTH_EHIS_AM7TA(1.0),A,PC,F,Y65-74,MOD,LU,2014,12.6,u
dataflow,ESTAT:HLTH_EHIS_AM7TA(1.0),A,PC,F,Y65-74,MOD,LU,2019,6.0,
dataflow,ESTAT:HLTH_EHIS_AM7TA(1.0),A,PC,F,Y65-74,MOD,LV,2014,0.4,
dataflow,ESTAT:HLTH_EHIS_AM7TA(1.0),A,PC,F,Y65-74,MOD,LV,2019,0.8,
dataflow,ESTAT:HLTH_EHIS_AM7TA(1.0),A,PC,F,Y65-74,MOD,MT,2014,9.4,
dataflow,ESTAT:HLTH_EHIS_AM7TA(1.0),A,PC,F,Y65-74,MOD,MT,2019,8.8,
dataflow,ESTAT:HLTH_EHIS_AM7TA(1.0),A,PC,F,Y65-74,MOD,NL,2014,10.3,
dataflow,ESTAT:HLTH_EHIS_AM7TA(1.0),A,PC,F,Y65-74,MOD,NL,2019,1.9,
